FILE NAME;001_22306_180404_075156.CSV
HASHCODE;81A0F405CBD27D59DCE0FD5FAE8822B25C720A13BEFDC6430504F5D774D67A43
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;07:51:56;GMT+00:00
END OF MEASUREMENT;18/04/2004;07:52:24;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   27910;[mS]
TIME GPS SPEED WENT OVER 2KPH;    9140;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 48,28;[kph]
TIME OF PEAK GPS SPEED;   16540;[mS]
PEAK SPEED; 48,19;[kph]
TIME OF PEAK SPEED;   16400;[mS]
TIME ACC WENT OVER 1m/s/s;   12730;[mS]
PEAK ACC;  4,29;[m/s/s]
TIME OF PEAK ACC;   23050;[mS]
PEAK PITCH;   1,34;[deg]
TIME OF PEAK PITCH;   27080;[mS]
PEAK SLIP;  20,41;[deg]
TIME OF PEAK SLIP;   27740;[mS]
AVERAGE LONG ACCEL AT START; -0,01;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,00;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,04;[deg/s]
AVERAGE LONG ACCEL AT END; -1,77;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,48;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,91;[m/s/s]
AVERAGE PITCH RATE AT END;   0,75;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;0,05;0,05;9,91;-0,03;0,07;0;0;0;350,8;4,4968314;51,9194641;-169,87;-93,52;-2,27;3;8;0,5;1,9;0,15;0,09;-0,15;-0,02;0,02;0,00;0,00
10;12,2;-0,00;0,03;9,77;-0,14;0,07;0;0;0;350,8;4,4968314;51,9194641;-169,87;-93,52;-2,27;3;8;0,5;1,9;0,15;0,11;-0,15;0,07;0,02;0,00;0,00
20;12,2;0,06;-0,04;9,78;-0,06;0,07;0;0;0;350,8;4,4968314;51,9194641;-169,87;-93,52;-2,27;3;8;0,5;1,9;0,15;0,14;-0,15;0,02;0,02;0,00;0,00
30;12,2;-0,00;-0,04;9,91;0,09;0,07;0;0;0;350,8;4,4968314;51,9194641;-169,87;-93,52;-2,27;3;8;0,5;1,9;0,15;0,04;-0,15;0,08;0,03;0,00;0,00
40;12,2;-0,08;-0,02;9,87;-0,32;0,07;0;0;0;350,8;4,4968314;51,9194641;-169,87;-93,52;-2,27;3;8;0,5;1,9;0,15;0,02;-0,15;0,02;0,03;0,00;0,00
50;12,2;0,04;-0,02;9,68;0,17;0,07;0;0;0;350,8;4,4968314;51,9194641;-169,87;-93,52;-2,27;3;8;0,5;1,9;0,15;0,04;-0,16;-0,05;0,02;0,00;0,00
60;12,2;0,03;0,04;9,80;0,11;0,07;0;0;0;350,8;4,4968314;51,9194641;-169,87;-93,52;-2,27;3;8;0,5;1,9;0,15;0,05;-0,15;0,06;0,03;0,00;0,00
70;12,2;-0,08;0,02;9,97;-0,22;0,07;0;0;0;350,8;4,4968314;51,9194641;-169,87;-93,52;-2,27;3;8;0,5;1,9;0,15;0,02;-0,15;0,05;0,03;0,00;0,00
80;12,2;-0,06;-0,01;9,82;0,06;0,07;0;0;0;350,8;4,4968314;51,9194641;-169,87;-93,52;-2,27;3;8;0,5;1,9;0,15;0,00;-0,16;-0,05;0,02;0,00;0,00
90;12,2;0,05;-0,10;9,75;0,23;0,07;0;0;0;350,8;4,4968314;51,9194641;-169,87;-93,52;-2,27;3;8;0,5;1,9;0,15;0,01;-0,16;-0,03;0,01;0,00;0,00
100;12,2;0,03;-0,03;9,89;0,08;0,07;0;0;0;350,8;4,4968314;51,9194641;-169,87;-93,52;-2,27;3;8;0,5;1,9;0,15;0,06;-0,15;0,07;0,02;0,00;0,00
