FILE NAME;002_22306_180404_075402.CSV
HASHCODE;7DEE4E2F99C38060467B786BB1F3094A16CA1F9F39C42835BD9CB1D5D4DCF111
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;07:54:03;GMT+00:00
END OF MEASUREMENT;18/04/2004;07:54:28;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   25250;[mS]
TIME GPS SPEED WENT OVER 2KPH;    6490;[mS]
TIME GPS SPEED WENT UNDER 2KPH;      90;[mS]
PEAK GPS SPEED; 57,17;[kph]
TIME OF PEAK GPS SPEED;   19290;[mS]
PEAK SPEED; 57,01;[kph]
TIME OF PEAK SPEED;   15920;[mS]
TIME ACC WENT OVER 1m/s/s;   10230;[mS]
PEAK ACC;  4,13;[m/s/s]
TIME OF PEAK ACC;    8800;[mS]
PEAK PITCH;   1,83;[deg]
TIME OF PEAK PITCH;   24020;[mS]
PEAK SLIP;  20,15;[deg]
TIME OF PEAK SLIP;   25100;[mS]
AVERAGE LONG ACCEL AT START; -0,02;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,02;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,82;[m/s/s]
AVERAGE PITCH RATE AT START;   0,01;[deg/s]
AVERAGE LONG ACCEL AT END; -2,26;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,32;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,93;[m/s/s]
AVERAGE PITCH RATE AT END;   0,23;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;-0,05;-0,05;9,84;0,34;0,07;0;0;0;98,1;4,4965286;51,9193611;-190,65;-104,93;-2,32;1;8;0,6;1,6;0,14;0,03;-0,17;-0,02;-0,00;0,00;0,00
10;12,2;-0,17;-0,01;9,64;0,19;0,07;0;0;0;98,1;4,4965286;51,9193611;-190,65;-104,93;-2,32;1;8;0,6;1,6;0,17;0,31;-0,17;-0,02;-0,01;0,00;0,00
20;12,2;-0,04;-0,05;9,77;0,21;0,07;0;0;0;98,1;4,4965286;51,9193611;-190,65;-104,93;-2,32;1;8;0,6;1,6;0,17;0,17;-0,17;-0,14;-0,02;0,00;0,00
30;12,2;0,01;0,00;10,01;-0,10;0,07;0;0;0;98,1;4,4965286;51,9193611;-190,65;-104,93;-2,32;1;8;0,6;1,6;0,17;0,22;-0,17;-0,01;-0,02;0,00;0,00
40;12,2;-0,06;-0,05;9,73;-0,35;0,07;0;0;0;98,1;4,4965286;51,9193611;-190,65;-104,93;-2,32;1;8;0,6;1,6;0,17;0,16;-0,17;0,04;-0,01;0,00;0,00
50;12,2;0,03;-0,05;9,72;-0,19;0,07;0;0;0;98,1;4,4965286;51,9193611;-190,65;-104,93;-2,32;1;8;0,6;1,6;0,17;0,19;-0,17;-0,03;-0,02;0,00;0,00
60;12,2;0,04;-0,02;9,95;-0,09;0,07;0;0;0;98,1;4,4965286;51,9193611;-190,65;-104,93;-2,32;1;8;0,6;1,6;0,17;0,21;-0,17;0,06;-0,01;0,00;0,00
70;12,2;-0,14;0,05;9,98;-0,44;0,07;0;0;0;98,1;4,4965286;51,9193611;-190,65;-104,93;-2,32;1;8;0,6;1,6;0,17;0,20;-0,17;0,07;-0,00;0,00;0,00
80;12,2;-0,06;0,05;9,68;-0,37;0,07;0;0;0;98,1;4,4965286;51,9193611;-190,65;-104,93;-2,32;1;8;0,6;1,6;0,17;0,14;-0,16;-0,11;-0,01;0,00;0,00
90;12,2;0,02;-0,02;9,75;0,25;0,07;0;0;0;98,1;4,4965286;51,9193611;-190,65;-104,93;-2,34;1;8;0,6;1,6;0,17;0,09;-0,17;-0,03;-0,01;0,00;0,00
100;12,2;0,03;-0,01;9,93;0,03;0,07;0;0;0;98,1;4,4965286;51,9193611;-190,65;-104,93;-2,34;1;8;0,6;1,6;0,17;0,09;-0,16;0,04;-0,01;0,00;0,00
