FILE NAME;003_22306_180404_075615.CSV
HASHCODE;733E70DE632331B0474412A75A37791E77134FC3599244A883470537E8101167
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;07:56:15;GMT+00:00
END OF MEASUREMENT;18/04/2004;07:56:42;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   26420;[mS]
TIME GPS SPEED WENT OVER 2KPH;    5960;[mS]
TIME GPS SPEED WENT UNDER 2KPH;     170;[mS]
PEAK GPS SPEED; 70,96;[kph]
TIME OF PEAK GPS SPEED;   17760;[mS]
PEAK SPEED; 71,19;[kph]
TIME OF PEAK SPEED;   17610;[mS]
TIME ACC WENT OVER 1m/s/s;    9860;[mS]
PEAK ACC;  4,89;[m/s/s]
TIME OF PEAK ACC;   25440;[mS]
PEAK PITCH;   1,63;[deg]
TIME OF PEAK PITCH;   23280;[mS]
PEAK SLIP;  21,66;[deg]
TIME OF PEAK SLIP;   25160;[mS]
AVERAGE LONG ACCEL AT START; -0,11;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,10;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,82;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,01;[deg/s]
AVERAGE LONG ACCEL AT END; -0,44;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,17;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,72;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,04;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;-0,07;0,20;9,93;-0,40;0,04;0;0;0;34,0;4,4962001;51,9192429;-213,22;-118,23;-2,49;3;8;0,7;1,6;0,61;0,37;-0,61;-0,04;0,00;0,00;0,00
10;12,2;-0,15;0,13;9,78;0,07;0,04;0;0;0;34,0;4,4962001;51,9192429;-213,22;-118,23;-2,49;3;8;0,7;1,6;0,61;0,76;-0,62;0,04;0,01;0,00;0,00
20;12,2;-0,00;0,01;9,78;0,13;0,04;0;0;0;34,0;4,4962001;51,9192429;-213,22;-118,23;-2,49;3;8;0,7;1,6;0,62;0,76;-0,62;-0,04;0,00;0,00;0,00
30;12,2;-0,08;0,09;9,88;-0,15;0,04;0;0;0;34,0;4,4962001;51,9192429;-213,22;-118,23;-2,49;3;8;0,7;1,6;0,62;0,59;-0,62;0,10;0,01;0,00;0,00
40;12,2;-0,19;0,15;9,82;-0,27;0,04;0;0;0;34,0;4,4962001;51,9192429;-213,22;-118,23;-2,49;3;8;0,7;1,6;0,62;0,58;-0,62;0,03;0,01;0,00;0,00
50;12,2;-0,10;0,09;9,76;0,09;0,04;0;0;0;34,0;4,4962001;51,9192429;-213,22;-118,23;-2,49;3;8;0,7;1,6;0,62;0,63;-0,62;-0,09;0,00;0,00;0,00
60;12,2;-0,03;0,10;9,82;0,10;0,04;0;0;0;34,0;4,4962001;51,9192429;-213,22;-118,23;-2,49;3;8;0,7;1,6;0,62;0,62;-0,62;0,01;0,00;0,00;0,00
70;12,2;-0,16;0,11;9,90;-0,23;0,04;0;0;0;34,0;4,4962001;51,9192429;-213,22;-118,23;-2,49;3;8;0,7;1,6;0,62;0,61;-0,62;0,07;0,01;0,00;0,00
80;12,2;-0,11;0,09;9,73;-0,21;0,04;0;0;0;34,0;4,4962001;51,9192429;-213,22;-118,23;-2,49;3;8;0,7;1,6;0,62;0,62;-0,62;-0,05;0,00;0,00;0,00
90;12,2;-0,04;0,05;9,78;0,15;0,04;0;0;0;34,0;4,4962001;51,9192429;-213,22;-118,23;-2,49;3;8;0,7;1,6;0,62;0,61;-0,62;-0,00;0,00;0,00;0,00
100;12,2;-0,08;0,14;9,92;0,15;0,04;0;0;0;34,0;4,4962001;51,9192429;-213,22;-118,23;-2,49;3;8;0,7;1,6;0,62;0,58;-0,62;0,07;0,01;0,00;0,00
