FILE NAME;004_22306_180404_075839.CSV
HASHCODE;8A5EC35F4EDB1B1BEF4D6CA136CC8EAAE2E5F0044C77EF33B5FAA93B5D2217A1
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;07:58:40;GMT+00:00
END OF MEASUREMENT;18/04/2004;07:59:10;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   30530;[mS]
TIME GPS SPEED WENT OVER 2KPH;    5440;[mS]
TIME GPS SPEED WENT UNDER 2KPH;      30;[mS]
PEAK GPS SPEED; 76,61;[kph]
TIME OF PEAK GPS SPEED;   17220;[mS]
PEAK SPEED; 77,12;[kph]
TIME OF PEAK SPEED;   17060;[mS]
TIME ACC WENT OVER 1m/s/s;    8570;[mS]
PEAK ACC;  5,92;[m/s/s]
TIME OF PEAK ACC;   28180;[mS]
PEAK PITCH;   2,43;[deg]
TIME OF PEAK PITCH;   28190;[mS]
PEAK SLIP;  27,79;[deg]
TIME OF PEAK SLIP;   30430;[mS]
AVERAGE LONG ACCEL AT START; -0,16;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,02;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,83;[m/s/s]
AVERAGE PITCH RATE AT START;   0,05;[deg/s]
AVERAGE LONG ACCEL AT END; -1,97;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,90;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,87;[m/s/s]
AVERAGE PITCH RATE AT END;   0,14;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;-0,10;0,08;9,78;-0,09;0,04;0;0;0;175,4;4,4950914;51,9188690;-289,31;-159,67;-1,15;3;7;0,7;1,7;0,63;0,57;-0,80;-0,03;-0,02;0,00;0,00
10;12,2;-0,09;0,04;9,67;0,19;0,04;0;0;0;175,4;4,4950914;51,9188690;-289,31;-159,67;-1,15;3;7;0,7;1,7;0,80;0,48;-0,80;0,04;-0,01;0,00;0,00
20;12,2;-0,11;0,03;9,87;-0,06;0,04;0;0;0;175,4;4,4950914;51,9188690;-289,31;-159,67;-1,15;3;7;0,7;1,7;0,80;0,37;-0,80;0,05;-0,01;0,00;0,00
30;12,2;-0,27;0,02;10,00;-0,21;0,04;0;0;0;175,4;4,4950914;51,9188690;-289,31;-159,67;-1,15;3;7;0,7;1,7;0,80;0,31;-0,80;0,03;-0,00;0,00;0,00
40;12,2;-0,21;0,03;9,71;-0,08;0,04;0;0;0;175,4;4,4950914;51,9188690;-289,31;-159,67;-1,15;3;7;0,7;1,7;0,80;0,27;-0,80;-0,13;-0,02;0,00;0,00
50;12,2;-0,13;-0,01;9,85;0,23;0,04;0;0;0;175,4;4,4950914;51,9188690;-289,31;-159,67;-1,15;3;7;0,7;1,7;0,80;0,25;-0,80;-0,08;-0,02;0,00;0,00
60;12,2;-0,23;-0,01;9,96;-0,07;0,04;0;0;0;175,4;4,4950914;51,9188690;-289,31;-159,67;-1,15;3;7;0,7;1,7;0,80;0,21;-0,80;0,01;-0,02;0,00;0,00
70;12,2;-0,23;0,02;9,76;-0,09;0,04;0;0;0;175,4;4,4950914;51,9188690;-289,31;-159,67;-1,15;3;7;0,7;1,7;0,80;0,17;-0,80;-0,10;-0,03;0,00;0,00
80;12,2;-0,08;0,05;9,66;0,18;0,04;0;0;0;175,4;4,4950914;51,9188690;-289,31;-159,67;-1,15;3;7;0,7;1,7;0,80;0,17;-0,80;-0,10;-0,03;0,00;0,00
90;12,2;-0,14;0,11;9,90;0,18;0,04;0;0;0;175,4;4,4950914;51,9188690;-289,31;-159,67;-1,15;3;7;0,7;1,7;0,80;0,18;-0,80;0,06;-0,02;0,00;0,00
100;12,2;-0,25;0,02;10,04;0,12;0,04;0;0;0;175,4;4,4950914;51,9188690;-289,31;-159,67;-1,15;3;7;0,7;1,7;0,80;0,23;-0,80;-0,00;-0,02;0,00;0,00
