FILE NAME;005_22306_180404_080100.CSV
HASHCODE;491534CB2104CAD37C27809C93C95494573844045A75C278E59DE8A773384C8F
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;08:01:00;GMT+00:00
END OF MEASUREMENT;18/04/2004;08:01:39;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   38840;[mS]
TIME GPS SPEED WENT OVER 2KPH;    5970;[mS]
TIME GPS SPEED WENT UNDER 2KPH;     170;[mS]
PEAK GPS SPEED; 95,22;[kph]
TIME OF PEAK GPS SPEED;   24150;[mS]
PEAK SPEED; 95,20;[kph]
TIME OF PEAK SPEED;   23330;[mS]
TIME ACC WENT OVER 1m/s/s;    9520;[mS]
PEAK ACC;  7,24;[m/s/s]
TIME OF PEAK ACC;   29020;[mS]
PEAK PITCH;   2,69;[deg]
TIME OF PEAK PITCH;   31230;[mS]
PEAK SLIP;  40,85;[deg]
TIME OF PEAK SLIP;   33760;[mS]
AVERAGE LONG ACCEL AT START; -0,13;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,04;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,83;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,02;[deg/s]
AVERAGE LONG ACCEL AT END; -1,10;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,38;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,84;[m/s/s]
AVERAGE PITCH RATE AT END;   0,24;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;-0,04;-0,05;9,80;0,25;0,07;0;0;0;169,4;4,4940953;51,9186554;-357,71;-183,24;-0,83;1;10;0,5;1,5;0,76;0,13;-0,77;-0,00;0,02;0,00;0,00
10;12,2;-0,13;0,04;9,68;-0,17;0,07;0;0;0;169,4;4,4940953;51,9186554;-357,71;-183,24;-0,83;1;10;0,5;1,5;0,75;0,31;-0,75;0,09;0,02;0,00;0,00
20;12,2;-0,04;0,03;9,85;0,35;0,07;0;0;0;169,4;4,4940953;51,9186554;-357,71;-183,24;-0,83;1;10;0,5;1,5;0,75;0,03;-0,75;0,00;0,02;0,00;0,00
30;12,2;-0,25;0,01;9,94;0,04;0,07;0;0;0;169,4;4,4940953;51,9186554;-357,71;-183,24;-0,83;1;10;0,5;1,5;0,75;0,05;-0,74;0,09;0,03;0,00;0,00
40;12,2;-0,16;0,01;9,72;0,05;0,07;0;0;0;169,4;4,4940953;51,9186554;-357,71;-183,24;-0,83;1;10;0,5;1,5;0,75;0,06;-0,74;-0,12;0,01;0,00;0,00
50;12,2;-0,09;0,04;9,73;0,15;0,07;0;0;0;169,4;4,4940953;51,9186554;-357,71;-183,24;-0,83;1;10;0,5;1,5;0,75;0,06;-0,74;-0,03;0,01;0,00;0,00
60;12,2;-0,10;0,05;9,93;-0,20;0,07;0;0;0;169,4;4,4940953;51,9186554;-357,71;-183,24;-0,83;1;10;0,5;1,5;0,74;0,09;-0,74;0,04;0,01;0,00;0,00
70;12,2;-0,21;0,03;9,88;-0,34;0,07;0;0;0;169,4;4,4940953;51,9186554;-357,71;-183,24;-0,83;1;10;0,5;1,5;0,74;0,12;-0,74;0,03;0,01;0,00;0,00
80;12,2;-0,12;-0,01;9,74;-0,13;0,07;0;0;0;169,4;4,4940953;51,9186554;-357,71;-183,24;-0,83;1;10;0,5;1,5;0,74;0,13;-0,75;-0,09;0,00;0,00;0,00
90;12,2;-0,10;0,05;9,89;0,19;0,07;0;0;0;169,4;4,4940953;51,9186554;-357,71;-183,24;-0,83;1;10;0,5;1,5;0,75;0,11;-0,75;0,01;0,00;0,00;0,00
100;12,2;-0,19;0,02;10,04;-0,20;0,07;0;0;0;169,4;4,4940953;51,9186554;-357,71;-183,24;-0,83;1;10;0,5;1,5;0,75;0,13;-0,75;0,03;0,01;0,00;0,00
