FILE NAME;006_22306_180404_080516.CSV
HASHCODE;37D3355E7BD6290FA7303BFD16F82E695F8D1C8B4759AC9675AFF3D3567BD927
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;08:05:16;GMT+00:00
END OF MEASUREMENT;18/04/2004;08:06:16;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   59700;[mS]
TIME GPS SPEED WENT OVER 2KPH;    5420;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   49020;[mS]
PEAK GPS SPEED; 95,51;[kph]
TIME OF PEAK GPS SPEED;   23210;[mS]
PEAK SPEED; 95,63;[kph]
TIME OF PEAK SPEED;   22080;[mS]
TIME ACC WENT OVER 1m/s/s;    8610;[mS]
PEAK ACC;  6,65;[m/s/s]
TIME OF PEAK ACC;   32050;[mS]
PEAK PITCH;   5,47;[deg]
TIME OF PEAK PITCH;   50610;[mS]
PEAK SLIP; 149,66;[deg]
TIME OF PEAK SLIP;   59610;[mS]
AVERAGE LONG ACCEL AT START; -0,17;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,06;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,83;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,01;[deg/s]
AVERAGE LONG ACCEL AT END;  0,33;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,10;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,88;[m/s/s]
AVERAGE PITCH RATE AT END;   0,15;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;-0,18;0,06;9,92;-0,34;0,04;0;0;0;208,1;4,4930530;51,9183197;-429,29;-220,50;-3,32;3;8;0,7;1,5;0,72;0,22;-0,99;-0,10;0,01;0,00;0,05
10;12,2;-0,21;0,12;9,77;-0,27;0,04;0;0;0;208,1;4,4930530;51,9183197;-429,29;-220,50;-3,32;3;8;0,7;1,5;0,99;0,37;-0,99;-0,01;0,01;0,00;0,05
20;12,2;-0,15;0,10;9,64;0,11;0,04;0;0;0;208,1;4,4930530;51,9183197;-429,29;-220,50;-3,32;3;8;0,7;1,5;0,99;0,54;-0,99;-0,04;0,00;0,00;0,05
30;12,2;-0,14;0,09;9,88;0,13;0,04;0;0;0;208,1;4,4930530;51,9183197;-429,29;-220,50;-3,32;3;8;0,7;1,5;0,99;0,56;-0,99;0,02;0,00;0,00;0,05
40;12,2;-0,18;0,12;9,87;-0,19;0,04;0;0;0;208,1;4,4930530;51,9183197;-429,29;-220,50;-3,32;3;8;0,7;1,5;0,99;0,55;-0,99;0,03;0,01;0,00;0,05
50;12,2;-0,15;0,06;9,68;-0,13;0,04;0;0;0;208,1;4,4930530;51,9183197;-429,29;-220,50;-3,32;3;8;0,7;1,5;0,99;0,58;-0,99;-0,02;0,00;0,00;0,05
60;12,2;-0,10;0,01;9,85;-0,05;0,04;0;0;0;208,1;4,4930530;51,9183197;-429,29;-220,50;-3,32;3;8;0,7;1,5;0,99;0,55;-0,99;0,02;0,01;0,00;0,05
70;12,2;-0,11;0,12;9,96;0,00;0,04;0;0;0;208,1;4,4930530;51,9183197;-429,29;-220,50;-3,32;3;8;0,7;1,5;0,99;0,48;-0,99;0,07;0,01;0,00;0,05
80;12,2;-0,21;0,10;9,78;-0,29;0,04;0;0;0;208,1;4,4930530;51,9183197;-429,29;-220,50;-3,32;3;8;0,7;1,5;0,99;0,51;-0,99;0,06;0,02;0,00;0,05
90;12,2;-0,10;0,04;9,63;0,02;0,04;0;0;0;208,1;4,4930530;51,9183197;-429,29;-220,50;-3,32;3;8;0,7;1,5;0,99;0,52;-1,00;-0,04;0,01;0,00;0,05
100;12,2;-0,14;0,07;9,87;0,09;0,04;0;0;0;208,1;4,4930530;51,9183197;-429,29;-220,50;-3,32;3;8;0,7;1,5;0,99;0,49;-0,99;0,07;0,02;0,00;0,05
