FILE NAME;007_22306_180404_080840.CSV
HASHCODE;11680EEB8FA4436D0F3AF9D30ED993EB8767FB1129188AABDE3C8253C092C2FC
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;08:08:40;GMT+00:00
END OF MEASUREMENT;18/04/2004;08:09:47;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   67400;[mS]
TIME GPS SPEED WENT OVER 2KPH;    5140;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   50730;[mS]
PEAK GPS SPEED; 85,68;[kph]
TIME OF PEAK GPS SPEED;   25720;[mS]
PEAK SPEED; 85,57;[kph]
TIME OF PEAK SPEED;   25480;[mS]
TIME ACC WENT OVER 1m/s/s;    8250;[mS]
PEAK ACC;  5,44;[m/s/s]
TIME OF PEAK ACC;   32970;[mS]
PEAK PITCH;   2,90;[deg]
TIME OF PEAK PITCH;   33000;[mS]
PEAK SLIP;  43,24;[deg]
TIME OF PEAK SLIP;   37940;[mS]
AVERAGE LONG ACCEL AT START; -0,17;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,07;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,83;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,01;[deg/s]
AVERAGE LONG ACCEL AT END;  0,30;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,47;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,85;[m/s/s]
AVERAGE PITCH RATE AT END;   0,11;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;-0,11;0,10;9,82;-0,27;0,04;0;0;0;47,3;4,4930558;51,9183235;-429,08;-220,50;0,14;3;8;0,8;1,6;1,00;0,37;-0,89;-0,01;-0,02;0,00;0,00
10;12,2;-0,18;0,09;9,73;-0,18;0,04;0;0;0;47,3;4,4930558;51,9183235;-429,08;-220,50;0,14;3;8;0,8;1,6;0,89;0,59;-0,89;0,05;-0,02;0,00;0,00
20;12,2;-0,18;0,04;9,85;-0,01;0,04;0;0;0;47,3;4,4930558;51,9183235;-429,08;-220,50;0,14;3;8;0,8;1,6;0,90;0,56;-0,90;-0,02;-0,02;0,00;0,00
30;12,2;-0,25;0,06;9,99;-0,21;0,04;0;0;0;47,3;4,4930558;51,9183235;-429,08;-220,50;0,14;3;8;0,8;1,6;0,90;0,46;-0,90;-0,02;-0,02;0,00;0,00
40;12,2;-0,21;0,03;9,80;-0,10;0,04;0;0;0;47,3;4,4930558;51,9183235;-429,08;-220,50;0,14;3;8;0,8;1,6;0,90;0,44;-0,90;-0,10;-0,03;0,00;0,00
50;12,2;-0,17;-0,03;9,86;0,34;0,04;0;0;0;47,3;4,4930558;51,9183235;-429,08;-220,50;0,14;3;8;0,8;1,6;0,90;0,39;-0,90;-0,06;-0,03;0,00;0,00
60;12,2;-0,11;0,11;9,89;-0,23;0,04;0;0;0;47,3;4,4930558;51,9183235;-429,08;-220,50;0,14;3;8;0,8;1,6;0,90;0,29;-0,90;-0,01;-0,03;0,00;0,00
70;12,2;-0,26;0,18;9,87;-0,16;0,04;0;0;0;47,3;4,4930558;51,9183235;-429,08;-220,50;0,14;3;8;0,8;1,6;0,90;0,34;-0,90;0,05;-0,02;0,00;0,00
80;12,2;-0,14;0,08;9,71;-0,04;0,04;0;0;0;47,3;4,4930558;51,9183235;-429,08;-220,50;0,14;3;8;0,8;1,6;0,90;0,43;-0,90;-0,11;-0,03;0,00;0,00
90;12,2;-0,12;0,01;9,80;0,20;0,04;0;0;0;47,3;4,4930558;51,9183235;-429,08;-220,50;0,14;3;8;0,8;1,6;0,90;0,44;-0,90;0,02;-0,02;0,00;0,00
100;12,2;-0,15;0,06;10,01;-0,11;0,04;0;0;0;47,3;4,4930558;51,9183235;-429,08;-220,50;0,14;3;8;0,8;1,6;0,90;0,40;-0,90;0,04;-0,02;0,00;0,00
