FILE NAME;008_22306_180404_081352.CSV
HASHCODE;0AF61F3CD8D1886EB00DC4A0340282A6334BF868102A6F1A233BE7E71C277019
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;08:13:52;GMT+00:00
END OF MEASUREMENT;18/04/2004;08:14:48;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;LOGGING STARTED WITHOUT GPS
UNIT SERIAL;22306
TOTAL TIME;   57050;[mS]
TIME GPS SPEED WENT OVER 2KPH;        ;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED;  0,00;[kph]
TIME OF PEAK GPS SPEED;       0;[mS]
PEAK SPEED;  9,60;[kph]
TIME OF PEAK SPEED;   24340;[mS]
TIME ACC WENT OVER 1m/s/s;   25960;[mS]
PEAK ACC;  8,76;[m/s/s]
TIME OF PEAK ACC;   50060;[mS]
PEAK PITCH;  11,38;[deg]
TIME OF PEAK PITCH;   56410;[mS]
PEAK SLIP;   0,00;[deg]
TIME OF PEAK SLIP;       0;[mS]
AVERAGE LONG ACCEL AT START;  0,16;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,06;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,83;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,04;[deg/s]
AVERAGE LONG ACCEL AT END; -1,45;[m/s/s]
AVERAGE LAT ACCEL AT END; -1,37;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;   0,25;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;0,03;-0,07;9,81;-0,06;0,14;0;0;0;335,1;4,4922009;51,9180107;-487,79;-255,09;-0,28;1;6;0,9;1,6;0,92;0,41;0,95;0,01;-0,00;0,00;0,00
10;12,2;0,08;-0,08;9,95;-0,19;0,14;0;0;0;335,1;4,4922009;51,9180107;-487,79;-255,09;-0,28;1;6;0,9;1,6;0,95;0,43;0,95;-0,14;-0,02;0,00;0,00
20;12,2;0,19;-0,03;9,70;-0,09;0,14;0;0;0;335,1;4,4922009;51,9180107;-487,79;-255,09;-0,28;1;6;0,9;1,6;0,95;0,45;0,95;-0,08;-0,02;0,00;0,00
30;12,2;0,20;-0,06;9,74;0,13;0,14;0;0;0;335,1;4,4922009;51,9180107;-487,79;-255,09;-0,28;1;6;0,9;1,6;0,95;0,37;0,95;0,03;-0,02;0,00;0,00
40;12,2;0,22;-0,10;9,95;0,00;0,14;0;0;0;335,1;4,4922009;51,9180107;-487,79;-255,09;-0,28;1;6;0,9;1,6;0,95;0,37;0,95;0,04;-0,01;0,00;0,00
50;12,2;0,12;-0,06;9,96;-0,14;0,14;0;0;0;335,1;4,4922009;51,9180107;-487,79;-255,09;-0,28;1;6;0,9;1,6;0,95;0,41;0,95;0,06;-0,01;0,00;0,00
60;12,2;0,17;-0,03;9,65;0,17;0,14;0;0;0;335,1;4,4922009;51,9180107;-487,79;-255,09;-0,28;1;6;0,9;1,6;0,95;0,41;0,95;-0,04;-0,01;0,00;0,00
70;12,2;0,15;-0,02;9,87;0,33;0,14;0;0;0;335,1;4,4922009;51,9180107;-487,79;-255,09;-0,28;1;6;0,9;1,6;0,95;0,38;0,95;0,01;-0,01;0,00;0,00
80;12,2;0,07;-0,06;10,02;0,14;0,14;0;0;0;335,1;4,4922009;51,9180107;-487,79;-255,09;-0,28;1;6;0,9;1,6;0,95;0,35;0,95;-0,01;-0,01;0,00;0,00
90;12,2;0,11;-0,09;9,73;-0,13;0,14;0;0;0;335,1;4,4922009;51,9180107;-487,79;-255,09;-0,28;1;6;0,9;1,6;0,95;0,35;0,95;-0,09;-0,02;0,00;0,00
100;12,2;0,19;-0,07;9,66;-0,38;0,14;0;0;0;335,1;4,4922009;51,9180107;-487,79;-255,09;-0,28;1;6;0,9;1,6;0,95;0,37;0,95;-0,05;-0,02;0,00;0,00
