FILE NAME;010_22306_180404_082432.CSV
HASHCODE;C14B63837A2C3CE82C7A28BD86E08ADB0B3DD7D1267FAE77B848A9C8D2D9CCF9
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;08:24:32;GMT+00:00
END OF MEASUREMENT;18/04/2004;08:25:20;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;LOGGING STARTED WITHOUT GPS
UNIT SERIAL;22306
TOTAL TIME;   47870;[mS]
TIME GPS SPEED WENT OVER 2KPH;        ;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED;  0,00;[kph]
TIME OF PEAK GPS SPEED;       0;[mS]
PEAK SPEED;  5,73;[kph]
TIME OF PEAK SPEED;   14530;[mS]
TIME ACC WENT OVER 1m/s/s;   15210;[mS]
PEAK ACC;  5,78;[m/s/s]
TIME OF PEAK ACC;   45460;[mS]
PEAK PITCH;   6,42;[deg]
TIME OF PEAK PITCH;   21020;[mS]
PEAK SLIP;   0,00;[deg]
TIME OF PEAK SLIP;       0;[mS]
AVERAGE LONG ACCEL AT START; -0,15;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,08;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,84;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,02;[deg/s]
AVERAGE LONG ACCEL AT END; -2,02;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,85;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,83;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,07;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;-0,10;-0,09;10,04;0,26;0,14;0;0;0;335,1;4,4922009;51,9180107;-487,79;-255,09;-0,28;3;6;0,9;1,6;0,80;0,28;-1,82;0,06;0,15;0,00;0,00
10;12,2;-0,22;-0,11;9,69;0,03;0,14;0;0;0;335,1;4,4922009;51,9180107;-487,79;-255,09;-0,28;3;6;0,9;1,6;1,81;0,54;-1,81;0,21;0,15;0,00;0,00
20;12,2;-0,08;-0,11;9,73;0,15;0,14;0;0;0;335,1;4,4922009;51,9180107;-487,79;-255,09;-0,28;3;6;0,9;1,6;1,81;0,60;-1,81;0,09;0,15;0,00;0,00
30;12,2;-0,13;-0,07;9,92;0,05;0,14;0;0;0;335,1;4,4922009;51,9180107;-487,79;-255,09;-0,28;3;6;0,9;1,6;1,81;0,61;-1,81;0,23;0,15;0,00;0,00
40;12,2;-0,23;-0,02;9,99;-0,13;0,14;0;0;0;335,1;4,4922009;51,9180107;-487,79;-255,09;-0,28;3;6;0,9;1,6;1,81;0,57;-1,81;0,18;0,16;0,00;0,00
50;12,2;-0,12;-0,06;9,70;0,09;0,14;0;0;0;335,1;4,4922009;51,9180107;-487,79;-255,09;-0,28;3;6;0,9;1,6;1,81;0,48;-1,81;0,08;0,15;0,00;0,00
60;12,2;-0,11;-0,15;9,76;0,16;0,14;0;0;0;335,1;4,4922009;51,9180107;-487,79;-255,09;-0,28;3;6;0,9;1,6;1,81;0,46;-1,81;0,19;0,15;0,00;0,00
70;12,2;-0,11;-0,11;9,92;-0,18;0,14;0;0;0;335,1;4,4922009;51,9180107;-487,79;-255,09;-0,28;3;6;0,9;1,6;1,81;0,52;-1,81;0,20;0,16;0,00;0,00
80;12,2;-0,18;-0,05;9,77;-0,04;0,14;0;0;0;335,1;4,4922009;51,9180107;-487,79;-255,09;-0,28;3;6;0,9;1,6;1,81;0,54;-1,81;0,20;0,16;0,00;0,00
90;12,2;-0,15;-0,02;9,71;0,12;0,14;0;0;0;335,1;4,4922009;51,9180107;-487,79;-255,09;-0,28;3;6;0,9;1,6;1,81;0,51;-1,81;0,12;0,16;0,00;0,00
100;12,2;-0,11;-0,08;9,92;0,06;0,14;0;0;0;335,1;4,4922009;51,9180107;-487,79;-255,09;-0,28;3;6;0,9;1,6;1,81;0,48;-1,80;0,16;0,16;0,00;0,00
