FILE NAME;011_22306_180404_084814.CSV
HASHCODE;B1755B4C2344E292EDA9B5F2AF99A1A3EC533376C7D51B085B93FF553920F07B
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;08:48:15;GMT+00:00
END OF MEASUREMENT;18/04/2004;08:48:54;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   39060;[mS]
TIME GPS SPEED WENT OVER 2KPH;   11300;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 78,66;[kph]
TIME OF PEAK GPS SPEED;   23870;[mS]
PEAK SPEED; 79,23;[kph]
TIME OF PEAK SPEED;   23530;[mS]
TIME ACC WENT OVER 1m/s/s;   15160;[mS]
PEAK ACC;  5,18;[m/s/s]
TIME OF PEAK ACC;   37620;[mS]
PEAK PITCH;   2,69;[deg]
TIME OF PEAK PITCH;   37640;[mS]
PEAK SLIP; 179,82;[deg]
TIME OF PEAK SLIP;   34680;[mS]
AVERAGE LONG ACCEL AT START;  0,01;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,23;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,77;[m/s/s]
AVERAGE PITCH RATE AT START;   0,35;[deg/s]
AVERAGE LONG ACCEL AT END; -1,96;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,18;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,71;[m/s/s]
AVERAGE PITCH RATE AT END;   0,05;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;-0,11;-0,17;9,79;0,21;0,00;0;0;0;299,2;4,4941378;51,9186745;-328,08;-166,13;8,56;3;9;0,9;2,0;0,00;1,16;0,20;-0,01;-0,00;0,00;0,00
10;12,2;0,04;-0,26;9,74;0,39;0,00;0;0;0;299,2;4,4941378;51,9186745;-328,08;-166,13;8,56;3;9;0,9;2,0;0,20;0,99;0,20;-0,14;-0,01;0,00;0,00
20;12,2;0,08;-0,23;9,66;0,64;0,00;0;0;0;299,2;4,4941378;51,9186745;-328,08;-166,13;8,56;3;9;0,9;2,0;0,20;1,25;0,20;0,00;-0,01;0,00;0,00
30;12,2;0,05;-0,19;9,85;0,33;0,00;0;0;0;299,2;4,4941378;51,9186745;-328,08;-166,13;8,56;3;9;0,9;2,0;0,20;1,28;0,20;0,05;-0,01;0,00;0,00
40;12,2;-0,09;-0,17;9,82;0,00;0,00;0;0;0;299,2;4,4941378;51,9186745;-328,08;-166,13;8,56;3;9;0,9;2,0;0,20;1,23;0,20;0,01;-0,01;0,00;0,00
50;12,2;0,04;-0,26;9,67;0,43;0,00;0;0;0;299,2;4,4941378;51,9186745;-328,08;-166,13;8,56;3;9;0,9;2,0;0,20;1,18;0,20;-0,12;-0,02;0,00;0,00
60;12,2;0,07;-0,28;9,76;0,14;0,00;0;0;0;299,2;4,4941378;51,9186745;-328,08;-166,13;8,56;3;9;0,9;2,0;0,20;1,24;0,20;0,00;-0,02;0,00;0,00
70;12,2;-0,05;-0,25;9,92;0,31;0,00;0;0;0;299,2;4,4941378;51,9186745;-328,08;-166,13;8,56;3;9;0,9;2,0;0,20;1,29;0,20;0,04;-0,01;0,00;0,00
80;12,2;-0,06;-0,22;9,79;0,23;0,00;0;0;0;299,2;4,4941378;51,9186745;-328,08;-166,13;8,56;3;9;0,9;2,0;0,20;1,31;0,20;-0,08;-0,02;0,00;0,00
90;12,2;0,12;-0,24;9,67;0,44;0,04;0;0;0;299,2;4,4941378;51,9186745;-328,08;-166,13;8,53;3;9;0,9;2,0;0,20;1,31;0,20;-0,09;-0,02;0,00;0,00
100;12,2;0,08;-0,22;9,77;0,64;0,04;0;0;0;299,2;4,4941378;51,9186745;-328,08;-166,13;8,53;3;9;0,9;2,0;0,20;1,32;0,20;0,09;-0,01;0,00;0,00
