FILE NAME;012_22306_180404_085055.CSV
HASHCODE;4DCDE64E9ED80E735DA1512FD6EDF01EB41B05127A0B9BE72913710ADA706A4E
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;08:50:55;GMT+00:00
END OF MEASUREMENT;18/04/2004;08:51:31;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   35450;[mS]
TIME GPS SPEED WENT OVER 2KPH;    5590;[mS]
TIME GPS SPEED WENT UNDER 2KPH;       0;[mS]
PEAK GPS SPEED; 84,28;[kph]
TIME OF PEAK GPS SPEED;   19200;[mS]
PEAK SPEED; 84,58;[kph]
TIME OF PEAK SPEED;   19000;[mS]
TIME ACC WENT OVER 1m/s/s;    9340;[mS]
PEAK ACC;  7,47;[m/s/s]
TIME OF PEAK ACC;   34070;[mS]
PEAK PITCH;   1,75;[deg]
TIME OF PEAK PITCH;   34090;[mS]
PEAK SLIP; 179,98;[deg]
TIME OF PEAK SLIP;   31410;[mS]
AVERAGE LONG ACCEL AT START; -0,02;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,16;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,80;[m/s/s]
AVERAGE PITCH RATE AT START;   0,33;[deg/s]
AVERAGE LONG ACCEL AT END; -2,42;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,32;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,70;[m/s/s]
AVERAGE PITCH RATE AT END;   0,02;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;0,01;-0,12;9,88;0,19;0,11;0;0;0;107,5;4,4929590;51,9183235;-409,01;-205,29;10,08;3;8;0,7;2,2;0,15;0,71;-0,15;-0,08;-0,01;0,00;0,19
10;12,1;-0,03;-0,13;9,70;0,46;0,11;0;0;0;284,8;4,4929585;51,9183273;-409,03;-204,91;10,11;3;8;0,7;2,2;0,15;0,71;-0,15;0,03;-0,01;0,00;0,19
20;12,1;0,01;-0,19;9,81;0,63;0,11;0;0;0;284,8;4,4929585;51,9183273;-409,03;-204,91;10,11;3;8;0,7;2,2;0,15;0,73;-0,15;-0,01;-0,01;0,00;0,19
30;12,1;-0,01;-0,14;9,95;0,37;0,11;0;0;0;284,8;4,4929585;51,9183273;-409,03;-204,91;10,11;3;8;0,7;2,2;0,15;0,82;-0,14;0,03;-0,00;0,00;0,19
40;12,1;-0,08;-0,10;9,83;0,46;0,11;0;0;0;284,8;4,4929585;51,9183273;-409,03;-204,91;10,11;3;8;0,7;2,2;0,15;0,82;-0,14;0,01;-0,00;0,00;0,19
50;12,1;-0,03;-0,21;9,75;0,51;0,11;0;0;0;284,8;4,4929585;51,9183273;-409,03;-204,91;10,11;3;8;0,7;2,2;0,15;0,78;-0,14;-0,05;-0,01;0,00;0,19
60;12,1;0,03;-0,16;9,82;0,42;0,11;0;0;0;284,8;4,4929585;51,9183273;-409,03;-204,91;10,11;3;8;0,7;2,2;0,15;0,85;-0,14;-0,01;-0,01;0,00;0,19
70;12,2;-0,13;-0,08;9,87;0,38;0,11;0;0;0;284,8;4,4929585;51,9183273;-409,03;-204,91;10,11;3;8;0,7;2,2;0,14;0,86;-0,14;0,05;-0,00;0,00;0,19
80;12,2;-0,05;-0,13;9,75;0,63;0,11;0;0;0;284,8;4,4929585;51,9183273;-409,03;-204,91;10,11;3;8;0,7;2,2;0,14;0,82;-0,14;-0,10;-0,01;0,00;0,19
90;12,2;0,11;-0,22;9,78;0,51;0,11;0;0;0;284,8;4,4929585;51,9183273;-409,03;-204,91;10,11;3;8;0,7;2,2;0,14;0,81;-0,13;-0,03;-0,01;0,00;0,18
100;12,2;0,04;-0,16;9,92;0,29;0,11;0;0;0;284,8;4,4929585;51,9183273;-409,03;-204,91;10,11;3;8;0,7;2,2;0,14;0,85;-0,13;0,14;0,00;0,00;0,19
