FILE NAME;013_22306_180404_085328.CSV
HASHCODE;9C77D092251A8DFB1EF3B7821804F4A6706708840B251FBAA1374724B0619DE4
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;08:53:28;GMT+00:00
END OF MEASUREMENT;18/04/2004;08:53:48;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   37940;[mS]
TIME GPS SPEED WENT OVER 2KPH;      30;[mS]
TIME GPS SPEED WENT UNDER 2KPH;     630;[mS]
PEAK GPS SPEED; 96,16;[kph]
TIME OF PEAK GPS SPEED;   23630;[mS]
PEAK SPEED; 96,23;[kph]
TIME OF PEAK SPEED;   23530;[mS]
TIME ACC WENT OVER 1m/s/s;    9650;[mS]
PEAK ACC;  6,68;[m/s/s]
TIME OF PEAK ACC;   34830;[mS]
PEAK PITCH;   3,95;[deg]
TIME OF PEAK PITCH;    2210;[mS]
PEAK SLIP; 179,81;[deg]
TIME OF PEAK SLIP;   33450;[mS]
AVERAGE LONG ACCEL AT START;  1,29;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,10;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,76;[m/s/s]
AVERAGE PITCH RATE AT START;   0,22;[deg/s]
AVERAGE LONG ACCEL AT END; -2,75;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,73;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,86;[m/s/s]
AVERAGE PITCH RATE AT END;   0,43;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;1,46;-0,10;9,87;-0,02;4,72;0;0;0;232,1;4,4920583;51,9179688;-470,85;-244,83;7,99;1;7;1,3;1,8;2,09;0,31;2,09;0,88;1,07;0,00;9,08
10;12,1;1,38;-0,14;9,71;0,05;4,72;0;0;0;232,1;4,4920583;51,9179688;-470,85;-244,83;7,99;1;7;1,3;1,8;2,09;0,45;2,09;1,10;1,08;0,00;9,09
20;12,1;1,64;-0,13;9,67;0,53;4,07;0;0;0;232,1;4,4920554;51,9179649;-471,05;-244,83;8,00;1;7;1,3;1,8;2,09;0,58;2,10;1,02;1,07;0,00;9,10
30;12,2;1,57;-0,07;9,79;0,51;4,07;0;0;0;232,1;4,4920554;51,9179649;-471,05;-244,83;8,00;1;7;1,3;1,8;2,10;0,62;2,10;1,28;1,09;0,00;9,12
40;12,2;1,25;-0,04;9,86;-0,11;4,07;0;0;0;232,1;4,4920554;51,9179649;-471,05;-244,83;8,00;1;7;1,3;1,8;2,10;0,58;2,11;1,21;1,10;0,00;9,14
50;12,2;1,46;-0,09;9,68;0,61;4,07;0;0;0;232,1;4,4920554;51,9179649;-471,05;-244,83;8,00;1;7;1,3;1,8;2,10;0,53;2,11;0,89;1,08;0,00;9,13
60;12,2;1,64;-0,01;9,67;0,41;4,07;0;0;0;232,1;4,4920554;51,9179649;-471,05;-244,83;8,00;1;7;1,3;1,8;2,10;0,53;2,12;1,09;1,08;0,00;9,13
70;12,2;1,23;-0,04;9,83;0,12;4,07;0;0;0;232,1;4,4920554;51,9179649;-471,05;-244,83;8,00;1;7;1,3;1,8;2,11;0,48;2,13;1,27;1,10;0,00;9,14
80;12,2;1,40;-0,09;9,68;0,42;4,07;0;0;0;232,1;4,4920554;51,9179649;-471,05;-244,83;8,00;1;7;1,3;1,8;2,11;0,45;2,14;0,87;1,08;0,00;9,14
90;12,2;1,62;-0,11;9,70;0,78;4,07;0;0;0;232,1;4,4920554;51,9179649;-471,05;-244,83;8,00;1;7;1,3;1,8;2,11;0,46;2,14;1,03;1,08;0,00;9,14
100;12,2;1,56;-0,05;9,79;0,26;4,07;0;0;0;232,1;4,4920554;51,9179649;-471,05;-244,83;8,00;1;7;1,3;1,8;2,12;0,48;2,16;1,25;1,09;0,00;9,15
