FILE NAME;014_22306_180404_085549.CSV
HASHCODE;40FCB6FAA692B1D49284B39F809973FDE0D264FA7CD059F8CD6F22682D1907CD
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;08:55:49;GMT+00:00
END OF MEASUREMENT;18/04/2004;08:56:37;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   47710;[mS]
TIME GPS SPEED WENT OVER 2KPH;     180;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED;107,32;[kph]
TIME OF PEAK GPS SPEED;   31400;[mS]
PEAK SPEED;107,41;[kph]
TIME OF PEAK SPEED;   31420;[mS]
TIME ACC WENT OVER 1m/s/s;   10230;[mS]
PEAK ACC;  6,67;[m/s/s]
TIME OF PEAK ACC;   41000;[mS]
PEAK PITCH;   2,84;[deg]
TIME OF PEAK PITCH;   10370;[mS]
PEAK SLIP; 179,62;[deg]
TIME OF PEAK SLIP;   39210;[mS]
AVERAGE LONG ACCEL AT START; -0,39;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,09;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,30;[deg/s]
AVERAGE LONG ACCEL AT END; -1,47;[m/s/s]
AVERAGE LAT ACCEL AT END; -2,45;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,72;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,00;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;-0,37;0,13;9,86;0,26;10,58;0;0;0;130,8;4,4906902;51,9169044;-569,03;-361,16;3,08;0;4;9,8;10,0;2,54;0,60;-2,38;-0,03;0,02;0,00;7,87
10;12,1;-0,40;0,10;9,69;0,16;10,58;0;0;0;130,8;4,4906902;51,9169044;-569,03;-361,16;3,08;0;4;9,8;10,0;2,38;0,76;-2,38;0,04;0,02;0,00;7,89
20;12,1;-0,37;0,06;9,83;0,38;10,58;0;0;0;130,8;4,4906902;51,9169044;-569,03;-361,16;3,08;0;4;9,8;10,0;2,38;0,68;-2,38;0,01;0,02;0,00;7,90
30;12,2;-0,34;0,08;9,93;0,75;10,58;0;0;0;130,8;4,4906902;51,9169044;-569,03;-361,16;3,08;0;4;9,8;10,0;2,38;0,57;-2,38;0,04;0,02;0,00;7,91
40;12,1;-0,41;0,09;9,84;0,22;10,58;0;0;0;130,8;4,4906902;51,9169044;-569,03;-361,16;3,08;0;4;9,8;10,0;2,38;0,55;-2,38;0,07;0,03;0,00;7,93
50;12,2;-0,33;0,07;9,64;0,55;10,58;0;0;0;130,8;4,4906902;51,9169044;-569,03;-361,16;3,08;0;4;9,8;10,0;2,38;0,55;-2,38;0,00;0,03;0,00;7,94
60;12,2;-0,38;0,09;9,85;0,60;10,58;0;0;0;130,8;4,4906902;51,9169044;-569,03;-361,16;3,08;0;4;9,8;10,0;2,38;0,53;-2,38;0,08;0,03;0,00;7,95
70;12,2;-0,41;0,07;10,00;0,60;10,58;0;0;0;130,8;4,4906902;51,9169044;-569,03;-361,16;3,08;0;4;9,8;10,0;2,38;0,53;-2,38;0,03;0,03;0,00;7,96
80;12,2;-0,40;0,10;9,78;0,27;10,58;0;0;0;130,8;4,4906902;51,9169044;-569,03;-361,16;3,08;0;4;9,8;10,0;2,38;0,52;-2,38;0,00;0,03;0,00;7,97
90;12,1;-0,34;-0,01;9,83;0,21;10,58;0;0;0;130,8;4,4906902;51,9169044;-569,03;-361,16;3,08;0;4;9,8;10,0;2,38;0,52;-2,38;0,01;0,03;0,00;7,99
100;12,1;-0,32;0,10;9,88;0,58;10,58;0;0;0;130,8;4,4906902;51,9169044;-569,03;-361,16;3,08;0;4;9,8;10,0;2,38;0,46;-2,38;0,07;0,03;0,00;8,00
