FILE NAME;015_22306_180404_085825.CSV
HASHCODE;DAAF1D535523D74C0B10402E40677A95C2108FB57DB6E1A6293F041E259E4FCC
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;08:58:25;GMT+00:00
END OF MEASUREMENT;18/04/2004;08:59:02;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   37170;[mS]
TIME GPS SPEED WENT OVER 2KPH;    1060;[mS]
TIME GPS SPEED WENT UNDER 2KPH;      60;[mS]
PEAK GPS SPEED; 78,84;[kph]
TIME OF PEAK GPS SPEED;   14050;[mS]
PEAK SPEED; 79,82;[kph]
TIME OF PEAK SPEED;   13780;[mS]
TIME ACC WENT OVER 1m/s/s;    9650;[mS]
PEAK ACC;  6,42;[m/s/s]
TIME OF PEAK ACC;   30100;[mS]
PEAK PITCH;   3,17;[deg]
TIME OF PEAK PITCH;   31360;[mS]
PEAK SLIP; 179,45;[deg]
TIME OF PEAK SLIP;   28660;[mS]
AVERAGE LONG ACCEL AT START;  0,77;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,09;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,82;[m/s/s]
AVERAGE PITCH RATE AT START;   0,61;[deg/s]
AVERAGE LONG ACCEL AT END; -1,66;[m/s/s]
AVERAGE LAT ACCEL AT END; -1,91;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,75;[m/s/s]
AVERAGE PITCH RATE AT END;   0,26;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;0,53;-0,19;9,93;0,62;0,11;0;0;0;353,0;4,4929934;51,9183197;-406,66;-205,29;0,77;1;8;0,9;1,9;2,42;0,53;-0,51;0,15;0,28;0,00;0,42
10;12,1;0,29;-0,01;9,70;-0,06;0,11;0;0;0;353,0;4,4929934;51,9183197;-406,66;-205,29;0,77;1;8;0,9;1,9;0,51;1,11;-0,51;0,62;0,32;0,00;0,44
20;12,1;0,32;-0,23;10,15;1,01;0,11;0;0;0;353,0;4,4929934;51,9183197;-406,66;-205,29;0,77;1;8;0,9;1,9;0,51;0,57;-0,51;0,37;0,32;0,00;0,45
30;12,1;0,38;0,02;9,73;-0,05;0,11;0;0;0;353,0;4,4929934;51,9183197;-406,66;-205,29;0,77;1;8;0,9;1,9;0,51;0,82;-0,51;0,41;0,33;0,00;0,47
40;12,1;0,25;-0,11;10,07;0,49;0,11;0;0;0;353,0;4,4929934;51,9183197;-406,66;-205,29;0,77;1;8;0,9;1,9;0,51;0,58;-0,51;0,47;0,35;0,00;0,49
50;12,1;0,11;0,09;9,62;0,02;0,11;0;0;0;353,0;4,4929934;51,9183197;-406,66;-205,29;0,77;1;8;0,9;1,9;0,51;0,60;-0,51;0,33;0,34;0,00;0,50
60;12,1;0,20;-0,18;9,92;0,38;0,22;0;0;0;34,2;4,4929934;51,9183197;-406,66;-205,29;0,79;1;8;0,9;1,9;0,51;0,41;-0,51;0,20;0,33;0,00;0,50
70;12,1;0,24;-0,01;9,55;0,46;0,22;0;0;0;34,2;4,4929934;51,9183197;-406,66;-205,29;0,79;1;8;0,9;1,9;0,51;0,50;-0,51;0,29;0,33;0,00;0,52
80;12,1;0,06;-0,22;10,03;0,64;0,22;0;0;0;34,2;4,4929934;51,9183197;-406,66;-205,29;0,79;1;8;0,9;1,9;0,51;0,44;-0,49;0,33;0,33;0,00;0,53
90;12,1;0,25;-0,08;9,84;-0,08;0,22;0;0;0;34,2;4,4929934;51,9183197;-406,66;-205,29;0,79;1;8;0,9;1,9;0,51;0,53;-0,49;0,15;0,31;0,00;0,53
100;12,1;0,04;-0,25;10,20;0,69;0,22;0;0;0;34,2;4,4929934;51,9183197;-406,66;-205,29;0,79;1;8;0,9;1,9;0,51;0,53;-0,50;0,33;0,31;0,00;0,55
