FILE NAME;016_22306_180404_090058.CSV
HASHCODE;8B45061794B09D4A8666361C4E19C99B5A0BA4F5AF2704606A6DC90AD4E7126A
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;09:00:58;GMT+00:00
END OF MEASUREMENT;18/04/2004;09:01:48;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   50020;[mS]
TIME GPS SPEED WENT OVER 2KPH;    7370;[mS]
TIME GPS SPEED WENT UNDER 2KPH;     180;[mS]
PEAK GPS SPEED;109,84;[kph]
TIME OF PEAK GPS SPEED;   30970;[mS]
PEAK SPEED;110,21;[kph]
TIME OF PEAK SPEED;   30700;[mS]
TIME ACC WENT OVER 1m/s/s;   10330;[mS]
PEAK ACC;  7,30;[m/s/s]
TIME OF PEAK ACC;   40250;[mS]
PEAK PITCH;   2,73;[deg]
TIME OF PEAK PITCH;   41080;[mS]
PEAK SLIP; 179,96;[deg]
TIME OF PEAK SLIP;   39000;[mS]
AVERAGE LONG ACCEL AT START; -0,41;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,19;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,84;[m/s/s]
AVERAGE PITCH RATE AT START;   0,30;[deg/s]
AVERAGE LONG ACCEL AT END; -1,02;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,26;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,83;[m/s/s]
AVERAGE PITCH RATE AT END;   0,55;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;-0,39;0,28;9,84;0,02;0,18;0;0;0;16,4;4,4904766;51,9168892;-579,44;-364,58;-0,25;1;6;1,2;2,1;0,32;0,52;-2,38;-0,11;0,00;0,00;0,00
10;12,1;-0,38;0,24;9,64;0,50;0,18;0;0;0;16,4;4,4904766;51,9168892;-579,44;-364,58;-0,25;1;6;1,2;2,1;2,39;1,61;-2,39;0,02;0,01;0,00;0,00
20;12,1;-0,35;0,15;9,75;0,47;0,18;0;0;0;16,4;4,4904766;51,9168892;-579,44;-364,58;-0,25;1;6;1,2;2,1;2,39;1,50;-2,39;0,03;0,01;0,00;0,00
30;12,1;-0,45;0,24;9,88;-0,08;0,18;0;0;0;16,4;4,4904766;51,9168892;-579,44;-364,58;-0,25;1;6;1,2;2,1;2,39;1,29;-2,38;0,06;0,01;0,00;0,00
40;12,1;-0,50;0,23;9,87;0,02;0,18;0;0;0;16,4;4,4904766;51,9168892;-579,44;-364,58;-0,25;1;6;1,2;2,1;2,39;1,32;-2,39;-0,04;0,01;0,00;0,00
50;12,1;-0,40;0,19;9,74;0,27;0,18;0;0;0;16,4;4,4904766;51,9168892;-579,44;-364,58;-0,25;1;6;1,2;2,1;2,39;1,32;-2,39;-0,09;-0,00;0,00;0,00
60;12,1;-0,41;0,16;9,86;0,48;0,18;0;0;0;16,4;4,4904766;51,9168892;-579,44;-364,58;-0,25;1;6;1,2;2,1;2,39;1,28;-2,39;0,01;-0,00;0,00;0,00
70;12,1;-0,47;0,17;9,98;0,16;0,18;0;0;0;16,4;4,4904766;51,9168892;-579,44;-364,58;-0,25;1;6;1,2;2,1;2,39;1,23;-2,39;0,00;-0,00;0,00;0,00
80;12,1;-0,43;0,21;9,77;0,15;0,18;0;0;0;16,4;4,4904766;51,9168892;-579,44;-364,58;-0,25;1;6;1,2;2,1;2,39;1,20;-2,39;-0,06;-0,01;0,00;0,00
90;12,1;-0,35;0,14;9,79;0,31;0,18;0;0;0;16,4;4,4904766;51,9168892;-579,44;-364,58;-0,25;1;6;1,2;2,1;2,39;1,20;-2,38;-0,02;-0,01;0,00;0,00
100;12,1;-0,35;0,20;9,87;0,38;0,18;0;0;0;16,4;4,4904766;51,9168892;-579,44;-364,58;-0,25;1;6;1,2;2,1;2,39;1,17;-2,38;0,06;-0,00;0,00;0,00
