FILE NAME;017_22306_180404_090324.CSV
HASHCODE;B62142A52A842A6B236E4EAFAC8A987667C7606C3D2171370082C0D9A611A512
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;09:03:24;GMT+00:00
END OF MEASUREMENT;18/04/2004;09:04:06;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   41870;[mS]
TIME GPS SPEED WENT OVER 2KPH;    6870;[mS]
TIME GPS SPEED WENT UNDER 2KPH;      60;[mS]
PEAK GPS SPEED; 68,69;[kph]
TIME OF PEAK GPS SPEED;   18260;[mS]
PEAK SPEED; 69,03;[kph]
TIME OF PEAK SPEED;   18200;[mS]
TIME ACC WENT OVER 1m/s/s;   11250;[mS]
PEAK ACC;  5,27;[m/s/s]
TIME OF PEAK ACC;   40670;[mS]
PEAK PITCH;   2,26;[deg]
TIME OF PEAK PITCH;   40680;[mS]
PEAK SLIP; 179,74;[deg]
TIME OF PEAK SLIP;   37660;[mS]
AVERAGE LONG ACCEL AT START; -0,11;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,07;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,84;[m/s/s]
AVERAGE PITCH RATE AT START;   0,30;[deg/s]
AVERAGE LONG ACCEL AT END; -1,93;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,67;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,75;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,16;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;-0,03;-0,15;9,83;0,33;0,29;0;0;0;47,0;4,4929962;51,9183235;-406,43;-205,29;-0,65;1;6;0,8;1,8;2,36;1,14;-1,11;0,09;0,09;0,00;0,53
10;12,1;-0,07;-0,07;9,68;0,07;0,29;0;0;0;47,0;4,4929962;51,9183235;-406,43;-205,29;-0,65;1;6;0,8;1,8;1,10;0,88;-1,10;0,16;0,10;0,00;0,53
20;12,1;-0,00;-0,05;9,71;0,50;0,29;0;0;0;47,0;4,4929962;51,9183235;-406,43;-205,29;-0,65;1;6;0,8;1,8;1,11;0,65;-1,11;0,12;0,10;0,00;0,53
30;12,1;-0,10;-0,07;9,90;0,10;0,29;0;0;0;47,0;4,4929962;51,9183235;-406,43;-205,29;-0,65;1;6;0,8;1,8;1,11;0,54;-1,10;0,19;0,11;0,00;0,54
40;12,1;-0,21;-0,04;9,92;0,04;0,29;0;0;0;47,0;4,4929962;51,9183235;-406,43;-205,29;-0,65;1;6;0,8;1,8;1,11;0,51;-1,11;0,09;0,11;0,00;0,54
50;12,1;-0,11;-0,03;9,66;0,63;0,29;0;0;0;47,0;4,4929962;51,9183235;-406,43;-205,29;-0,65;1;6;0,8;1,8;1,11;0,46;-1,11;-0,02;0,09;0,00;0,54
60;12,1;-0,06;-0,07;9,85;0,27;0,25;0;0;0;16,5;4,4929962;51,9183235;-406,43;-205,29;-0,64;1;6;0,8;1,8;1,11;0,42;-1,10;0,08;0,09;0,00;0,54
70;12,1;-0,20;-0,11;9,95;-0,01;0,25;0;0;0;16,5;4,4929962;51,9183235;-406,43;-205,29;-0,64;1;6;0,8;1,8;1,11;0,42;-1,10;0,13;0,09;0,00;0,54
80;12,1;-0,11;-0,07;9,66;0,45;0,25;0;0;0;16,5;4,4929962;51,9183235;-406,43;-205,29;-0,64;1;6;0,8;1,8;1,11;0,45;-1,11;-0,01;0,08;0,00;0,54
90;12,1;-0,07;-0,05;9,74;0,37;0,25;0;0;0;16,5;4,4929962;51,9183235;-406,43;-205,29;-0,64;1;6;0,8;1,8;1,11;0,45;-1,10;0,08;0,08;0,00;0,54
100;12,1;-0,07;-0,08;9,97;0,12;0,25;0;0;0;16,5;4,4929962;51,9183235;-406,43;-205,29;-0,64;1;6;0,8;1,8;1,11;0,43;-1,10;0,12;0,09;0,00;0,55
