FILE NAME;018_22306_180404_090604.CSV
HASHCODE;74D838F1468C9A05C781AFB3D05AD83D751BF5A0B86B24B644BE39B80F094CC1
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;09:06:04;GMT+00:00
END OF MEASUREMENT;18/04/2004;09:06:48;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   44280;[mS]
TIME GPS SPEED WENT OVER 2KPH;    8190;[mS]
TIME GPS SPEED WENT UNDER 2KPH;     180;[mS]
PEAK GPS SPEED; 78,52;[kph]
TIME OF PEAK GPS SPEED;   27390;[mS]
PEAK SPEED; 77,22;[kph]
TIME OF PEAK SPEED;   28470;[mS]
TIME ACC WENT OVER 1m/s/s;   11220;[mS]
PEAK ACC;  6,22;[m/s/s]
TIME OF PEAK ACC;   39960;[mS]
PEAK PITCH;   7,22;[deg]
TIME OF PEAK PITCH;     860;[mS]
PEAK SLIP; 179,33;[deg]
TIME OF PEAK SLIP;   38200;[mS]
AVERAGE LONG ACCEL AT START;  0,12;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,15;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,84;[m/s/s]
AVERAGE PITCH RATE AT START;   0,36;[deg/s]
AVERAGE LONG ACCEL AT END; -1,35;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,72;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,89;[m/s/s]
AVERAGE PITCH RATE AT END;   0,38;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;0,02;-0,15;9,97;0,82;0,40;0;0;0;224,0;4,4922433;51,9180450;-458,13;-236,08;-1,65;1;7;1,7;2,0;4,06;0,77;4,06;-0,78;-0,64;0,00;2,39
10;12,1;-0,00;-0,11;9,83;0,70;0,40;0;0;0;224,0;4,4922433;51,9180450;-458,13;-236,08;-1,65;1;7;1,7;2,0;4,08;0,82;4,11;-0,69;-0,64;0,00;2,28
20;12,1;0,19;-0,09;9,77;1,10;0,40;0;0;0;224,0;4,4922433;51,9180450;-458,13;-236,08;-1,65;1;7;1,7;2,0;4,11;0,77;4,16;-0,71;-0,65;0,00;2,17
30;12,1;0,14;-0,08;9,86;1,15;0,40;0;0;0;224,0;4,4922433;51,9180450;-458,13;-236,08;-1,65;1;7;1,7;2,0;4,14;0,71;4,22;-0,53;-0,64;0,00;2,06
40;12,1;-0,07;-0,13;9,98;0,71;0,40;0;0;0;224,0;4,4922433;51,9180450;-458,13;-236,08;-1,65;1;7;1,7;2,0;4,17;0,66;4,28;-0,59;-0,63;0,00;1,95
50;12,1;0,07;-0,13;9,69;1,22;0,40;0;0;0;224,0;4,4922433;51,9180450;-458,13;-236,08;-1,65;1;7;1,7;2,0;4,20;0,68;4,34;-0,81;-0,65;0,00;1,84
60;12,1;0,13;-0,16;9,75;0,83;0,40;0;0;0;224,0;4,4922433;51,9180450;-458,13;-236,08;-1,65;1;7;1,7;2,0;4,22;0,69;4,39;-0,68;-0,65;0,00;1,73
70;12,1;0,09;-0,12;9,94;0,49;0,40;0;0;0;224,0;4,4922433;51,9180450;-458,13;-236,08;-1,65;1;7;1,7;2,0;4,25;0,72;4,45;-0,63;-0,65;0,00;1,62
80;12,1;-0,00;-0,08;9,96;0,49;0,40;0;0;0;224,0;4,4922433;51,9180450;-458,13;-236,08;-1,65;1;7;1,7;2,0;4,28;0,72;4,50;-0,68;-0,65;0,00;1,51
90;12,1;0,06;-0,17;9,73;0,58;0,40;0;0;0;224,0;4,4922433;51,9180450;-458,13;-236,08;-1,65;1;7;1,7;2,0;4,31;0,70;4,55;-0,78;-0,67;0,00;1,40
100;12,1;0,15;-0,15;9,87;0,57;0,40;0;0;0;224,0;4,4922433;51,9180450;-458,13;-236,08;-1,65;1;7;1,7;2,0;4,33;0,72;4,61;-0,72;-0,67;0,00;1,29
