FILE NAME;019_22306_180404_090849.CSV
HASHCODE;291ECABD6B09BE027BB690EA8FD0FFB6F0568AF59C6F980261CA4AA276FCE4EB
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;09:08:49;GMT+00:00
END OF MEASUREMENT;18/04/2004;09:09:29;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   39520;[mS]
TIME GPS SPEED WENT OVER 2KPH;    5520;[mS]
TIME GPS SPEED WENT UNDER 2KPH;     120;[mS]
PEAK GPS SPEED; 87,91;[kph]
TIME OF PEAK GPS SPEED;   20320;[mS]
PEAK SPEED; 88,22;[kph]
TIME OF PEAK SPEED;   20110;[mS]
TIME ACC WENT OVER 1m/s/s;    8870;[mS]
PEAK ACC;  6,41;[m/s/s]
TIME OF PEAK ACC;   36930;[mS]
PEAK PITCH;   2,40;[deg]
TIME OF PEAK PITCH;   36940;[mS]
PEAK SLIP; 179,94;[deg]
TIME OF PEAK SLIP;   34130;[mS]
AVERAGE LONG ACCEL AT START;  0,19;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,06;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,82;[m/s/s]
AVERAGE PITCH RATE AT START;   0,31;[deg/s]
AVERAGE LONG ACCEL AT END; -2,23;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,86;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,88;[m/s/s]
AVERAGE PITCH RATE AT END;   0,51;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;0,14;0,06;9,72;0,08;0,07;0;0;0;162,2;4,4921684;51,9180069;-463,29;-240,27;-1,59;1;7;0,6;1,9;6,18;0,86;1,16;0,08;0,02;0,00;0,00
10;12,1;0,26;0,07;9,92;-0,01;0,07;0;0;0;162,2;4,4921684;51,9180069;-463,29;-240,27;-1,59;1;7;0,6;1,9;1,16;0,37;1,16;-0,06;0,01;0,00;0,00
20;12,1;0,06;0,08;9,81;0,05;0,07;0;0;0;162,2;4,4921684;51,9180069;-463,29;-240,27;-1,59;1;7;0,6;1,9;1,15;0,39;1,15;0,06;0,02;0,00;0,00
30;12,1;0,27;0,05;9,63;0,55;0,07;0;0;0;162,2;4,4921684;51,9180069;-463,29;-240,27;-1,59;1;7;0,6;1,9;1,15;0,42;1,15;-0,14;0,00;0,00;0,00
40;12,1;0,29;0,04;9,82;0,09;0,07;0;0;0;162,2;4,4921684;51,9180069;-463,29;-240,27;-1,59;1;7;0,6;1,9;1,15;0,39;1,15;0,07;0,01;0,00;0,00
50;12,1;0,07;0,07;9,98;-0,16;0,07;0;0;0;162,2;4,4921684;51,9180069;-463,29;-240,27;-1,59;1;7;0,6;1,9;1,15;0,37;1,15;0,10;0,02;0,00;0,00
60;12,1;0,13;0,03;9,75;0,03;0,07;0;0;0;162,2;4,4921684;51,9180069;-463,29;-240,27;-1,59;1;7;0,6;1,9;1,15;0,38;1,14;-0,12;0,00;0,00;0,00
70;12,1;0,32;0,03;9,69;0,51;0,07;0;0;0;162,2;4,4921684;51,9180069;-463,29;-240,27;-1,59;1;7;0,6;1,9;1,15;0,35;1,14;-0,06;-0,00;0,00;0,00
80;12,1;0,23;0,05;9,88;-0,17;0,07;0;0;0;162,2;4,4921684;51,9180069;-463,29;-240,27;-1,59;1;7;0,6;1,9;1,15;0,33;1,14;0,13;0,01;0,00;0,00
90;12,1;0,02;0,09;9,81;-0,14;0,07;0;0;0;162,2;4,4921684;51,9180069;-463,29;-240,27;-1,59;1;7;0,6;1,9;1,15;0,33;1,14;0,03;0,01;0,00;0,00
100;12,1;0,24;0,09;9,68;0,12;0,07;0;0;0;162,2;4,4921684;51,9180069;-463,29;-240,27;-1,59;1;7;0,6;1,9;1,15;0,35;1,17;-0,18;-0,01;0,00;0,00
