FILE NAME;020_22306_180404_091122.CSV
HASHCODE;1667D0453ABF5D3A9A06D40D4FE5541480C647B9BD6CCFD9FA7074D0F9AEC020
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;09:11:23;GMT+00:00
END OF MEASUREMENT;18/04/2004;09:12:37;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   74590;[mS]
TIME GPS SPEED WENT OVER 2KPH;    8780;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   52400;[mS]
PEAK GPS SPEED;109,51;[kph]
TIME OF PEAK GPS SPEED;   32190;[mS]
PEAK SPEED;109,83;[kph]
TIME OF PEAK SPEED;   31970;[mS]
TIME ACC WENT OVER 1m/s/s;   11960;[mS]
PEAK ACC;  9,04;[m/s/s]
TIME OF PEAK ACC;   42190;[mS]
PEAK PITCH;   3,20;[deg]
TIME OF PEAK PITCH;    1210;[mS]
PEAK SLIP; 179,69;[deg]
TIME OF PEAK SLIP;   40400;[mS]
AVERAGE LONG ACCEL AT START; -0,44;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,23;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,84;[m/s/s]
AVERAGE PITCH RATE AT START;   0,26;[deg/s]
AVERAGE LONG ACCEL AT END;  0,03;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,00;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,83;[m/s/s]
AVERAGE PITCH RATE AT END;   0,34;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;-0,48;0,22;9,94;0,06;0,25;0;0;0;203,8;4,4904699;51,9168816;-579,88;-365,72;-3,10;1;5;1,3;2,4;1,19;0,33;-2,15;-0,21;-0,12;0,00;0,00
10;12,1;-0,58;0,27;9,90;0,18;0,25;0;0;0;203,8;4,4904699;51,9168816;-579,88;-365,72;-3,10;1;5;1,3;2,4;2,16;1,27;-2,16;-0,11;-0,12;0,00;0,00
20;12,1;-0,50;0,27;9,76;0,33;0,25;0;0;0;203,8;4,4904699;51,9168816;-579,88;-365,72;-3,10;1;5;1,3;2,4;2,16;1,41;-2,17;-0,21;-0,13;0,00;0,00
30;12,1;-0,41;0,28;9,86;0,03;0,25;0;0;0;203,8;4,4904699;51,9168816;-579,88;-365,72;-3,10;1;5;1,3;2,4;2,17;1,46;-2,18;-0,13;-0,13;0,00;0,00
40;12,1;-0,59;0,29;10,04;0,14;0,25;0;0;0;203,8;4,4904699;51,9168816;-579,88;-365,72;-3,10;1;5;1,3;2,4;2,17;1,50;-2,19;-0,03;-0,12;0,00;0,00
50;12,1;-0,53;0,21;9,97;0,29;0,25;0;0;0;203,8;4,4904699;51,9168816;-579,88;-365,72;-3,10;1;5;1,3;2,4;2,18;1,53;-2,20;-0,21;-0,13;0,00;0,00
60;12,1;-0,38;0,12;9,91;0,31;0,25;0;0;0;203,8;4,4904699;51,9168816;-579,88;-365,72;-3,10;1;5;1,3;2,4;2,18;1,48;-2,21;-0,15;-0,13;0,00;0,00
70;12,1;-0,34;0,19;10,12;0,26;0,25;0;0;0;203,8;4,4904699;51,9168816;-579,88;-365,72;-3,10;1;5;1,3;2,4;2,19;1,37;-2,22;0,00;-0,12;0,00;0,00
80;12,1;-0,45;0,37;9,92;-0,34;0,25;0;0;0;203,8;4,4904699;51,9168816;-579,88;-365,72;-3,10;1;5;1,3;2,4;2,19;1,34;-2,23;0,04;-0,10;0,00;0,01
90;12,1;-0,40;0,27;9,89;-0,17;0,25;0;0;0;203,8;4,4904699;51,9168816;-579,88;-365,72;-3,10;1;5;1,3;2,4;2,20;1,43;-2,24;-0,07;-0,10;0,00;0,01
100;12,1;-0,38;0,16;9,76;0,15;0,25;0;0;0;203,8;4,4904699;51,9168816;-579,88;-365,72;-3,10;1;5;1,3;2,4;2,20;1,44;-2,26;-0,01;-0,09;0,00;0,01
