FILE NAME;021_22306_180404_091425.CSV
HASHCODE;9A20DBFF1D96162E60AD34F3A613C431D84AC665860BDE839D4CD3AA10E0812B
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;09:14:25;GMT+00:00
END OF MEASUREMENT;18/04/2004;09:15:12;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   46520;[mS]
TIME GPS SPEED WENT OVER 2KPH;    5920;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 99,18;[kph]
TIME OF PEAK GPS SPEED;   24330;[mS]
PEAK SPEED; 99,75;[kph]
TIME OF PEAK SPEED;   24220;[mS]
TIME ACC WENT OVER 1m/s/s;    8870;[mS]
PEAK ACC;  7,18;[m/s/s]
TIME OF PEAK ACC;   41440;[mS]
PEAK PITCH;   2,83;[deg]
TIME OF PEAK PITCH;   41420;[mS]
PEAK SLIP; 179,67;[deg]
TIME OF PEAK SLIP;   39130;[mS]
AVERAGE LONG ACCEL AT START; -0,44;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,23;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,85;[m/s/s]
AVERAGE PITCH RATE AT START;   0,31;[deg/s]
AVERAGE LONG ACCEL AT END; -2,28;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,58;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,82;[m/s/s]
AVERAGE PITCH RATE AT END;   0,44;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;-0,44;0,23;10,00;0,17;0,68;0;0;0;337,2;4,4904871;51,9169998;-578,70;-352,41;-14,45;1;6;1,7;2,8;2,73;1,33;-2,61;-0,01;-0,00;0,00;0,26
10;12,1;-0,46;0,30;9,76;-0,00;0,68;0;0;0;337,2;4,4904871;51,9169998;-578,70;-352,41;-14,45;1;6;1,7;2,8;2,61;1,33;-2,61;0,00;-0,00;0,00;0,26
20;12,1;-0,41;0,30;9,74;0,27;0,68;0;0;0;337,2;4,4904871;51,9169998;-578,70;-352,41;-14,45;1;6;1,7;2,8;2,61;1,53;-2,62;-0,02;-0,00;0,00;0,27
30;12,1;-0,36;0,21;9,91;0,22;0,68;0;0;0;337,2;4,4904871;51,9169998;-578,70;-352,41;-14,45;1;6;1,7;2,8;2,62;1,59;-2,62;0,03;0,00;0,00;0,27
40;12,1;-0,48;0,24;9,95;0,36;0,68;0;0;0;337,2;4,4904871;51,9169998;-578,70;-352,41;-14,45;1;6;1,7;2,8;2,62;1,50;-2,62;0,09;0,01;0,00;0,27
50;12,1;-0,49;0,25;9,70;0,28;0,68;0;0;0;337,2;4,4904871;51,9169998;-578,70;-352,41;-14,45;1;6;1,7;2,8;2,62;1,48;-2,62;-0,03;0,01;0,00;0,28
60;12,1;-0,43;0,19;9,86;0,56;0,68;0;0;0;337,2;4,4904871;51,9169998;-578,70;-352,41;-14,45;1;6;1,7;2,8;2,62;1,47;-2,62;-0,04;0,00;0,00;0,28
70;12,1;-0,33;0,18;10,03;0,05;0,68;0;0;0;337,2;4,4904871;51,9169998;-578,70;-352,41;-14,45;1;6;1,7;2,8;2,62;1,42;-2,62;0,01;0,00;0,00;0,28
80;12,1;-0,48;0,22;9,70;0,39;0,68;0;0;0;337,2;4,4904871;51,9169998;-578,70;-352,41;-14,45;1;6;1,7;2,8;2,62;1,37;-2,62;0,12;0,01;0,00;0,29
90;12,1;-0,35;0,30;9,64;0,48;0,68;0;0;0;337,2;4,4904871;51,9169998;-578,70;-352,41;-14,45;1;6;1,7;2,8;2,61;1,36;-2,59;-0,03;0,01;0,00;0,29
100;12,1;-0,42;0,30;9,91;0,25;0,68;0;0;0;337,2;4,4904871;51,9169998;-578,70;-352,41;-14,45;1;6;1,7;2,8;2,61;1,40;-2,59;0,10;0,02;0,00;0,29
