FILE NAME;022_22306_180404_091639.CSV
HASHCODE;3122C52216DE3204D2B944BD11CE196299A2D4A83AFC7DB308650A2AAD14DF1B
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;09:16:39;GMT+00:00
END OF MEASUREMENT;18/04/2004;09:17:17;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   38430;[mS]
TIME GPS SPEED WENT OVER 2KPH;    5780;[mS]
TIME GPS SPEED WENT UNDER 2KPH;     190;[mS]
PEAK GPS SPEED; 77,87;[kph]
TIME OF PEAK GPS SPEED;   19590;[mS]
PEAK SPEED; 78,48;[kph]
TIME OF PEAK SPEED;   18720;[mS]
TIME ACC WENT OVER 1m/s/s;    9270;[mS]
PEAK ACC;  5,62;[m/s/s]
TIME OF PEAK ACC;   37000;[mS]
PEAK PITCH;   4,16;[deg]
TIME OF PEAK PITCH;   37010;[mS]
PEAK SLIP; 179,65;[deg]
TIME OF PEAK SLIP;   34190;[mS]
AVERAGE LONG ACCEL AT START; -0,13;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,21;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,82;[m/s/s]
AVERAGE PITCH RATE AT START;   0,20;[deg/s]
AVERAGE LONG ACCEL AT END; -2,13;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,35;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,76;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,03;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;-0,08;-0,18;9,83;-0,31;0,11;0;0;0;66,5;4,4928541;51,9182739;-416,22;-210,99;-3,63;1;7;0,6;1,7;2,57;1,37;-0,59;-0,02;0,07;0,00;0,08
10;12,1;-0,11;-0,14;9,73;-0,28;0,11;0;0;0;66,5;4,4928541;51,9182739;-416,22;-210,99;-3,63;1;7;0,6;1,7;0,59;1,05;-0,59;0,02;0,07;0,00;0,07
20;12,1;0,02;-0,16;9,73;0,21;0,11;0;0;0;66,5;4,4928541;51,9182739;-416,22;-210,99;-3,63;1;7;0,6;1,7;0,59;0,94;-0,60;-0,01;0,06;0,00;0,07
30;12,1;-0,05;-0,09;9,77;0,38;0,11;0;0;0;66,5;4,4928541;51,9182739;-416,22;-210,99;-3,63;1;7;0,6;1,7;0,60;0,94;-0,60;0,12;0,07;0,00;0,07
40;12,1;-0,26;-0,10;9,84;-0,19;0,11;0;0;0;66,5;4,4928541;51,9182739;-416,22;-210,99;-3,63;1;7;0,6;1,7;0,60;0,84;-0,60;0,05;0,07;0,00;0,07
50;12,1;-0,09;-0,22;9,74;0,17;0,11;0;0;0;66,5;4,4928541;51,9182739;-416,22;-210,99;-3,63;1;7;0,6;1,7;0,60;0,79;-0,61;-0,16;0,04;0,00;0,06
60;12,1;0,04;-0,26;9,80;0,02;0,11;0;0;0;66,5;4,4928541;51,9182739;-416,22;-210,99;-3,63;1;7;0,6;1,7;0,60;0,87;-0,61;0,02;0,04;0,00;0,06
70;12,1;-0,15;-0,11;9,96;-0,09;0,11;0;0;0;66,5;4,4928541;51,9182739;-416,22;-210,99;-3,63;1;7;0,6;1,7;0,60;0,96;-0,61;0,14;0,05;0,00;0,06
80;12,1;-0,10;-0,09;9,76;0,21;0,11;0;0;0;66,5;4,4928541;51,9182739;-416,22;-210,99;-3,63;1;7;0,6;1,7;0,60;0,92;-0,62;-0,04;0,04;0,00;0,06
90;12,1;-0,06;-0,20;9,77;0,16;0,11;0;0;0;66,5;4,4928541;51,9182739;-416,22;-210,99;-3,63;1;7;0,6;1,7;0,61;0,88;-0,62;0,01;0,04;0,00;0,05
100;12,1;-0,11;-0,15;9,81;-0,16;0,11;0;0;0;66,5;4,4928541;51,9182739;-416,22;-210,99;-3,63;1;7;0,6;1,7;0,61;0,91;-0,62;0,05;0,04;0,00;0,05
