FILE NAME;023_22306_180404_091901.CSV
HASHCODE;8CE5F70CE41E67B1C0B1F4BB6EF04F14B552A2E1BD6FB28C6B0564291C5F8AC2
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;09:19:02;GMT+00:00
END OF MEASUREMENT;18/04/2004;09:19:44;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;LOGGING STARTED WITHOUT GPS
UNIT SERIAL;22306
TOTAL TIME;   42760;[mS]
TIME GPS SPEED WENT OVER 2KPH;   10160;[mS]
TIME GPS SPEED WENT UNDER 2KPH;     170;[mS]
PEAK GPS SPEED; 85,46;[kph]
TIME OF PEAK GPS SPEED;   28370;[mS]
PEAK SPEED; 84,85;[kph]
TIME OF PEAK SPEED;   28320;[mS]
TIME ACC WENT OVER 1m/s/s;   13130;[mS]
PEAK ACC;  6,49;[m/s/s]
TIME OF PEAK ACC;   40660;[mS]
PEAK PITCH;   2,91;[deg]
TIME OF PEAK PITCH;   40670;[mS]
PEAK SLIP; 179,92;[deg]
TIME OF PEAK SLIP;   38160;[mS]
AVERAGE LONG ACCEL AT START; -0,06;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,11;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,84;[m/s/s]
AVERAGE PITCH RATE AT START;   0,25;[deg/s]
AVERAGE LONG ACCEL AT END; -2,08;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,92;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,85;[m/s/s]
AVERAGE PITCH RATE AT END;   0,42;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;-0,04;-0,09;9,98;-0,18;1,04;0;0;0;284,2;4,4923463;51,9181175;-450,62;-228,10;-3,59;0;8;7,6;4,0;0,84;1,20;-0,39;-0,04;0,02;0,00;1,91
10;12,1;-0,07;-0,06;9,89;-0,05;1,04;0;0;0;284,2;4,4923463;51,9181175;-450,62;-228,10;-3,59;0;8;7,6;4,0;0,40;0,54;-0,40;0,03;0,02;0,00;1,91
20;12,1;-0,04;-0,09;9,73;0,27;1,04;0;0;0;284,2;4,4923463;51,9181175;-450,62;-228,10;-3,59;0;8;7,6;4,0;0,40;0,45;-0,40;-0,00;0,02;0,00;1,91
30;12,1;0,06;-0,13;9,82;0,27;1,04;0;0;0;284,2;4,4923463;51,9181175;-450,62;-228,10;-3,59;0;8;7,6;4,0;0,40;0,48;-0,40;0,03;0,02;0,00;1,91
40;12,1;-0,08;-0,09;9,98;-0,03;1,04;0;0;0;284,2;4,4923463;51,9181175;-450,62;-228,10;-3,59;0;8;7,6;4,0;0,40;0,55;-0,40;0,12;0,03;0,00;1,92
50;12,1;-0,08;-0,10;9,87;-0,04;1,04;0;0;0;284,2;4,4923463;51,9181175;-450,62;-228,10;-3,59;0;8;7,6;4,0;0,40;0,55;-0,40;-0,01;0,03;0,00;1,92
60;12,1;-0,01;-0,13;9,83;0,02;1,04;0;0;0;284,2;4,4923463;51,9181175;-450,62;-228,10;-3,59;0;8;7,6;4,0;0,40;0,56;-0,41;-0,01;0,02;0,00;1,92
70;12,1;-0,02;-0,14;10,02;-0,10;1,04;0;0;0;284,2;4,4923463;51,9181175;-450,62;-228,10;-3,59;0;8;7,6;4,0;0,40;0,59;-0,41;0,06;0,03;0,00;1,93
80;12,1;-0,10;-0,08;9,92;-0,29;1,04;0;0;0;284,2;4,4923463;51,9181175;-450,62;-228,10;-3,59;0;8;7,6;4,0;0,40;0,62;-0,41;0,05;0,03;0,00;1,93
90;12,1;-0,07;-0,10;9,67;-0,08;1,04;0;0;0;284,2;4,4923463;51,9181175;-450,62;-228,10;-3,59;0;8;7,6;4,0;0,41;0,60;-0,42;-0,03;0,02;0,00;1,93
100;12,1;0,01;-0,21;9,85;0,03;1,04;0;0;0;284,2;4,4923463;51,9181175;-450,62;-228,10;-3,59;0;8;7,6;4,0;0,41;0,60;-0,42;0,00;0,02;0,00;1,93
