FILE NAME;024_22306_180404_092141.CSV
HASHCODE;779D5C5295A30311254474A4B9209C1F9983A47E03A404EAE5828026A6E92531
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;09:21:41;GMT+00:00
END OF MEASUREMENT;18/04/2004;09:22:31;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   49630;[mS]
TIME GPS SPEED WENT OVER 2KPH;    6750;[mS]
TIME GPS SPEED WENT UNDER 2KPH;    6950;[mS]
PEAK GPS SPEED;110,20;[kph]
TIME OF PEAK GPS SPEED;   33550;[mS]
PEAK SPEED;110,00;[kph]
TIME OF PEAK SPEED;   32330;[mS]
TIME ACC WENT OVER 1m/s/s;   11890;[mS]
PEAK ACC;  8,33;[m/s/s]
TIME OF PEAK ACC;   41080;[mS]
PEAK PITCH;   4,04;[deg]
TIME OF PEAK PITCH;       0;[mS]
PEAK SLIP; 179,95;[deg]
TIME OF PEAK SLIP;   39960;[mS]
AVERAGE LONG ACCEL AT START; -0,51;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,23;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,83;[m/s/s]
AVERAGE PITCH RATE AT START;   0,26;[deg/s]
AVERAGE LONG ACCEL AT END; -1,92;[m/s/s]
AVERAGE LAT ACCEL AT END; -1,41;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,78;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,32;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;-0,43;0,28;9,85;-0,11;0,32;0;0;0;161,5;4,4904280;51,9168663;-582,78;-367,62;-5,33;1;6;1,2;2,3;0,44;0,62;4,06;-1,23;-1,22;0,00;0,00
10;12,1;-0,50;0,31;9,73;0,04;0,32;0;0;0;161,5;4,4904280;51,9168663;-582,78;-367,62;-5,33;1;6;1,2;2,3;4,04;1,61;4,04;-1,12;-1,21;0,00;0,00
20;12,1;-0,47;0,25;9,87;0,15;0,32;0;0;0;161,5;4,4904280;51,9168663;-582,78;-367,62;-5,33;1;6;1,2;2,3;4,02;1,73;4,01;-1,19;-1,21;0,00;0,00
30;12,1;-0,55;0,27;9,90;0,02;0,32;0;0;0;161,5;4,4904280;51,9168663;-582,78;-367,62;-5,33;1;6;1,2;2,3;4,01;1,63;3,99;-1,16;-1,21;0,00;0,00
40;12,1;-0,49;0,23;9,71;-0,15;0,32;0;0;0;161,5;4,4904280;51,9168663;-582,78;-367,62;-5,33;1;6;1,2;2,3;4,00;1,61;3,97;-1,23;-1,21;0,00;0,00
50;12,1;-0,46;0,22;9,74;0,15;0,32;0;0;0;161,5;4,4904280;51,9168663;-582,78;-367,62;-5,33;1;6;1,2;2,3;3,99;1,56;3,93;-1,16;-1,20;0,00;0,00
60;12,1;-0,39;0,26;9,96;-0,05;0,32;0;0;0;161,5;4,4904280;51,9168663;-582,78;-367,62;-5,33;1;6;1,2;2,3;3,97;1,51;3,90;-1,13;-1,20;0,00;0,00
70;12,1;-0,53;0,27;9,81;-0,38;0,32;0;0;0;161,5;4,4904280;51,9168663;-582,78;-367,62;-5,33;1;6;1,2;2,3;3,96;1,51;3,86;-1,05;-1,18;0,00;0,00
80;12,1;-0,41;0,23;9,61;0,31;0,32;0;0;0;161,5;4,4904280;51,9168663;-582,78;-367,62;-5,33;1;6;1,2;2,3;3,94;1,51;3,82;-1,18;-1,18;0,00;0,00
90;12,1;-0,46;0,26;9,81;0,22;0,32;0;0;0;161,5;4,4904280;51,9168663;-582,78;-367,62;-5,33;1;6;1,2;2,3;3,92;1,49;3,79;-1,05;-1,17;0,00;0,00
100;12,1;-0,63;0,34;9,88;0,10;0,32;0;0;0;161,5;4,4904280;51,9168663;-582,78;-367,62;-5,33;1;6;1,2;2,3;3,91;1,49;3,76;-1,11;-1,16;0,00;0,00
