FILE NAME;025_22306_180404_092408.CSV
HASHCODE;E9761458AB6BC5C575CD4ED0C74C78B42E79A0B0E9A2223262CBB980356E408B
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;18/04/2004;09:24:08;GMT+00:00
END OF MEASUREMENT;18/04/2004;09:24:48;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   39860;[mS]
TIME GPS SPEED WENT OVER 2KPH;    6330;[mS]
TIME GPS SPEED WENT UNDER 2KPH;     130;[mS]
PEAK GPS SPEED; 86,80;[kph]
TIME OF PEAK GPS SPEED;   23930;[mS]
PEAK SPEED; 86,96;[kph]
TIME OF PEAK SPEED;   23750;[mS]
TIME ACC WENT OVER 1m/s/s;   10010;[mS]
PEAK ACC;  8,50;[m/s/s]
TIME OF PEAK ACC;   37050;[mS]
PEAK PITCH;   2,80;[deg]
TIME OF PEAK PITCH;   37060;[mS]
PEAK SLIP; 179,64;[deg]
TIME OF PEAK SLIP;   34540;[mS]
AVERAGE LONG ACCEL AT START; -0,20;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,12;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,84;[m/s/s]
AVERAGE PITCH RATE AT START;   0,24;[deg/s]
AVERAGE LONG ACCEL AT END; -2,04;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,77;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,85;[m/s/s]
AVERAGE PITCH RATE AT END;   0,41;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;-0,31;-0,11;9,86;0,34;0,11;0;0;0;240,9;4,4924102;51,9181175;-446,70;-227,72;-3,60;3;6;0,8;1,7;1,31;0,71;-1,31;0,04;0,01;0,00;0,00
10;12,1;-0,30;-0,09;10,03;0,01;0,11;0;0;0;240,9;4,4924102;51,9181175;-446,70;-227,72;-3,60;3;6;0,8;1,7;1,31;0,68;-1,31;-0,09;-0,00;0,00;0,00
20;12,1;-0,24;-0,14;9,75;0,16;0,11;0;0;0;240,9;4,4924102;51,9181175;-446,70;-227,72;-3,60;3;6;0,8;1,7;1,31;0,63;-1,31;-0,08;-0,01;0,00;0,00
30;12,1;-0,11;-0,13;9,68;0,52;0,11;0;0;0;240,9;4,4924102;51,9181175;-446,70;-227,72;-3,60;3;6;0,8;1,7;1,31;0,68;-1,31;-0,02;-0,01;0,00;0,00
40;12,1;-0,21;-0,09;9,90;0,13;0,11;0;0;0;240,9;4,4924102;51,9181175;-446,70;-227,72;-3,60;3;6;0,8;1,7;1,31;0,70;-1,31;0,12;0,00;0,00;0,00
50;12,1;-0,38;-0,11;10,00;-0,19;0,11;0;0;0;240,9;4,4924102;51,9181175;-446,70;-227,72;-3,60;3;6;0,8;1,7;1,31;0,67;-1,31;0,01;0,00;0,00;0,00
60;12,1;-0,23;-0,08;9,71;0,00;0,11;0;0;0;240,9;4,4924102;51,9181175;-446,70;-227,72;-3,60;3;6;0,8;1,7;1,31;0,67;-1,31;-0,15;-0,01;0,00;0,00
70;12,1;-0,18;-0,13;9,77;0,34;0,11;0;0;0;240,9;4,4924102;51,9181175;-446,70;-227,72;-3,60;3;6;0,8;1,7;1,31;0,65;-1,32;-0,01;-0,01;0,00;0,00
80;12,1;-0,18;-0,17;9,92;0,10;0,11;0;0;0;240,9;4,4924102;51,9181175;-446,70;-227,72;-3,60;3;6;0,8;1,7;1,31;0,66;-1,32;0,05;-0,01;0,00;0,00
90;12,1;-0,20;-0,12;9,74;0,34;0,11;0;0;0;240,9;4,4924102;51,9181175;-446,70;-227,72;-3,60;3;6;0,8;1,7;1,31;0,69;-1,32;0,05;0,00;0,00;0,00
100;12,1;-0,19;-0,09;9,71;0,04;0,11;0;0;0;240,9;4,4924102;51,9181175;-446,70;-227,72;-3,60;3;6;0,8;1,7;1,31;0,69;-1,32;0,02;0,00;0,00;0,00
