FILE NAME;001_22306_230905_083559.CSV
HASHCODE;A752360B71781D52074BED0379C1C18F70CFF83FD9FABAD5C68348F7692D7EFA
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;08:35:59;GMT+00:00
END OF MEASUREMENT;23/09/2005;08:38:36;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;  157230;[mS]
TIME GPS SPEED WENT OVER 2KPH;   73040;[mS]
TIME GPS SPEED WENT UNDER 2KPH;  125650;[mS]
PEAK GPS SPEED; 30,28;[kph]
TIME OF PEAK GPS SPEED;   96850;[mS]
PEAK SPEED; 30,34;[kph]
TIME OF PEAK SPEED;   94750;[mS]
TIME ACC WENT OVER 1m/s/s;        ;[mS]
PEAK ACC;  2,59;[m/s/s]
TIME OF PEAK ACC;   97440;[mS]
PEAK PITCH;   8,88;[deg]
TIME OF PEAK PITCH;   75190;[mS]
PEAK SLIP;  85,20;[deg]
TIME OF PEAK SLIP;   84020;[mS]
AVERAGE LONG ACCEL AT START;  1,44;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,16;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,68;[m/s/s]
AVERAGE PITCH RATE AT START;   0,02;[deg/s]
AVERAGE LONG ACCEL AT END;  1,12;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,34;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,72;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,03;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,3;1,44;-0,17;9,68;0,12;0,07;0;0;0;31,9;5,4930139;52,4450645;5,16;11,02;-7,80;3;11;0,4;2,1;0,00;1,79;8,39;-0,00;-0,01;0,00;0,03
10;12,3;1,46;-0,18;9,69;0,31;0,07;0;0;0;31,9;5,4930139;52,4450645;5,16;11,02;-7,80;3;11;0,4;2,1;8,39;0,99;8,39;0,01;-0,01;0,00;0,03
20;12,3;1,46;-0,18;9,70;0,30;0,07;0;0;0;31,9;5,4930139;52,4450645;5,16;11,02;-7,80;3;11;0,4;2,1;8,39;1,02;8,39;0,03;-0,00;0,00;0,03
30;12,3;1,47;-0,17;9,69;0,36;0,07;0;0;0;173,0;5,4930139;52,4450645;5,18;11,02;-7,79;3;11;0,4;2,1;8,39;1,03;8,40;0,03;0,00;0,00;0,03
40;12,3;1,47;-0,17;9,69;0,21;0,07;0;0;0;173,0;5,4930139;52,4450645;5,18;11,02;-7,79;3;11;0,4;2,1;8,40;1,02;8,40;0,04;0,01;0,00;0,03
50;12,3;1,47;-0,17;9,68;0,09;0,07;0;0;0;173,0;5,4930139;52,4450645;5,18;11,02;-7,79;3;11;0,4;2,1;8,40;1,02;8,40;0,04;0,01;0,00;0,03
60;12,3;1,48;-0,15;9,67;-0,06;0,07;0;0;0;173,0;5,4930139;52,4450645;5,18;11,02;-7,79;3;11;0,4;2,1;8,40;1,01;8,41;0,04;0,01;0,00;0,04
70;12,3;1,48;-0,14;9,67;-0,14;0,07;0;0;0;173,0;5,4930139;52,4450645;5,18;11,02;-7,79;3;11;0,4;2,1;8,40;0,99;8,40;0,05;0,02;0,00;0,04
80;12,3;1,48;-0,13;9,66;0,01;0,07;0;0;0;173,0;5,4930139;52,4450645;5,18;11,02;-7,79;3;11;0,4;2,1;8,40;0,97;8,40;0,05;0,02;0,00;0,04
90;12,3;1,49;-0,12;9,65;0,07;0,07;0;0;0;173,0;5,4930139;52,4450645;5,18;11,02;-7,79;3;11;0,4;2,1;8,40;0,95;8,40;0,05;0,02;0,00;0,04
100;12,3;1,49;-0,12;9,66;0,01;0,07;0;0;0;173,0;5,4930139;52,4450645;5,18;11,02;-7,79;3;11;0,4;2,1;8,40;0,92;8,41;0,06;0,03;0,00;0,04
