FILE NAME;002_22306_230905_083838.CSV
HASHCODE;05CE46B07F3BD20BBB897B6C5C13E0BE324642AEFC03A6C356E97070758DABBF
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;08:38:38;GMT+00:00
END OF MEASUREMENT;23/09/2005;08:39:48;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   69910;[mS]
TIME GPS SPEED WENT OVER 2KPH;    5910;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   67510;[mS]
PEAK GPS SPEED; 31,03;[kph]
TIME OF PEAK GPS SPEED;   15110;[mS]
PEAK SPEED; 31,21;[kph]
TIME OF PEAK SPEED;   14890;[mS]
TIME ACC WENT OVER 1m/s/s;        ;[mS]
PEAK ACC;  2,94;[m/s/s]
TIME OF PEAK ACC;    8350;[mS]
PEAK PITCH;  13,80;[deg]
TIME OF PEAK PITCH;   69430;[mS]
PEAK SLIP; 149,48;[deg]
TIME OF PEAK SLIP;   53120;[mS]
AVERAGE LONG ACCEL AT START;  1,12;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,34;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,72;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,01;[deg/s]
AVERAGE LONG ACCEL AT END;  1,47;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,12;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,67;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,11;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;1,10;-0,34;9,71;-0,74;0,04;0;0;0;11,0;5,4948401;52,4438019;129,07;-129,26;-8,82;3;13;0,4;1,8;6,56;2,01;6,56;-0,03;-0,01;0,00;0,01
10;12,3;1,13;-0,34;9,71;-0,15;0,04;0;0;0;11,0;5,4948401;52,4438019;129,07;-129,26;-8,82;3;13;0,4;1,8;6,56;2,01;6,55;-0,02;-0,01;0,00;0,01
20;12,3;1,15;-0,34;9,71;-0,07;0,04;0;0;0;11,0;5,4948401;52,4438019;129,07;-129,26;-8,82;3;13;0,4;1,8;6,56;2,01;6,55;0,01;-0,01;0,00;0,01
30;12,3;1,15;-0,34;9,71;0,39;0,04;0;0;0;11,0;5,4948401;52,4438019;129,07;-129,26;-8,82;3;13;0,4;1,8;6,56;2,01;6,55;0,03;-0,00;0,00;0,01
40;12,3;1,11;-0,34;9,71;0,39;0,04;0;0;0;11,0;5,4948401;52,4438019;129,07;-129,26;-8,82;3;13;0,4;1,8;6,56;2,01;6,56;0,03;0,00;0,00;0,01
50;12,3;1,13;-0,33;9,71;0,10;0,04;0;0;0;11,0;5,4948401;52,4438019;129,07;-129,26;-8,82;3;13;0,4;1,8;6,56;2,01;6,56;-0,01;0,00;0,00;0,01
60;12,3;1,11;-0,33;9,73;0,29;0,04;0;0;0;11,0;5,4948401;52,4438019;129,07;-129,26;-8,82;3;13;0,4;1,8;6,56;2,00;6,56;0,01;0,00;0,00;0,01
70;12,3;1,07;-0,33;9,70;-0,10;0,04;0;0;0;11,0;5,4948401;52,4438019;129,07;-129,26;-8,82;3;13;0,4;1,8;6,56;2,00;6,56;-0,01;-0,00;0,00;0,01
80;12,3;1,09;-0,33;9,70;0,20;0,04;0;0;0;11,0;5,4948401;52,4438019;129,07;-129,26;-8,82;3;13;0,4;1,8;6,56;1,99;6,56;-0,05;-0,00;0,00;0,01
90;12,3;1,14;-0,33;9,72;0,11;0,04;0;0;0;11,0;5,4948401;52,4438019;129,07;-129,26;-8,82;3;13;0,4;1,8;6,56;1,99;6,57;-0,03;-0,01;0,00;0,01
100;12,3;1,10;-0,32;9,71;0,06;0,04;0;0;0;136,5;5,4948406;52,4438019;129,10;-129,26;-8,83;3;13;0,4;1,8;6,56;1,99;6,57;0,02;-0,00;0,00;0,01
