FILE NAME;003_22306_230905_084133.CSV
HASHCODE;FDFE22D7B77132ED3EAD6D627CC71CCE7623DAE0B4CE417F8792504DED77D8E2
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;08:41:33;GMT+00:00
END OF MEASUREMENT;23/09/2005;08:41:37;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;    4310;[mS]
TIME GPS SPEED WENT OVER 2KPH;        ;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED;  0,07;[kph]
TIME OF PEAK GPS SPEED;     800;[mS]
PEAK SPEED;  0,04;[kph]
TIME OF PEAK SPEED;    4050;[mS]
TIME ACC WENT OVER 1m/s/s;        ;[mS]
PEAK ACC;  1,35;[m/s/s]
TIME OF PEAK ACC;    3250;[mS]
PEAK PITCH;   6,27;[deg]
TIME OF PEAK PITCH;    4160;[mS]
PEAK SLIP;   0,00;[deg]
TIME OF PEAK SLIP;       0;[mS]
AVERAGE LONG ACCEL AT START;  1,16;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,36;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,71;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,01;[deg/s]
AVERAGE LONG ACCEL AT END;  1,17;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,36;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,71;[m/s/s]
AVERAGE PITCH RATE AT END;   0,03;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,3;1,18;-0,32;9,68;-0,23;0,04;0;0;0;188,9;5,4931879;52,4447632;16,97;-22,43;-9,08;3;12;0,4;1,8;6,55;1,98;6,13;0,16;0,11;0,00;0,01
10;12,2;1,18;-0,35;9,65;-0,13;0,04;0;0;0;188,9;5,4931879;52,4447632;16,97;-22,43;-9,08;3;12;0,4;1,8;6,12;1,84;6,12;0,13;0,12;0,00;0,01
20;12,2;1,11;-0,31;9,67;-0,25;0,04;0;0;0;188,9;5,4931879;52,4447632;16,97;-22,43;-9,08;3;12;0,4;1,8;6,12;1,96;6,12;0,13;0,12;0,00;0,01
30;12,2;1,16;-0,40;9,74;-0,19;0,04;0;0;0;188,9;5,4931879;52,4447632;16,97;-22,43;-9,08;3;12;0,4;1,8;6,12;1,90;6,12;0,06;0,11;0,00;0,01
40;12,2;1,18;-0,36;9,64;-0,15;0,04;0;0;0;188,9;5,4931879;52,4447632;16,97;-22,43;-9,08;3;12;0,4;1,8;6,12;2,01;6,12;0,11;0,11;0,00;0,01
50;12,2;1,13;-0,31;9,67;-0,56;0,04;0;0;0;188,9;5,4931879;52,4447632;16,97;-22,43;-9,08;3;12;0,4;1,8;6,12;2,03;6,12;0,13;0,11;0,00;0,01
60;12,3;1,15;-0,40;9,78;-0,06;0,04;0;0;0;188,9;5,4931879;52,4447632;16,97;-22,43;-9,08;3;12;0,4;1,8;6,12;1,99;6,11;0,09;0,11;0,00;0,01
70;12,3;1,21;-0,41;9,72;0,55;0,04;0;0;0;188,9;5,4931879;52,4447632;16,97;-22,43;-9,08;3;12;0,4;1,8;6,12;2,04;6,11;0,10;0,11;0,00;0,00
80;12,3;1,17;-0,32;9,68;0,31;0,04;0;0;0;188,9;5,4931879;52,4447632;16,97;-22,43;-9,08;3;12;0,4;1,8;6,12;2,09;6,12;0,16;0,12;0,00;0,01
90;12,3;1,15;-0,35;9,74;0,27;0,04;0;0;0;188,9;5,4931879;52,4447632;16,97;-22,43;-9,08;3;12;0,4;1,8;6,12;2,06;6,12;0,12;0,12;0,00;0,01
100;12,3;1,20;-0,42;9,71;0,16;0,04;0;0;0;188,9;5,4931879;52,4447632;16,97;-22,43;-9,08;3;12;0,4;1,8;6,12;2,06;6,13;0,10;0,12;0,00;0,01
