FILE NAME;004_22306_230905_084817.CSV
HASHCODE;C9F91E1DCB61B8FA6D1897E67096E4C08FA8F864F25DD90E99B0D3AEDB83666E
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;08:48:17;GMT+00:00
END OF MEASUREMENT;23/09/2005;08:49:27;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   69880;[mS]
TIME GPS SPEED WENT OVER 2KPH;   43070;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 39,28;[kph]
TIME OF PEAK GPS SPEED;   55260;[mS]
PEAK SPEED; 39,35;[kph]
TIME OF PEAK SPEED;   55280;[mS]
TIME ACC WENT OVER 1m/s/s;        ;[mS]
PEAK ACC;  3,11;[m/s/s]
TIME OF PEAK ACC;   43540;[mS]
PEAK PITCH;   7,54;[deg]
TIME OF PEAK PITCH;   48620;[mS]
PEAK SLIP;  31,90;[deg]
TIME OF PEAK SLIP;   53280;[mS]
AVERAGE LONG ACCEL AT START;  1,23;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,08;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,71;[m/s/s]
AVERAGE PITCH RATE AT START;   0,03;[deg/s]
AVERAGE LONG ACCEL AT END; -0,09;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,40;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,94;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,04;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;1,23;0,11;9,65;-0,13;0,07;0;0;0;9,9;5,4912119;52,4458694;-117,11;100,74;-9,26;3;11;0,4;1,7;6,12;2,12;7,01;0,01;0,03;0,00;0,07
10;12,2;1,24;0,14;9,68;-0,12;0,07;0;0;0;9,9;5,4912119;52,4458694;-117,11;100,74;-9,26;3;11;0,4;1,7;7,01;0,65;7,01;0,04;0,03;0,00;0,07
20;12,2;1,26;0,02;9,75;-0,04;0,07;0;0;0;9,9;5,4912119;52,4458694;-117,11;100,74;-9,26;3;11;0,4;1,7;7,01;0,73;7,01;0,05;0,03;0,00;0,07
30;12,2;1,22;0,01;9,70;0,03;0,07;0;0;0;9,9;5,4912119;52,4458694;-117,11;100,74;-9,26;3;11;0,4;1,7;7,01;0,54;7,01;0,07;0,04;0,00;0,07
40;12,2;1,22;0,13;9,68;-0,14;0,07;0;0;0;9,9;5,4912119;52,4458694;-117,11;100,74;-9,26;3;11;0,4;1,7;7,01;0,42;7,01;0,02;0,03;0,00;0,07
50;12,2;1,23;0,04;9,78;0,02;0,04;0;0;0;9,9;5,4912119;52,4458694;-117,11;100,74;-9,26;3;11;0,4;1,7;7,01;0,49;7,01;0,02;0,03;0,00;0,07
60;12,2;1,23;0,03;9,72;0,05;0,04;0;0;0;9,9;5,4912119;52,4458694;-117,11;100,74;-9,26;3;11;0,4;1,7;7,01;0,45;7,01;0,03;0,03;0,00;0,07
70;12,2;1,21;0,12;9,68;-0,04;0,04;0;0;0;9,9;5,4912119;52,4458694;-117,11;100,74;-9,26;3;11;0,4;1,7;7,01;0,42;7,01;0,04;0,03;0,00;0,07
80;12,3;1,26;0,10;9,76;0,06;0,04;0;0;0;9,9;5,4912119;52,4458694;-117,11;100,74;-9,26;3;11;0,4;1,7;7,01;0,45;7,01;0,01;0,03;0,00;0,07
90;12,3;1,24;0,03;9,69;-0,02;0,04;0;0;0;9,9;5,4912119;52,4458694;-117,11;100,74;-9,26;3;11;0,4;1,7;7,01;0,47;7,01;0,07;0,03;0,00;0,07
100;12,3;1,20;0,10;9,65;-0,04;0,04;0;0;0;9,9;5,4912119;52,4458694;-117,11;100,74;-9,26;3;11;0,4;1,7;7,01;0,44;7,01;0,05;0,04;0,00;0,08
