FILE NAME;005_22306_230905_085028.CSV
HASHCODE;658D0182E3F4D6CD5B460FB26019BF8E84EB618120E40548BB5CF84587A5E069
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;08:50:28;GMT+00:00
END OF MEASUREMENT;23/09/2005;08:51:02;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   34030;[mS]
TIME GPS SPEED WENT OVER 2KPH;      70;[mS]
TIME GPS SPEED WENT UNDER 2KPH;    3270;[mS]
PEAK GPS SPEED; 38,48;[kph]
TIME OF PEAK GPS SPEED;   30260;[mS]
PEAK SPEED; 38,59;[kph]
TIME OF PEAK SPEED;   32440;[mS]
TIME ACC WENT OVER 1m/s/s;        ;[mS]
PEAK ACC;  3,59;[m/s/s]
TIME OF PEAK ACC;   13160;[mS]
PEAK PITCH;   7,87;[deg]
TIME OF PEAK PITCH;    3470;[mS]
PEAK SLIP;  32,23;[deg]
TIME OF PEAK SLIP;   20870;[mS]
AVERAGE LONG ACCEL AT START;  0,67;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,45;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,81;[m/s/s]
AVERAGE PITCH RATE AT START;   0,04;[deg/s]
AVERAGE LONG ACCEL AT END;  0,25;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,31;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,86;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,32;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;0,68;-0,22;9,86;0,05;9,61;0;0;0;137,1;5,4913249;52,4458008;-109,43;93,14;-10,46;1;11;0,4;1,7;7,03;0,46;6,62;-0,60;-0,51;0,00;9,33
10;12,2;0,84;-0,17;9,88;0,34;9,61;0;0;0;137,1;5,4913249;52,4458008;-109,43;93,14;-10,46;1;11;0,4;1,7;6,62;1,28;6,62;-0,45;-0,50;0,00;9,33
20;12,2;0,51;-0,06;9,68;-0,34;9,61;0;0;0;137,1;5,4913249;52,4458008;-109,43;93,14;-10,46;1;11;0,4;1,7;6,62;1,13;6,62;-0,29;-0,48;0,00;9,34
30;12,3;0,71;-0,15;9,92;0,47;9,61;0;0;0;137,1;5,4913249;52,4458008;-109,43;93,14;-10,46;1;11;0,4;1,7;6,62;0,88;6,62;-0,62;-0,49;0,00;9,34
40;12,2;0,60;-0,02;9,71;-0,05;9,61;0;0;0;137,1;5,4913249;52,4458008;-109,43;93,14;-10,46;1;11;0,4;1,7;6,62;0,88;6,62;-0,42;-0,49;0,00;9,34
50;12,2;0,68;-0,08;9,89;0,45;9,61;0;0;0;137,1;5,4913249;52,4458008;-109,43;93,14;-10,46;1;11;0,4;1,7;6,62;0,73;6,62;-0,53;-0,49;0,00;9,35
60;12,2;0,69;-0,01;9,79;0,26;9,61;0;0;0;137,1;5,4913301;52,4458008;-109,08;93,14;-10,46;1;11;0,4;1,7;6,62;0,69;6,62;-0,45;-0,49;0,00;9,35
70;12,2;0,61;0,03;9,94;0,34;9,43;0;0;0;135,6;5,4913301;52,4458008;-109,08;93,14;-10,45;1;11;0,4;1,7;6,62;0,60;6,62;-0,44;-0,48;0,00;9,35
80;12,2;0,82;-0,02;9,92;1,03;9,43;0;0;0;135,6;5,4913301;52,4458008;-109,08;93,14;-10,45;1;11;0,4;1,7;6,62;0,50;6,62;-0,52;-0,49;0,00;9,35
90;12,2;0,58;0,01;9,78;0,63;9,43;0;0;0;135,6;5,4913301;52,4458008;-109,08;93,14;-10,45;1;11;0,4;1,7;6,62;0,46;6,62;-0,31;-0,47;0,00;9,36
100;12,2;0,98;0,07;9,73;0,09;9,43;0;0;0;135,6;5,4913301;52,4458008;-109,08;93,14;-10,45;1;11;0,4;1,7;6,62;0,40;6,62;-0,55;-0,48;0,00;9,36
