FILE NAME;006_22306_230905_085224.CSV
HASHCODE;D0B22668BFEE98971CB99FC84761EBB6C0FB82A1523E4E49CDC879E099319CCA
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;08:52:24;GMT+00:00
END OF MEASUREMENT;23/09/2005;08:52:41;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   17600;[mS]
TIME GPS SPEED WENT OVER 2KPH;     150;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 16,56;[kph]
TIME OF PEAK GPS SPEED;   17560;[mS]
PEAK SPEED; 16,86;[kph]
TIME OF PEAK SPEED;   17340;[mS]
TIME ACC WENT OVER 1m/s/s;        ;[mS]
PEAK ACC;  2,12;[m/s/s]
TIME OF PEAK ACC;    4410;[mS]
PEAK PITCH;   5,38;[deg]
TIME OF PEAK PITCH;   17130;[mS]
PEAK SLIP;  36,88;[deg]
TIME OF PEAK SLIP;   11960;[mS]
AVERAGE LONG ACCEL AT START;  0,68;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,13;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,79;[m/s/s]
AVERAGE PITCH RATE AT START;   0,08;[deg/s]
AVERAGE LONG ACCEL AT END;  1,38;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,04;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,71;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,26;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;0,40;0,00;9,85;0,03;14,40;0;0;0;134,2;5,4926200;52,4450417;-21,55;8,36;-10,78;1;9;0,5;1,7;4,62;0,31;4,62;0,12;-0,10;-31,04;14,08
10;12,2;0,43;0,14;9,64;-0,53;14,40;0;0;0;134,2;5,4926200;52,4450417;-21,55;8,36;-10,78;1;9;0,5;1,7;4,63;0,17;4,63;-0,39;-0,12;-31,04;14,06
20;12,2;0,84;0,17;9,69;0,59;14,40;0;0;0;134,2;5,4926200;52,4450417;-21,55;8,36;-10,78;1;9;0,5;1,7;4,62;0,39;4,62;-0,36;-0,15;-31,04;14,04
30;12,2;0,69;0,05;9,72;-0,65;14,40;0;0;0;134,2;5,4926200;52,4450417;-21,55;8,36;-10,78;1;9;0,5;1,7;4,62;0,54;4,63;0,05;-0,13;-31,04;14,03
40;12,2;0,63;0,13;9,63;-0,39;14,40;0;0;0;134,2;5,4926200;52,4450417;-21,55;8,36;-10,78;1;9;0,5;1,7;4,62;0,49;4,62;-0,10;-0,13;-31,04;14,02
50;12,2;0,87;0,10;9,86;0,30;14,40;0;0;0;134,2;5,4926200;52,4450417;-21,55;8,36;-10,78;1;9;0,5;1,7;4,62;0,54;4,62;-0,16;-0,13;-31,04;14,01
60;12,2;0,43;0,08;9,69;-0,50;14,40;0;0;0;134,2;5,4926200;52,4450417;-21,55;8,36;-10,78;1;9;0,5;1,7;4,62;0,54;4,62;0,08;-0,11;-31,04;14,01
70;12,2;0,49;0,15;9,91;-0,10;14,40;0;0;0;134,2;5,4926200;52,4450417;-21,55;8,36;-10,78;1;9;0,5;1,7;4,62;0,54;4,62;-0,36;-0,13;-31,04;13,99
80;12,2;0,53;0,08;9,91;0,21;14,40;0;0;0;134,2;5,4926200;52,4450417;-21,55;8,36;-10,78;1;9;0,5;1,7;4,62;0,57;4,62;-0,30;-0,15;-31,04;13,97
90;12,2;0,25;0,01;9,73;-0,85;14,40;0;0;0;134,2;5,4926200;52,4450417;-21,55;8,36;-10,78;1;9;0,5;1,7;4,62;0,56;4,62;-0,25;-0,16;-31,04;13,96
100;12,2;0,92;0,00;9,92;0,54;14,40;0;0;0;134,2;5,4926200;52,4450417;-21,55;8,36;-10,78;1;9;0,5;1,7;4,62;0,52;4,61;-0,54;-0,20;-31,04;13,93
