FILE NAME;007_22306_230905_085347.CSV
HASHCODE;ED1A2015782209BF5B4C60041F881A63455E490DAB286E82509AC7BD59A9B5C0
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;08:53:48;GMT+00:00
END OF MEASUREMENT;23/09/2005;08:54:55;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   67260;[mS]
TIME GPS SPEED WENT OVER 2KPH;   41800;[mS]
TIME GPS SPEED WENT UNDER 2KPH;      30;[mS]
PEAK GPS SPEED; 38,48;[kph]
TIME OF PEAK GPS SPEED;   60600;[mS]
PEAK SPEED; 38,59;[kph]
TIME OF PEAK SPEED;   60770;[mS]
TIME ACC WENT OVER 1m/s/s;   62500;[mS]
PEAK ACC;  3,59;[m/s/s]
TIME OF PEAK ACC;   41890;[mS]
PEAK PITCH;   6,16;[deg]
TIME OF PEAK PITCH;   41710;[mS]
PEAK SLIP;  32,20;[deg]
TIME OF PEAK SLIP;   49800;[mS]
AVERAGE LONG ACCEL AT START;  1,00;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,10;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,75;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,02;[deg/s]
AVERAGE LONG ACCEL AT END; -0,36;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,38;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,94;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,00;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;0,99;0,15;9,72;0,05;0,07;0;0;0;329,6;5,4914699;52,4457169;-99,58;83,64;-11,48;3;10;0,4;1,7;4,66;0,74;5,94;-0,01;-0,02;0,00;0,00
10;12,2;1,00;0,13;9,82;0,26;0,07;0;0;0;329,6;5,4914699;52,4457169;-99,58;83,64;-11,48;3;10;0,4;1,7;5,94;0,88;5,94;-0,02;-0,02;0,00;0,00
20;12,2;1,00;0,06;9,72;0,24;0,07;0;0;0;187,2;5,4914699;52,4457169;-99,58;83,64;-11,48;3;10;0,4;1,7;5,94;0,82;5,95;-0,01;-0,02;0,00;0,00
30;12,2;0,98;0,15;9,67;-0,30;0,07;0;0;0;187,2;5,4914699;52,4457169;-99,58;83,64;-11,48;3;10;0,4;1,7;5,95;0,67;5,95;-0,01;-0,02;0,00;0,00
40;12,2;1,02;0,12;9,82;-0,13;0,07;0;0;0;187,2;5,4914699;52,4457169;-99,58;83,64;-11,48;3;10;0,4;1,7;5,95;0,72;5,95;-0,04;-0,02;0,00;0,00
50;12,2;1,01;0,05;9,80;-0,05;0,07;0;0;0;187,2;5,4914699;52,4457169;-99,58;83,64;-11,48;3;10;0,4;1,7;5,95;0,72;5,94;0,01;-0,02;0,00;0,00
60;12,2;0,99;0,14;9,64;-0,19;0,07;0;0;0;187,2;5,4914699;52,4457169;-99,58;83,64;-11,48;3;10;0,4;1,7;5,94;0,65;5,94;-0,00;-0,01;0,00;0,00
70;12,2;1,00;0,12;9,69;-0,03;0,07;0;0;0;187,2;5,4914699;52,4457169;-99,58;83,64;-11,48;3;10;0,4;1,7;5,94;0,67;5,94;-0,03;-0,02;0,00;0,00
80;12,3;1,01;0,05;9,85;-0,28;0,07;0;0;0;187,2;5,4914699;52,4457169;-99,58;83,64;-11,48;3;10;0,4;1,7;5,94;0,68;5,94;-0,01;-0,02;0,00;0,00
90;12,2;0,99;0,14;9,68;0,16;0,07;0;0;0;187,2;5,4914699;52,4457169;-99,58;83,64;-11,48;3;10;0,4;1,7;5,94;0,64;5,94;0,00;-0,01;0,00;0,00
100;12,2;1,01;0,16;9,71;-0,40;0,07;0;0;0;187,2;5,4914699;52,4457169;-99,58;83,64;-11,48;3;10;0,4;1,7;5,94;0,66;5,94;-0,03;-0,02;0,00;0,00
