FILE NAME;008_22306_230905_085549.CSV
HASHCODE;E4A7A62E2DDB24D2E99E56EEE9FC06075BBC6796003A33BB4A3FD85CD299A6E9
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;08:55:50;GMT+00:00
END OF MEASUREMENT;23/09/2005;08:58:53;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;  183180;[mS]
TIME GPS SPEED WENT OVER 2KPH;    1740;[mS]
TIME GPS SPEED WENT UNDER 2KPH;  181350;[mS]
PEAK GPS SPEED; 47,74;[kph]
TIME OF PEAK GPS SPEED;  161750;[mS]
PEAK SPEED; 47,68;[kph]
TIME OF PEAK SPEED;  161800;[mS]
TIME ACC WENT OVER 1m/s/s;  166930;[mS]
PEAK ACC;  3,56;[m/s/s]
TIME OF PEAK ACC;  144890;[mS]
PEAK PITCH;  11,61;[deg]
TIME OF PEAK PITCH;     460;[mS]
PEAK SLIP;  32,12;[deg]
TIME OF PEAK SLIP;  146350;[mS]
AVERAGE LONG ACCEL AT START;  1,43;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,13;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,67;[m/s/s]
AVERAGE PITCH RATE AT START;   0,26;[deg/s]
AVERAGE LONG ACCEL AT END;  1,24;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,31;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,70;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,15;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;1,15;0,04;9,66;-0,22;0,68;0;0;0;41,8;5,4912143;52,4459038;-116,93;104,55;-11,58;1;9;0,5;1,6;5,93;0,61;10,62;-0,75;-0,67;0,00;0,53
10;12,2;1,15;0,07;9,70;-0,08;0,68;0;0;0;41,8;5,4912143;52,4459038;-116,93;104,55;-11,58;1;9;0,5;1,6;10,66;0,25;10,66;-0,67;-0,67;0,00;0,45
20;12,2;1,12;-0,05;9,78;0,08;0,68;0;0;0;41,8;5,4912143;52,4459038;-116,93;104,55;-11,58;1;9;0,5;1,6;10,68;0,34;10,70;-0,67;-0,67;0,00;0,37
30;12,2;1,03;0,00;9,71;0,03;0,68;0;0;0;41,8;5,4912143;52,4459038;-116,93;104,55;-11,58;1;9;0,5;1,6;10,70;0,12;10,74;-0,71;-0,67;0,00;0,29
40;12,2;1,11;0,06;9,72;0,07;0,68;0;0;0;41,8;5,4912143;52,4459038;-116,93;104,55;-11,58;1;9;0,5;1,6;10,72;0,10;10,79;-0,80;-0,69;0,00;0,21
50;12,2;1,10;-0,02;9,71;-0,13;0,68;0;0;0;41,8;5,4912143;52,4459038;-116,93;104,55;-11,58;1;9;0,5;1,6;10,74;0,15;10,83;-0,73;-0,69;0,00;0,13
60;12,2;1,09;0,00;9,66;-0,09;0,68;0;0;0;41,8;5,4912143;52,4459038;-116,93;104,55;-11,58;1;9;0,5;1,6;10,77;0,10;10,87;-0,75;-0,70;0,00;0,04
70;12,2;1,08;0,04;9,72;0,11;0,68;0;0;0;41,8;5,4912143;52,4459038;-116,93;104,55;-11,58;1;9;0,5;1,6;10,78;0,09;10,90;-0,76;-0,70;0,00;0,00
80;12,2;1,10;0,02;9,78;-0,01;0,68;0;0;0;41,8;5,4912143;52,4459038;-116,93;104,55;-11,58;1;9;0,5;1,6;10,80;0,11;10,94;-0,78;-0,71;0,00;0,00
90;12,2;1,07;0,00;9,68;0,13;0,68;0;0;0;41,8;5,4912143;52,4459038;-116,93;104,55;-11,58;1;9;0,5;1,6;10,82;0,11;10,97;-0,77;-0,72;0,00;0,00
100;12,2;1,07;0,05;9,70;0,29;0,68;0;0;0;41,8;5,4912143;52,4459038;-116,93;104,55;-11,58;1;9;0,5;1,6;10,84;0,11;11,00;-0,80;-0,72;0,00;0,00
