FILE NAME;009_22306_230905_090137.CSV
HASHCODE;39EC6CCDA58FAE03FAC409795125A94EE3CC686E8E46D697514B547EF55074E7
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:01:37;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:02:08;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   30690;[mS]
TIME GPS SPEED WENT OVER 2KPH;    6710;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 57,49;[kph]
TIME OF PEAK GPS SPEED;   25470;[mS]
PEAK SPEED; 57,56;[kph]
TIME OF PEAK SPEED;   25640;[mS]
TIME ACC WENT OVER 1m/s/s;   28610;[mS]
PEAK ACC;  3,49;[m/s/s]
TIME OF PEAK ACC;    7190;[mS]
PEAK PITCH;   6,22;[deg]
TIME OF PEAK PITCH;    6990;[mS]
PEAK SLIP;  32,08;[deg]
TIME OF PEAK SLIP;   11280;[mS]
AVERAGE LONG ACCEL AT START;  1,00;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,08;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,75;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,00;[deg/s]
AVERAGE LONG ACCEL AT END; -1,36;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,64;[m/s/s]
AVERAGE VERT ACCEL AT END; 10,08;[m/s/s]
AVERAGE PITCH RATE AT END;   0,06;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;0,99;0,13;9,71;-0,11;0,04;0;0;0;128,7;5,4908767;52,4460640;-139,87;122,41;-11,82;1;9;0,5;1,6;11,24;0,74;5,91;-0,03;-0,01;0,00;0,00
10;12,2;1,00;0,12;9,66;0,04;0,04;0;0;0;128,7;5,4908767;52,4460640;-139,87;122,41;-11,82;1;9;0,5;1,6;5,91;0,76;5,91;-0,01;-0,01;0,00;0,00
20;12,2;0,99;0,11;9,80;-0,00;0,04;0;0;0;128,7;5,4908767;52,4460640;-139,87;122,41;-11,82;1;9;0,5;1,6;5,91;0,73;5,91;-0,00;-0,01;0,00;0,00
30;12,2;0,98;0,03;9,82;-0,01;0,04;0;0;0;128,7;5,4908767;52,4460640;-139,87;122,41;-11,82;1;9;0,5;1,6;5,91;0,71;5,91;-0,02;-0,01;0,00;0,00
40;12,2;0,97;0,11;9,70;-0,28;0,04;0;0;0;128,7;5,4908767;52,4460640;-139,87;122,41;-11,82;1;9;0,5;1,6;5,91;0,58;5,91;-0,03;-0,02;0,00;0,00
50;12,2;1,01;0,14;9,72;-0,17;0,04;0;0;0;128,7;5,4908767;52,4460640;-139,87;122,41;-11,82;1;9;0,5;1,6;5,91;0,59;5,91;-0,04;-0,02;0,00;0,00
60;12,2;0,99;0,03;9,79;-0,16;0,04;0;0;0;128,7;5,4908767;52,4460640;-139,87;122,41;-11,82;1;9;0,5;1,6;5,91;0,63;5,91;0,01;-0,02;0,00;0,00
70;12,2;1,01;0,03;9,71;0,01;0,04;0;0;0;128,7;5,4908767;52,4460640;-139,87;122,41;-11,82;1;9;0,5;1,6;5,91;0,57;5,90;-0,01;-0,02;0,00;0,00
80;12,2;0,99;0,12;9,72;-0,09;0,04;0;0;0;39,8;5,4908767;52,4460640;-139,87;122,41;-11,82;1;9;0,5;1,6;5,90;0,52;5,89;0,01;-0,01;0,00;0,00
90;12,2;0,99;0,03;9,82;0,06;0,04;0;0;0;39,8;5,4908767;52,4460640;-139,87;122,41;-11,82;1;9;0,5;1,6;5,90;0,54;5,89;-0,01;-0,01;0,00;0,00
100;12,2;0,98;0,04;9,73;-0,02;0,04;0;0;0;39,8;5,4908767;52,4460640;-139,87;122,41;-11,82;1;9;0,5;1,6;5,90;0,51;5,89;-0,02;-0,01;0,00;0,00
