FILE NAME;010_22306_230905_090322.CSV
HASHCODE;654593D73B0852EBE9647721C2C6DD32B0CCE6CE37F37EEDAC2B743A642F1627
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:03:22;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:03:45;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   23110;[mS]
TIME GPS SPEED WENT OVER 2KPH;    5110;[mS]
TIME GPS SPEED WENT UNDER 2KPH;     110;[mS]
PEAK GPS SPEED; 66,85;[kph]
TIME OF PEAK GPS SPEED;   19310;[mS]
PEAK SPEED; 66,89;[kph]
TIME OF PEAK SPEED;   19210;[mS]
TIME ACC WENT OVER 1m/s/s;   20540;[mS]
PEAK ACC;  5,21;[m/s/s]
TIME OF PEAK ACC;    6930;[mS]
PEAK PITCH;   6,69;[deg]
TIME OF PEAK PITCH;    6820;[mS]
PEAK SLIP;  32,23;[deg]
TIME OF PEAK SLIP;    7520;[mS]
AVERAGE LONG ACCEL AT START;  1,00;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,01;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,74;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,07;[deg/s]
AVERAGE LONG ACCEL AT END; -1,31;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,57;[m/s/s]
AVERAGE VERT ACCEL AT END; 10,05;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,17;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;1,02;0,05;9,68;0,05;0,00;0;0;0;346,6;5,4910369;52,4459686;-128,98;111,77;-11,78;3;9;0,5;1,8;5,86;0,49;5,86;-0,03;-0,01;0,00;0,07
10;12,2;1,03;0,01;9,81;0,11;0,00;0;0;0;346,6;5,4910369;52,4459686;-128,98;111,77;-11,78;3;9;0,5;1,8;5,86;0,31;5,86;0,02;-0,00;0,00;0,07
20;12,2;0,97;-0,06;9,80;-0,31;0,00;0;0;0;346,6;5,4910369;52,4459686;-128,98;111,77;-11,78;3;9;0,5;1,8;5,86;0,20;5,86;0,03;0,00;0,00;0,07
30;12,2;0,97;0,04;9,69;0,23;0,00;0;0;0;346,6;5,4910369;52,4459686;-128,98;111,77;-11,78;3;9;0,5;1,8;5,86;0,01;5,86;-0,03;-0,00;0,00;0,07
40;12,2;1,01;0,03;9,80;-0,00;0,00;0;0;0;346,6;5,4910369;52,4459686;-128,98;111,77;-11,78;3;9;0,5;1,8;5,86;0,07;5,86;-0,03;-0,01;0,00;0,06
50;12,2;0,97;-0,03;9,78;-0,08;0,00;0;0;0;346,6;5,4910369;52,4459686;-128,98;111,77;-11,78;3;9;0,5;1,8;5,86;0,09;5,86;0,01;-0,00;0,00;0,06
60;12,2;0,98;0,06;9,68;-0,30;0,00;0;0;0;346,6;5,4910369;52,4459686;-128,98;111,77;-11,78;3;9;0,5;1,8;5,86;0,05;5,86;-0,03;-0,01;0,00;0,06
70;12,2;1,02;0,06;9,70;0,40;0,00;0;0;0;346,6;5,4910369;52,4459686;-128,98;111,77;-11,78;3;9;0,5;1,8;5,86;0,09;5,86;-0,03;-0,01;0,00;0,06
80;12,2;1,01;-0,05;9,79;-0,02;0,00;0;0;0;346,6;5,4910369;52,4459686;-128,98;111,77;-11,78;3;9;0,5;1,8;5,86;0,13;5,87;0,02;-0,01;0,00;0,06
90;12,2;0,96;-0,02;9,73;0,01;0,00;0;0;0;346,6;5,4910369;52,4459686;-128,98;111,77;-11,78;3;9;0,5;1,8;5,86;0,08;5,87;0,01;-0,00;0,00;0,06
100;12,2;0,98;0,05;9,68;0,12;0,00;0;0;0;346,6;5,4910369;52,4459686;-128,98;111,77;-11,78;3;9;0,5;1,8;5,86;0,06;5,87;-0,05;-0,01;0,00;0,06
