FILE NAME;011_22306_230905_090532.CSV
HASHCODE;12622C39661EF19FC818CADDA3933160BBACA23093F95B4482A3D536B5BBEC95
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:05:32;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:06:04;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   32170;[mS]
TIME GPS SPEED WENT OVER 2KPH;   14950;[mS]
TIME GPS SPEED WENT UNDER 2KPH;     150;[mS]
PEAK GPS SPEED; 75,64;[kph]
TIME OF PEAK GPS SPEED;   29150;[mS]
PEAK SPEED; 75,69;[kph]
TIME OF PEAK SPEED;   29070;[mS]
TIME ACC WENT OVER 1m/s/s;   29810;[mS]
PEAK ACC;  5,56;[m/s/s]
TIME OF PEAK ACC;   17060;[mS]
PEAK PITCH;   6,86;[deg]
TIME OF PEAK PITCH;   17210;[mS]
PEAK SLIP;  31,82;[deg]
TIME OF PEAK SLIP;   24350;[mS]
AVERAGE LONG ACCEL AT START;  1,01;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,09;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,75;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,04;[deg/s]
AVERAGE LONG ACCEL AT END; -1,27;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,62;[m/s/s]
AVERAGE VERT ACCEL AT END; 10,05;[m/s/s]
AVERAGE PITCH RATE AT END;   0,09;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;0,99;0,08;9,80;-0,23;0,04;0;0;0;323,9;5,4908628;52,4460716;-140,80;123,17;-12,35;3;9;0,5;1,8;5,87;0,05;6,11;-0,06;-0,04;0,00;0,08
10;12,2;0,98;0,01;9,77;0,10;0,04;0;0;0;323,9;5,4908628;52,4460716;-140,80;123,17;-12,35;3;9;0,5;1,8;6,11;0,48;6,11;-0,06;-0,04;0,00;0,08
20;12,2;1,00;0,13;9,68;0,07;0,04;0;0;0;323,9;5,4908628;52,4460716;-140,80;123,17;-12,35;3;9;0,5;1,8;6,11;0,28;6,11;-0,07;-0,04;0,00;0,08
30;12,2;0,99;0,08;9,83;-0,14;0,04;0;0;0;323,9;5,4908628;52,4460716;-140,80;123,17;-12,35;3;9;0,5;1,8;6,11;0,44;6,11;-0,04;-0,04;0,00;0,08
40;12,2;0,98;0,02;9,81;0,12;0,04;0;0;0;323,9;5,4908628;52,4460716;-140,80;123,17;-12,35;3;9;0,5;1,8;6,11;0,45;6,11;-0,05;-0,04;0,00;0,08
50;12,2;0,98;0,15;9,66;0,25;0,04;0;0;0;323,9;5,4908628;52,4460716;-140,80;123,17;-12,35;3;9;0,5;1,8;6,11;0,39;6,12;-0,07;-0,05;0,00;0,08
60;12,2;1,04;0,13;9,70;-0,13;0,04;0;0;0;323,9;5,4908628;52,4460716;-140,80;123,17;-12,35;3;9;0,5;1,8;6,11;0,47;6,12;-0,07;-0,05;0,00;0,08
70;12,2;1,00;0,01;9,79;-0,05;0,04;0;0;0;323,9;5,4908628;52,4460716;-140,80;123,17;-12,35;3;9;0,5;1,8;6,12;0,51;6,12;-0,00;-0,04;0,00;0,08
80;12,2;0,99;0,06;9,70;0,06;0,04;0;0;0;323,9;5,4908628;52,4460716;-140,80;123,17;-12,35;3;9;0,5;1,8;6,12;0,46;6,12;-0,04;-0,04;0,00;0,08
90;12,2;1,02;0,14;9,73;0,40;0,04;0;0;0;323,9;5,4908628;52,4460716;-140,80;123,17;-12,35;3;9;0,5;1,8;6,12;0,45;6,12;-0,06;-0,04;0,00;0,08
100;12,2;0,99;0,03;9,80;0,17;0,04;0;0;0;323,9;5,4908628;52,4460716;-140,80;123,17;-12,35;3;9;0,5;1,8;6,12;0,49;6,12;-0,02;-0,04;0,00;0,08
