FILE NAME;012_22306_230905_091615.CSV
HASHCODE;DC87E36A0C52A3F398F60D43DB6437A3719DC54BFD306CC11948CBC95B7A3B80
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:16:16;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:16:57;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   41530;[mS]
TIME GPS SPEED WENT OVER 2KPH;    9250;[mS]
TIME GPS SPEED WENT UNDER 2KPH;      50;[mS]
PEAK GPS SPEED; 38,38;[kph]
TIME OF PEAK GPS SPEED;   36240;[mS]
PEAK SPEED; 38,40;[kph]
TIME OF PEAK SPEED;   36660;[mS]
TIME ACC WENT OVER 1m/s/s;        ;[mS]
PEAK ACC;  2,97;[m/s/s]
TIME OF PEAK ACC;   13170;[mS]
PEAK PITCH;   6,16;[deg]
TIME OF PEAK PITCH;   14220;[mS]
PEAK SLIP;  32,31;[deg]
TIME OF PEAK SLIP;   19060;[mS]
AVERAGE LONG ACCEL AT START;  1,01;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,08;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,74;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,05;[deg/s]
AVERAGE LONG ACCEL AT END;  0,87;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,10;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,76;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,12;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;1,00;0,09;9,79;0,19;0,04;0;0;0;17,4;5,4912076;52,4458771;-117,40;101,50;-12,37;3;9;0,5;2,2;6,14;0,55;5,86;0,00;0,00;0,00;0,06
10;12,2;1,01;0,10;9,76;-0,01;0,04;0;0;0;17,4;5,4912076;52,4458771;-117,40;101,50;-12,37;3;9;0,5;2,2;5,87;0,54;5,87;0,00;0,00;0,00;0,06
20;12,2;0,99;0,01;9,74;0,39;0,04;0;0;0;17,4;5,4912076;52,4458771;-117,40;101,50;-12,37;3;9;0,5;2,2;5,87;0,56;5,87;0,01;0,00;0,00;0,06
30;12,2;1,00;0,15;9,71;0,12;0,04;0;0;0;17,4;5,4912076;52,4458771;-117,40;101,50;-12,37;3;9;0,5;2,2;5,87;0,40;5,87;-0,01;0,00;0,00;0,06
40;12,2;1,01;0,11;9,77;0,22;0,07;0;0;0;182,7;5,4912076;52,4458771;-117,40;101,50;-12,37;3;9;0,5;2,2;5,87;0,52;5,87;0,00;0,00;0,00;0,06
50;12,2;0,99;0,03;9,73;0,11;0,07;0;0;0;182,7;5,4912076;52,4458771;-117,40;101,50;-12,37;3;9;0,5;2,2;5,87;0,55;5,88;0,01;0,00;0,00;0,06
60;12,2;0,99;0,08;9,66;-0,35;0,07;0;0;0;182,7;5,4912076;52,4458771;-117,40;101,50;-12,37;3;9;0,5;2,2;5,87;0,49;5,88;-0,02;0,00;0,00;0,06
70;12,2;1,01;0,08;9,77;-0,31;0,07;0;0;0;182,7;5,4912076;52,4458771;-117,40;101,50;-12,37;3;9;0,5;2,2;5,87;0,49;5,87;-0,01;-0,00;0,00;0,06
80;12,2;0,99;0,06;9,84;-0,13;0,07;0;0;0;182,7;5,4912076;52,4458771;-117,40;101,50;-12,37;3;9;0,5;2,2;5,87;0,49;5,87;0,01;0,00;0,00;0,06
90;12,2;0,98;0,09;9,69;-0,15;0,07;0;0;0;182,7;5,4912076;52,4458771;-117,40;101,50;-12,37;3;9;0,5;2,2;5,87;0,47;5,87;-0,02;-0,00;0,00;0,06
100;12,2;1,02;0,15;9,70;-0,55;0,07;0;0;0;182,7;5,4912076;52,4458771;-117,40;101,50;-12,37;3;9;0,5;2,2;5,87;0,48;5,87;-0,03;-0,00;0,00;0,06
