FILE NAME;013_22306_230905_091804.CSV
HASHCODE;B55363B67E5AAA546EB66BA9B55DBEF9271BA06D754B5A7E4BEE698C564A819C
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:18:05;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:18:39;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   34170;[mS]
TIME GPS SPEED WENT OVER 2KPH;    8270;[mS]
TIME GPS SPEED WENT UNDER 2KPH;      80;[mS]
PEAK GPS SPEED; 48,42;[kph]
TIME OF PEAK GPS SPEED;   31680;[mS]
PEAK SPEED; 48,47;[kph]
TIME OF PEAK SPEED;   32140;[mS]
TIME ACC WENT OVER 1m/s/s;        ;[mS]
PEAK ACC;  3,33;[m/s/s]
TIME OF PEAK ACC;   12840;[mS]
PEAK PITCH;   6,92;[deg]
TIME OF PEAK PITCH;   15260;[mS]
PEAK SLIP;  32,14;[deg]
TIME OF PEAK SLIP;   16690;[mS]
AVERAGE LONG ACCEL AT START;  1,00;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,07;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,74;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,05;[deg/s]
AVERAGE LONG ACCEL AT END;  0,12;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,30;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,88;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,08;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;0,98;0,11;9,73;0,34;0,04;0;0;0;110,4;5,4911642;52,4459000;-120,35;104,55;-13,15;1;8;0,5;2,2;5,87;0,46;5,93;-0,04;-0,02;0,00;0,00
10;12,2;0,95;0,03;9,78;0,16;0,04;0;0;0;110,4;5,4911642;52,4459000;-120,35;104,55;-13,15;1;8;0,5;2,2;5,94;0,65;5,94;-0,04;-0,02;0,00;0,00
20;12,2;1,01;0,05;9,68;0,49;0,04;0;0;0;110,4;5,4911642;52,4459000;-120,35;104,55;-13,15;1;8;0,5;2,2;5,94;0,42;5,94;-0,07;-0,03;0,00;0,00
30;12,2;1,00;0,10;9,72;-0,04;0,04;0;0;0;110,4;5,4911642;52,4459000;-120,35;104,55;-13,15;1;8;0,5;2,2;5,94;0,39;5,95;-0,00;-0,02;0,00;0,00
40;12,2;0,97;0,04;9,84;0,11;0,04;0;0;0;110,4;5,4911642;52,4459000;-120,35;104,55;-13,15;1;8;0,5;2,2;5,94;0,44;5,95;-0,01;-0,02;0,00;0,00
50;12,2;1,00;0,05;9,71;0,17;0,04;0;0;0;110,4;5,4911642;52,4459000;-120,35;104,55;-13,15;1;8;0,5;2,2;5,94;0,40;5,91;-0,05;-0,03;0,00;0,00
60;12,2;1,02;0,12;9,66;0,20;0,04;0;0;0;110,4;5,4911642;52,4459000;-120,35;104,55;-13,15;1;8;0,5;2,2;5,93;0,39;5,91;-0,00;-0,02;0,00;0,00
70;12,2;1,01;0,04;9,82;-0,21;0,04;0;0;0;110,4;5,4911642;52,4459000;-120,35;104,55;-13,16;1;8;0,5;2,2;5,93;0,43;5,91;0,01;-0,02;0,00;0,00
80;12,2;0,98;0,04;9,69;-0,19;0,04;0;0;0;110,4;5,4911642;52,4459000;-120,35;104,55;-13,16;1;8;0,5;2,2;5,93;0,41;5,91;0,00;-0,02;0,00;0,00
90;12,2;1,05;0,12;9,66;0,08;0,04;0;0;0;110,4;5,4911642;52,4459000;-120,35;104,55;-13,16;1;8;0,5;2,2;5,93;0,39;5,91;-0,03;-0,02;0,00;0,00
100;12,2;0,99;0,04;9,83;-0,33;0,04;0;0;0;110,4;5,4911642;52,4459000;-120,35;104,55;-13,16;1;8;0,5;2,2;5,92;0,42;5,91;0,04;-0,01;0,00;0,00
