FILE NAME;014_22306_230905_091949.CSV
HASHCODE;249E7FE4A8F225B1614A7D07C362430C5B74F859D33F489F081D3E874BE70BF7
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:19:49;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:20:17;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   27270;[mS]
TIME GPS SPEED WENT OVER 2KPH;    2950;[mS]
TIME GPS SPEED WENT UNDER 2KPH;     150;[mS]
PEAK GPS SPEED; 57,96;[kph]
TIME OF PEAK GPS SPEED;   23750;[mS]
PEAK SPEED; 57,89;[kph]
TIME OF PEAK SPEED;   23350;[mS]
TIME ACC WENT OVER 1m/s/s;   25250;[mS]
PEAK ACC;  3,43;[m/s/s]
TIME OF PEAK ACC;    3400;[mS]
PEAK PITCH;   6,04;[deg]
TIME OF PEAK PITCH;    3540;[mS]
PEAK SLIP;  31,75;[deg]
TIME OF PEAK SLIP;   21750;[mS]
AVERAGE LONG ACCEL AT START;  1,00;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,08;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,74;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,06;[deg/s]
AVERAGE LONG ACCEL AT END; -0,74;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,59;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,96;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,08;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;1,01;0,05;9,74;0,34;0,07;0;0;0;176,6;5,4911819;52,4458885;-119,16;103,03;-13,26;1;8;0,5;2,1;5,84;0,39;5,92;0,06;0,00;0,00;0,01
10;12,2;0,99;0,08;9,66;-0,18;0,07;0;0;0;176,6;5,4911819;52,4458885;-119,16;103,03;-13,26;1;8;0,5;2,1;5,92;0,31;5,92;0,00;0,00;0,00;0,01
20;12,2;1,02;0,10;9,76;-0,35;0,07;0;0;0;176,6;5,4911819;52,4458885;-119,16;103,03;-13,26;1;8;0,5;2,1;5,92;0,39;5,92;-0,02;0,00;0,00;0,01
30;12,2;0,98;0,04;9,83;-0,34;0,07;0;0;0;176,6;5,4911819;52,4458885;-119,16;103,03;-13,26;1;8;0,5;2,1;5,92;0,46;5,92;0,01;0,00;0,00;0,01
40;12,2;0,97;0,08;9,68;0,01;0,07;0;0;0;176,6;5,4911819;52,4458885;-119,16;103,03;-13,26;1;8;0,5;2,1;5,92;0,41;5,91;-0,03;-0,00;0,00;0,00
50;12,2;1,05;0,12;9,68;0,03;0,07;0;0;0;176,6;5,4911819;52,4458885;-119,16;103,03;-13,26;1;8;0,5;2,1;5,92;0,42;5,91;-0,04;-0,00;0,00;0,00
60;12,2;0,99;0,03;9,82;0,34;0,07;0;0;0;176,6;5,4911819;52,4458885;-119,16;103,03;-13,26;1;8;0,5;2,1;5,91;0,47;5,90;0,04;-0,00;0,00;0,00
70;12,2;0,99;0,04;9,74;0,03;0,07;0;0;0;176,6;5,4911819;52,4458885;-119,16;103,03;-13,26;1;8;0,5;2,1;5,91;0,43;5,91;-0,01;-0,00;0,00;0,00
80;12,2;1,03;0,12;9,65;-0,27;0,07;0;0;0;176,6;5,4911819;52,4458885;-119,16;103,03;-13,26;1;8;0,5;2,1;5,91;0,41;5,91;-0,02;-0,00;0,00;0,00
90;12,2;0,93;0,04;9,84;-0,38;0,07;0;0;0;176,6;5,4911819;52,4458885;-119,16;103,03;-13,26;1;8;0,5;2,1;5,91;0,44;5,91;0,03;-0,00;0,00;0,00
100;12,2;1,00;0,03;9,79;0,18;0,07;0;0;0;176,6;5,4911819;52,4458885;-119,16;103,03;-13,26;1;8;0,5;2,1;5,91;0,42;5,90;-0,08;-0,01;0,00;0,00
