FILE NAME;015_22306_230905_092136.CSV
HASHCODE;CE3328151BEB468A6559517F92699E4958EF68DEA65DF3A4D8EC87DCD1792F78
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:21:37;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:22:06;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   29730;[mS]
TIME GPS SPEED WENT OVER 2KPH;    9420;[mS]
TIME GPS SPEED WENT UNDER 2KPH;      20;[mS]
PEAK GPS SPEED; 67,39;[kph]
TIME OF PEAK GPS SPEED;   28020;[mS]
PEAK SPEED; 67,38;[kph]
TIME OF PEAK SPEED;   27970;[mS]
TIME ACC WENT OVER 1m/s/s;   29530;[mS]
PEAK ACC;  4,26;[m/s/s]
TIME OF PEAK ACC;   11810;[mS]
PEAK PITCH;   6,38;[deg]
TIME OF PEAK PITCH;    9520;[mS]
PEAK SLIP;  31,96;[deg]
TIME OF PEAK SLIP;   12430;[mS]
AVERAGE LONG ACCEL AT START;  1,00;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,05;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,74;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,03;[deg/s]
AVERAGE LONG ACCEL AT END; -0,40;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,51;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,94;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,47;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;1,02;0,04;9,67;0,10;0,07;0;0;0;188,5;5,4909301;52,4460373;-136,22;119,37;-13,44;3;8;0,5;2,1;5,89;0,44;5,83;0,02;0,00;0,00;0,02
10;12,2;1,03;0,07;9,67;-0,15;0,04;0;0;0;139,0;5,4909301;52,4460373;-136,22;119,37;-13,44;3;8;0,5;2,1;5,83;0,25;5,83;0,03;0,00;0,00;0,02
20;12,2;1,00;0,03;9,84;0,04;0,04;0;0;0;139,0;5,4909301;52,4460373;-136,22;119,37;-13,44;3;8;0,5;2,1;5,83;0,34;5,83;0,04;0,01;0,00;0,02
30;12,2;0,99;0,04;9,68;-0,05;0,04;0;0;0;139,0;5,4909301;52,4460373;-136,22;119,37;-13,44;3;8;0,5;2,1;5,83;0,29;5,83;0,01;0,01;0,00;0,03
40;12,2;1,02;0,09;9,69;0,28;0,04;0;0;0;139,0;5,4909301;52,4460373;-136,22;119,37;-13,44;3;8;0,5;2,1;5,83;0,28;5,83;-0,01;0,01;0,00;0,03
50;12,2;1,02;0,02;9,82;-0,00;0,04;0;0;0;139,0;5,4909301;52,4460373;-136,22;119,37;-13,44;3;8;0,5;2,1;5,83;0,33;5,83;0,03;0,01;0,00;0,03
60;12,2;0,98;-0,01;9,77;0,14;0,04;0;0;0;139,0;5,4909301;52,4460373;-136,22;119,37;-13,44;3;8;0,5;2,1;5,83;0,30;5,83;0,03;0,01;0,00;0,03
70;12,2;1,00;0,07;9,68;-0,02;0,04;0;0;0;139,0;5,4909301;52,4460373;-136,22;119,37;-13,44;3;8;0,5;2,1;5,83;0,25;5,83;-0,02;0,01;0,00;0,03
80;12,2;0,97;0,07;9,77;0,08;0,04;0;0;0;139,0;5,4909301;52,4460373;-136,22;119,37;-13,44;3;8;0,5;2,1;5,83;0,27;5,83;0,01;0,01;0,00;0,03
90;12,2;0,95;0,01;9,75;-0,25;0,04;0;0;0;139,0;5,4909301;52,4460373;-136,22;119,37;-13,44;3;8;0,5;2,1;5,83;0,29;5,84;-0,03;0,00;0,00;0,03
100;12,2;1,01;0,09;9,66;0,54;0,04;0;0;0;139,0;5,4909301;52,4460373;-136,22;119,37;-13,44;3;8;0,5;2,1;5,83;0,27;5,83;-0,05;-0,00;0,00;0,03
