FILE NAME;016_22306_230905_092357.CSV
HASHCODE;8A97A11A44D320BE9D62F64786B28B1FA8B7179E166FCA0C364264720CD75B32
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:23:58;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:26:56;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;  178760;[mS]
TIME GPS SPEED WENT OVER 2KPH;      40;[mS]
TIME GPS SPEED WENT UNDER 2KPH;  171840;[mS]
PEAK GPS SPEED; 48,67;[kph]
TIME OF PEAK GPS SPEED;  130240;[mS]
PEAK SPEED; 49,31;[kph]
TIME OF PEAK SPEED;  130120;[mS]
TIME ACC WENT OVER 1m/s/s;      20;[mS]
PEAK ACC;  3,58;[m/s/s]
TIME OF PEAK ACC;  123060;[mS]
PEAK PITCH;  12,06;[deg]
TIME OF PEAK PITCH;  160640;[mS]
PEAK SLIP;  25,57;[deg]
TIME OF PEAK SLIP;  144650;[mS]
AVERAGE LONG ACCEL AT START; -1,04;[m/s/s]
AVERAGE LAT ACCEL AT START; -2,57;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,87;[m/s/s]
AVERAGE PITCH RATE AT START;  -1,34;[deg/s]
AVERAGE LONG ACCEL AT END;  1,00;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,09;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,74;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,08;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;-0,96;-2,62;9,84;-2,39;12,35;0;0;0;66,6;5,4951005;52,4436378;-1,56;-6,84;-13,45;1;8;0,5;2,1;0,03;12,51;5,28;-1,93;-1,89;0,00;6,61
10;12,2;-1,10;-2,61;9,88;-2,06;12,35;0;0;0;66,6;5,4951005;52,4436378;-1,56;-6,84;-13,45;1;8;0,5;2,1;5,28;15,51;5,28;-1,87;-1,88;0,00;6,59
20;12,2;-1,08;-2,55;9,94;-2,06;12,35;0;0;0;66,6;5,4951005;52,4436378;-1,56;-6,84;-13,45;1;8;0,5;2,1;5,28;15,48;5,28;-2,00;-1,90;0,00;6,55
30;12,2;-1,08;-2,71;9,93;-2,25;12,38;0;0;0;58,1;5,4951091;52,4436417;-0,96;-6,46;-13,46;1;8;0,5;2,1;5,28;15,35;5,28;-1,98;-1,90;0,00;6,52
40;12,2;-0,94;-2,77;9,95;-2,28;12,38;0;0;0;58,1;5,4951091;52,4436417;-0,96;-6,46;-13,46;1;8;0,5;2,1;5,28;15,52;5,28;-1,98;-1,91;0,00;6,49
50;12,2;-0,96;-2,79;9,77;-2,79;12,38;0;0;0;58,1;5,4951091;52,4436417;-0,96;-6,46;-13,46;1;8;0,5;2,1;5,28;15,70;5,28;-1,85;-1,90;0,00;6,47
60;12,2;-1,07;-2,73;9,95;-2,28;12,38;0;0;0;58,1;5,4951091;52,4436417;-0,96;-6,46;-13,46;1;8;0,5;2,1;5,28;15,84;5,28;-1,87;-1,90;0,00;6,44
70;12,2;-0,94;-2,55;9,91;-1,98;12,38;0;0;0;58,1;5,4951091;52,4436417;-0,96;-6,46;-13,46;1;8;0,5;2,1;5,28;15,89;5,28;-1,97;-1,91;0,00;6,42
80;12,2;-1,17;-2,64;9,88;-2,13;12,38;0;0;0;58,1;5,4951091;52,4436417;-0,96;-6,46;-13,46;1;8;0,5;2,1;5,28;15,79;5,28;-1,85;-1,90;0,00;6,40
90;12,2;-1,11;-2,73;9,97;-2,12;12,38;0;0;0;58,1;5,4951091;52,4436417;-0,96;-6,46;-13,46;1;8;0,5;2,1;5,28;15,77;5,28;-2,08;-1,92;0,00;6,37
100;12,2;-1,11;-2,75;9,98;-1,99;12,38;0;0;0;58,1;5,4951091;52,4436417;-0,96;-6,46;-13,46;1;8;0,5;2,1;5,28;15,81;5,28;-2,02;-1,93;0,00;6,34
