FILE NAME;017_22306_230905_092731.CSV
HASHCODE;DBABE1AA0FF9F3752BB6B5102EC7A6BF9524B48023B0FE7CE054FA618EF5E51F
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:27:31;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:28:46;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   75240;[mS]
TIME GPS SPEED WENT OVER 2KPH;      60;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   74060;[mS]
PEAK GPS SPEED; 46,58;[kph]
TIME OF PEAK GPS SPEED;   32460;[mS]
PEAK SPEED; 46,24;[kph]
TIME OF PEAK SPEED;   31150;[mS]
TIME ACC WENT OVER 1m/s/s;   47500;[mS]
PEAK ACC;  3,11;[m/s/s]
TIME OF PEAK ACC;   67040;[mS]
PEAK PITCH;  12,56;[deg]
TIME OF PEAK PITCH;   62770;[mS]
PEAK SLIP; 174,98;[deg]
TIME OF PEAK SLIP;    1670;[mS]
AVERAGE LONG ACCEL AT START; -0,13;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,42;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,91;[m/s/s]
AVERAGE PITCH RATE AT START;   0,01;[deg/s]
AVERAGE LONG ACCEL AT END;  0,76;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,13;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,77;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,01;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;-0,16;0,38;9,89;-0,17;20,56;0;0;0;135,0;5,4940219;52,4442291;-74,73;58,93;-13,63;3;8;0,5;2,2;5,28;15,18;5,90;-1,38;-1,31;-174,27;18,60
10;12,2;-0,08;0,43;9,85;-0,37;20,56;0;0;0;135,0;5,4940219;52,4442291;-74,73;58,93;-13,63;3;8;0,5;2,2;5,90;2,24;5,90;-1,16;-1,29;-174,27;18,55
20;12,2;-0,17;0,42;9,98;-0,21;20,56;0;0;0;135,0;5,4940219;52,4442291;-74,73;58,93;-13,63;3;8;0,5;2,2;5,90;2,38;5,90;-1,09;-1,27;-174,27;18,51
30;12,2;-0,24;0,37;9,92;-0,17;20,56;0;0;0;135,0;5,4940219;52,4442291;-74,73;58,93;-13,63;3;8;0,5;2,2;5,90;2,41;5,90;-1,17;-1,26;-174,27;18,46
40;12,2;-0,26;0,31;10,09;0,17;20,56;0;0;0;135,0;5,4940219;52,4442291;-74,73;58,93;-13,63;3;8;0,5;2,2;5,90;2,35;5,89;-1,25;-1,26;-174,27;18,42
50;12,2;-0,23;0,38;9,98;-0,26;19,62;0;0;0;135,1;5,4940338;52,4442215;-73,95;58,17;-13,63;3;8;0,5;2,2;5,90;2,25;5,90;-1,27;-1,26;-174,27;18,37
60;12,2;-0,19;0,40;10,00;0,17;19,62;0;0;0;135,1;5,4940338;52,4442215;-73,95;58,17;-13,63;3;8;0,5;2,2;5,90;2,25;5,89;-1,24;-1,26;-174,22;18,32
70;12,2;-0,19;0,47;9,77;-0,37;19,62;0;0;0;135,1;5,4940338;52,4442215;-73,95;58,17;-13,63;3;8;0,5;2,2;5,90;2,26;5,90;-1,20;-1,25;-174,22;18,27
80;12,2;-0,18;0,41;9,82;-0,01;19,62;0;0;0;135,1;5,4940338;52,4442215;-73,95;58,17;-13,63;3;8;0,5;2,2;5,90;2,32;5,89;-1,20;-1,25;-174,22;18,22
90;12,2;-0,13;0,49;9,76;0,09;19,62;0;0;0;135,1;5,4940338;52,4442215;-73,95;58,17;-13,63;3;8;0,5;2,2;5,90;2,33;5,90;-1,18;-1,24;-174,22;18,17
100;12,2;-0,20;0,44;9,69;-0,42;19,62;0;0;0;135,1;5,4940338;52,4442215;-73,95;58,17;-13,63;3;8;0,5;2,2;5,90;2,38;5,90;-1,14;-1,23;-174,22;18,12
