FILE NAME;018_22306_230905_092921.CSV
HASHCODE;3D21218956B4C07073283EA12667D16929BB9611E78ED303AE68D32923BAE558
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:29:22;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:29:28;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;    6440;[mS]
TIME GPS SPEED WENT OVER 2KPH;     140;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 28,80;[kph]
TIME OF PEAK GPS SPEED;     140;[mS]
PEAK SPEED; 28,06;[kph]
TIME OF PEAK SPEED;      20;[mS]
TIME ACC WENT OVER 1m/s/s;        ;[mS]
PEAK ACC;  1,51;[m/s/s]
TIME OF PEAK ACC;    2580;[mS]
PEAK PITCH;   4,91;[deg]
TIME OF PEAK PITCH;    2910;[mS]
PEAK SLIP; 179,85;[deg]
TIME OF PEAK SLIP;    5740;[mS]
AVERAGE LONG ACCEL AT START;  0,26;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,23;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,84;[m/s/s]
AVERAGE PITCH RATE AT START;   0,16;[deg/s]
AVERAGE LONG ACCEL AT END; -0,37;[m/s/s]
AVERAGE LAT ACCEL AT END; -1,78;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,81;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,84;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;0,34;0,42;9,83;0,63;29,27;0;0;0;134,6;5,4946442;52,4438667;-32,53;18,63;-13,68;1;8;0,5;2,2;4,62;1,16;4,62;-0,31;-0,55;-174,67;28,08
10;12,2;0,18;0,38;9,92;-0,43;29,27;0;0;0;134,6;5,4946442;52,4438667;-32,53;18,63;-13,68;1;8;0,5;2,2;4,62;1,81;4,62;-0,45;-0,54;-174,67;28,06
20;12,2;0,27;0,45;9,64;0,08;29,27;0;0;0;134,6;5,4946442;52,4438667;-32,53;18,63;-13,68;1;8;0,5;2,2;4,62;1,95;4,62;-0,61;-0,55;-174,67;28,03
30;12,2;0,06;0,33;9,92;0,21;29,27;0;0;0;134,6;5,4946442;52,4438667;-32,53;18,63;-13,68;1;8;0,5;2,2;4,62;2,12;4,62;-0,52;-0,54;-174,67;28,00
40;12,2;0,02;0,45;9,63;-0,35;29,27;0;0;0;134,6;5,4946442;52,4438667;-32,53;18,63;-13,68;1;8;0,5;2,2;4,62;2,09;4,62;-0,74;-0,56;-174,67;27,96
50;12,2;0,42;0,45;9,73;0,98;29,27;0;0;0;134,6;5,4946442;52,4438667;-32,53;18,63;-13,68;1;8;0,5;2,2;4,62;2,18;4,62;-0,77;-0,58;-174,67;27,93
60;12,2;0,45;0,39;9,77;0,52;29,27;0;0;0;134,6;5,4946442;52,4438667;-32,53;18,63;-13,68;1;8;0,5;2,2;4,62;2,24;4,63;-0,37;-0,56;-174,67;27,90
70;12,2;0,08;0,26;9,71;-0,86;29,27;0;0;0;134,6;5,4946442;52,4438667;-32,53;18,63;-13,68;1;8;0,5;2,2;4,62;2,25;4,64;-0,34;-0,54;-174,67;27,88
80;12,2;0,29;0,22;9,81;0,22;29,27;0;0;0;134,6;5,4946442;52,4438667;-32,53;18,63;-13,68;1;8;0,5;2,2;4,62;2,17;4,63;-0,71;-0,56;-174,67;27,85
90;12,2;0,11;0,06;10,01;-0,43;29,27;0;0;0;134,6;5,4946442;52,4438667;-32,53;18,63;-13,68;1;8;0,5;2,2;4,63;2,08;4,63;-0,50;-0,55;-174,67;27,83
100;12,2;0,29;0,36;9,81;0,39;29,27;0;0;0;134,6;5,4946442;52,4438667;-32,53;18,63;-13,68;1;8;0,5;2,2;4,63;1,92;4,63;-0,68;-0,56;-174,67;27,80
