FILE NAME;019_22306_230905_093033.CSV
HASHCODE;5F698A1705C8EE3789EA2FE133039237A7EE13F963EC1B039CCDEEB16CA1D11A
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:30:33;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:31:01;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   27430;[mS]
TIME GPS SPEED WENT OVER 2KPH;    1470;[mS]
TIME GPS SPEED WENT UNDER 2KPH;      70;[mS]
PEAK GPS SPEED; 57,85;[kph]
TIME OF PEAK GPS SPEED;   21270;[mS]
PEAK SPEED; 58,02;[kph]
TIME OF PEAK SPEED;   21270;[mS]
TIME ACC WENT OVER 1m/s/s;        ;[mS]
PEAK ACC;  3,25;[m/s/s]
TIME OF PEAK ACC;    2100;[mS]
PEAK PITCH;   6,43;[deg]
TIME OF PEAK PITCH;    1680;[mS]
PEAK SLIP; 176,25;[deg]
TIME OF PEAK SLIP;    5680;[mS]
AVERAGE LONG ACCEL AT START;  1,32;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,00;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,69;[m/s/s]
AVERAGE PITCH RATE AT START;   0,30;[deg/s]
AVERAGE LONG ACCEL AT END; -0,40;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,48;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,95;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,14;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;1,03;0,03;9,75;0,39;0,04;0;0;0;321,4;5,4911594;52,4459038;-268,95;245,21;-13,86;3;8;0,5;2,2;4,72;1,35;5,92;-0,04;-0,01;0,00;0,00
10;12,2;1,05;0,11;9,68;0,40;0,04;0;0;0;321,4;5,4911594;52,4459038;-268,95;245,21;-13,86;3;8;0,5;2,2;5,93;0,20;5,93;0,02;-0,01;0,00;0,00
20;12,2;1,05;0,11;9,77;-0,19;0,04;0;0;0;321,4;5,4911594;52,4459038;-268,95;245,21;-13,86;3;8;0,5;2,2;5,93;0,42;5,93;0,04;-0,00;0,00;0,00
30;12,2;0,95;0,03;9,80;0,46;0,04;0;0;0;321,4;5,4911594;52,4459038;-268,95;245,21;-13,86;3;8;0,5;2,2;5,93;0,50;5,93;0,04;0,00;0,00;0,00
40;12,2;1,01;0,09;9,68;0,43;0,04;0;0;0;321,4;5,4911594;52,4459038;-268,95;245,21;-13,86;3;8;0,5;2,2;5,93;0,42;5,93;-0,07;-0,00;0,00;0,00
50;12,2;1,03;0,10;9,74;0,12;0,04;0;0;0;321,4;5,4911594;52,4459038;-268,95;245,21;-13,86;3;8;0,5;2,2;5,93;0,45;5,94;0,00;-0,00;0,00;0,00
60;12,2;0,97;0,03;9,80;-0,70;0,04;0;0;0;321,4;5,4911594;52,4459038;-268,95;245,21;-13,86;3;8;0,5;2,2;5,93;0,47;5,94;0,02;-0,00;0,00;0,00
70;12,2;1,01;0,09;9,67;0,08;0,04;0;0;0;84,0;5,4911594;52,4459038;-268,95;245,21;-13,87;3;8;0,5;2,2;5,93;0,43;5,93;-0,05;-0,01;0,00;0,00
80;12,2;1,08;0,12;9,68;0,92;0,04;0;0;0;84,0;5,4911594;52,4459038;-268,95;245,21;-13,87;3;8;0,5;2,2;5,93;0,44;5,93;0,00;-0,01;0,00;0,00
90;12,2;1,02;0,01;9,81;0,05;0,04;0;0;0;84,0;5,4911594;52,4459038;-268,95;245,21;-13,87;3;8;0,5;2,2;5,93;0,47;5,94;0,07;0,00;0,00;0,00
100;12,2;1,00;0,00;9,73;-0,02;0,04;0;0;0;84,0;5,4911594;52,4459038;-268,95;245,21;-13,87;3;8;0,5;2,2;5,93;0,43;5,94;0,01;0,00;0,00;0,00
