FILE NAME;020_22306_230905_093219.CSV
HASHCODE;46412538EB8779276B9E5499C2C054719C2171F1FD61C4CE187A7357A4FAE616
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:32:20;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:32:44;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   24110;[mS]
TIME GPS SPEED WENT OVER 2KPH;    4330;[mS]
TIME GPS SPEED WENT UNDER 2KPH;     130;[mS]
PEAK GPS SPEED; 67,28;[kph]
TIME OF PEAK GPS SPEED;   21140;[mS]
PEAK SPEED; 67,22;[kph]
TIME OF PEAK SPEED;   20840;[mS]
TIME ACC WENT OVER 1m/s/s;   23310;[mS]
PEAK ACC;  4,40;[m/s/s]
TIME OF PEAK ACC;    7710;[mS]
PEAK PITCH;   6,64;[deg]
TIME OF PEAK PITCH;    4590;[mS]
PEAK SLIP; 175,93;[deg]
TIME OF PEAK SLIP;   15740;[mS]
AVERAGE LONG ACCEL AT START;  1,02;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,05;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,73;[m/s/s]
AVERAGE PITCH RATE AT START;   0,03;[deg/s]
AVERAGE LONG ACCEL AT END; -0,40;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,46;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,92;[m/s/s]
AVERAGE PITCH RATE AT END;   0,21;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;1,03;0,02;9,73;0,03;0,07;0;0;0;190,9;5,4911313;52,4459190;-270,89;247,11;-13,94;3;8;0,5;2,4;6,01;0,02;6,04;-0,05;-0,01;0,00;0,04
10;12,2;1,08;0,09;9,68;-0,02;0,07;0;0;0;190,9;5,4911313;52,4459190;-270,89;247,11;-13,94;3;8;0,5;2,4;6,04;0,14;6,04;0,00;-0,01;0,00;0,04
20;12,2;1,03;0,02;9,80;-0,31;0,07;0;0;0;190,9;5,4911313;52,4459190;-270,89;247,11;-13,94;3;8;0,5;2,4;6,04;0,34;6,04;0,05;-0,01;0,00;0,05
30;12,2;0,97;0,00;9,79;-0,18;0,07;0;0;0;190,9;5,4911313;52,4459190;-270,89;247,11;-13,94;3;8;0,5;2,4;6,03;0,27;6,03;0,00;-0,01;0,00;0,05
40;12,2;1,03;0,10;9,65;0,08;0,07;0;0;0;190,9;5,4911313;52,4459190;-270,89;247,11;-13,94;3;8;0,5;2,4;6,03;0,21;6,03;-0,06;-0,01;0,00;0,05
50;12,2;1,02;0,10;9,70;-0,05;0,07;0;0;0;190,9;5,4911313;52,4459190;-270,89;247,11;-13,94;3;8;0,5;2,4;6,03;0,29;6,03;0,00;-0,01;0,00;0,05
60;12,2;0,97;0,00;9,83;-0,10;0,07;0;0;0;190,9;5,4911313;52,4459190;-270,89;247,11;-13,94;3;8;0,5;2,4;6,03;0,34;6,03;-0,01;-0,01;0,00;0,05
70;12,2;1,02;0,13;9,67;0,02;0,07;0;0;0;190,9;5,4911313;52,4459190;-270,89;247,11;-13,94;3;8;0,5;2,4;6,03;0,29;6,03;-0,06;-0,01;0,00;0,04
80;12,2;1,04;0,12;9,71;0,41;0,07;0;0;0;190,9;5,4911313;52,4459190;-270,89;247,11;-13,94;3;8;0,5;2,4;6,03;0,35;6,03;-0,01;-0,01;0,00;0,05
90;12,2;0,96;0,01;9,78;0,22;0,07;0;0;0;190,9;5,4911313;52,4459190;-270,89;247,11;-13,94;3;8;0,5;2,4;6,03;0,39;6,03;0,01;-0,01;0,00;0,05
100;12,2;1,01;0,01;9,69;0,05;0,07;0;0;0;190,9;5,4911313;52,4459190;-270,89;247,11;-13,94;3;8;0,5;2,4;6,03;0,36;6,04;-0,07;-0,02;0,00;0,04
