FILE NAME;021_22306_230905_093436.CSV
HASHCODE;6F24A437D2EDB53ACFF47F81788318660F8CE8DC25AFBC8C5E4C77038E8051DA
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:34:36;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:34:56;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   19440;[mS]
TIME GPS SPEED WENT OVER 2KPH;    1640;[mS]
TIME GPS SPEED WENT UNDER 2KPH;      40;[mS]
PEAK GPS SPEED; 75,56;[kph]
TIME OF PEAK GPS SPEED;   17440;[mS]
PEAK SPEED; 75,62;[kph]
TIME OF PEAK SPEED;   17380;[mS]
TIME ACC WENT OVER 1m/s/s;   19010;[mS]
PEAK ACC;  4,60;[m/s/s]
TIME OF PEAK ACC;    8170;[mS]
PEAK PITCH;   6,84;[deg]
TIME OF PEAK PITCH;    1700;[mS]
PEAK SLIP; 176,03;[deg]
TIME OF PEAK SLIP;   12640;[mS]
AVERAGE LONG ACCEL AT START;  1,13;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,04;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,71;[m/s/s]
AVERAGE PITCH RATE AT START;   0,13;[deg/s]
AVERAGE LONG ACCEL AT END; -0,60;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,57;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,95;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,32;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;0,96;0,13;9,68;0,12;0,07;0;0;0;128,0;5,4911613;52,4459076;-268,86;245,59;-13,68;3;8;0,5;2,4;6,04;0,32;6,16;0,02;-0,03;0,00;0,07
10;12,2;0,99;0,09;9,81;0,15;0,07;0;0;0;128,0;5,4911613;52,4459076;-268,86;245,59;-13,68;3;8;0,5;2,4;6,17;0,76;6,17;-0,10;-0,04;0,00;0,07
20;12,2;0,96;0,03;9,75;0,17;0,07;0;0;0;128,0;5,4911613;52,4459076;-268,86;245,59;-13,68;3;8;0,5;2,4;6,17;0,65;6,17;-0,07;-0,04;0,00;0,07
30;12,2;1,03;0,13;9,70;0,25;0,07;0;0;0;128,0;5,4911613;52,4459076;-268,86;245,59;-13,68;3;8;0,5;2,4;6,17;0,50;6,17;-0,10;-0,05;0,00;0,06
40;12,2;0,99;0,08;9,79;-0,04;0,04;0;0;0;128,0;5,4911613;52,4459076;-268,86;245,59;-13,67;3;8;0,5;2,4;6,17;0,56;6,17;-0,02;-0,05;0,00;0,06
50;12,2;0,96;0,02;9,72;-0,43;0,04;0;0;0;128,0;5,4911613;52,4459076;-268,86;245,59;-13,67;3;8;0,5;2,4;6,17;0,55;6,17;-0,07;-0,05;0,00;0,06
60;12,2;1,06;0,10;9,68;0,13;0,04;0;0;0;128,0;5,4911613;52,4459076;-268,86;245,59;-13,67;3;8;0,5;2,4;6,17;0,48;6,17;-0,10;-0,05;0,00;0,06
70;12,2;1,04;0,09;9,81;-0,00;0,04;0;0;0;128,0;5,4911613;52,4459076;-268,86;245,59;-13,67;3;8;0,5;2,4;6,17;0,50;6,17;0,01;-0,05;0,00;0,06
80;12,2;0,96;0,01;9,80;-0,11;0,04;0;0;0;128,0;5,4911613;52,4459076;-268,86;245,59;-13,67;3;8;0,5;2,4;6,17;0,50;6,17;-0,01;-0,04;0,00;0,06
90;12,2;0,99;0,11;9,68;-0,12;0,04;0;0;0;128,0;5,4911613;52,4459076;-268,86;245,59;-13,67;3;8;0,5;2,4;6,17;0,45;6,17;-0,10;-0,05;0,00;0,06
100;12,2;1,07;0,13;9,68;0,11;0,04;0;0;0;128,0;5,4911613;52,4459076;-268,86;245,59;-13,67;3;8;0,5;2,4;6,17;0,47;6,16;-0,06;-0,05;0,00;0,06
