FILE NAME;022_22306_230905_093734.CSV
HASHCODE;AF1521E40C3579179D4A6E7EED538C4626B43F4BBCF9469119858156EA91D056
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:37:35;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:38:01;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   26220;[mS]
TIME GPS SPEED WENT OVER 2KPH;      70;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 38,70;[kph]
TIME OF PEAK GPS SPEED;   23480;[mS]
PEAK SPEED; 38,78;[kph]
TIME OF PEAK SPEED;   23560;[mS]
TIME ACC WENT OVER 1m/s/s;   25470;[mS]
PEAK ACC;  2,99;[m/s/s]
TIME OF PEAK ACC;    5020;[mS]
PEAK PITCH;   6,33;[deg]
TIME OF PEAK PITCH;    5100;[mS]
PEAK SLIP; 176,10;[deg]
TIME OF PEAK SLIP;    7070;[mS]
AVERAGE LONG ACCEL AT START;  1,46;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,02;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,67;[m/s/s]
AVERAGE PITCH RATE AT START;   0,02;[deg/s]
AVERAGE LONG ACCEL AT END; -0,60;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,63;[m/s/s]
AVERAGE VERT ACCEL AT END; 10,01;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,16;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;0,93;0,08;9,85;-0,47;4,50;0;0;0;134,7;5,4912958;52,4458275;-259,74;236,84;-13,62;1;8;0,5;2,0;6,18;0,25;5,91;0,27;0,11;0,00;4,68
10;12,2;1,08;0,09;9,77;-1,31;4,50;0;0;0;134,7;5,4912958;52,4458275;-259,74;236,84;-13,62;1;8;0,5;2,0;5,91;0,48;5,91;-0,08;0,09;0,00;4,68
20;12,2;1,02;0,07;9,71;-0,74;4,50;0;0;0;134,7;5,4912958;52,4458275;-259,74;236,84;-13,62;1;8;0,5;2,0;5,90;0,51;5,90;0,07;0,09;0,00;4,68
30;12,2;1,30;0,03;9,69;0,28;4,50;0;0;0;134,7;5,4912958;52,4458275;-259,74;236,84;-13,62;1;8;0,5;2,0;5,90;0,48;5,89;0,02;0,08;0,00;4,68
40;12,2;1,22;0,08;9,74;-0,20;4,50;0;0;0;134,7;5,4912958;52,4458275;-259,74;236,84;-13,62;1;8;0,5;2,0;5,90;0,41;5,89;0,30;0,10;0,00;4,69
50;12,2;1,10;0,04;9,81;-0,44;4,50;0;0;0;134,7;5,4912958;52,4458275;-259,74;236,84;-13,62;1;8;0,5;2,0;5,90;0,42;5,89;0,21;0,11;0,00;4,70
60;12,2;1,26;0,05;9,59;-0,02;4,50;0;0;0;134,7;5,4912987;52,4458237;-259,53;236,46;-13,62;1;8;0,5;2,0;5,89;0,39;5,89;0,10;0,11;0,00;4,70
70;12,2;1,21;0,08;9,84;-0,20;4,54;0;0;0;134,0;5,4912987;52,4458237;-259,53;236,46;-13,62;1;8;0,5;2,0;5,89;0,38;5,89;0,26;0,13;0,00;4,71
80;12,2;1,22;0,05;9,76;-0,43;4,54;0;0;0;134,0;5,4912987;52,4458237;-259,53;236,46;-13,62;1;8;0,5;2,0;5,89;0,39;5,89;0,20;0,13;0,00;4,72
90;12,2;1,36;0,03;9,60;-0,02;4,54;0;0;0;134,0;5,4912987;52,4458237;-259,53;236,46;-13,62;1;8;0,5;2,0;5,89;0,39;5,88;0,21;0,14;0,00;4,73
100;12,2;1,11;0,09;9,70;-0,50;4,54;0;0;0;134,0;5,4912987;52,4458237;-259,53;236,46;-13,62;1;8;0,5;2,0;5,89;0,37;5,88;0,36;0,16;0,00;4,74
