FILE NAME;023_22306_230905_093956.CSV
HASHCODE;61EC9EFE1284C6354AB2B85EF66597FE730F400845B22875438409D577FE9881
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:39:56;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:40:25;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   29140;[mS]
TIME GPS SPEED WENT OVER 2KPH;    3980;[mS]
TIME GPS SPEED WENT UNDER 2KPH;     180;[mS]
PEAK GPS SPEED; 48,13;[kph]
TIME OF PEAK GPS SPEED;   24180;[mS]
PEAK SPEED; 48,15;[kph]
TIME OF PEAK SPEED;   23360;[mS]
TIME ACC WENT OVER 1m/s/s;   26160;[mS]
PEAK ACC;  3,39;[m/s/s]
TIME OF PEAK ACC;    4230;[mS]
PEAK PITCH;   7,09;[deg]
TIME OF PEAK PITCH;    4180;[mS]
PEAK SLIP; 175,91;[deg]
TIME OF PEAK SLIP;   12780;[mS]
AVERAGE LONG ACCEL AT START;  1,01;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,07;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,73;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,02;[deg/s]
AVERAGE LONG ACCEL AT END; -0,91;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,59;[m/s/s]
AVERAGE VERT ACCEL AT END; 10,02;[m/s/s]
AVERAGE PITCH RATE AT END;   0,15;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;1,03;0,02;9,79;0,02;0,04;0;0;0;187,4;5,4911370;52,4459381;-270,48;249,39;-12,05;3;9;0,4;1,8;6,71;0,14;6,71;-0,15;-0,14;0,00;0,00
10;12,2;1,00;0,11;9,66;-0,00;0,04;0;0;0;187,4;5,4911370;52,4459381;-270,48;249,39;-12,05;3;9;0,4;1,8;6,71;0,14;6,71;-0,11;-0,13;0,00;0,00
20;12,2;1,02;0,12;9,69;0,07;0,04;0;0;0;187,4;5,4911370;52,4459381;-270,48;249,39;-12,05;3;9;0,4;1,8;6,71;0,31;6,71;-0,14;-0,13;0,00;0,00
30;12,2;1,02;0,00;9,82;-0,04;0,04;0;0;0;187,4;5,4911370;52,4459381;-270,48;249,39;-12,05;3;9;0,4;1,8;6,71;0,41;6,71;-0,12;-0,13;0,00;0,00
40;12,2;0,99;0,02;9,73;0,02;0,04;0;0;0;187,4;5,4911370;52,4459381;-270,48;249,39;-12,05;3;9;0,4;1,8;6,71;0,33;6,71;-0,12;-0,13;0,00;0,00
50;12,2;1,00;0,14;9,69;0,10;0,04;0;0;0;187,4;5,4911370;52,4459381;-270,48;249,39;-12,05;3;9;0,4;1,8;6,71;0,30;6,71;-0,15;-0,13;0,00;0,00
60;12,2;1,03;0,09;9,77;0,08;0,04;0;0;0;187,4;5,4911370;52,4459381;-270,48;249,39;-12,05;3;9;0,4;1,8;6,71;0,37;6,71;-0,14;-0,13;0,00;0,00
70;12,2;0,97;0,00;9,71;-0,00;0,04;0;0;0;187,4;5,4911370;52,4459381;-270,48;249,39;-12,05;3;9;0,4;1,8;6,71;0,39;6,71;-0,11;-0,13;0,00;0,00
80;12,2;1,02;0,10;9,65;0,47;0,04;0;0;0;187,4;5,4911370;52,4459381;-270,48;249,39;-12,05;3;9;0,4;1,8;6,71;0,35;6,71;-0,18;-0,14;0,00;0,00
90;12,2;1,05;0,09;9,79;0,20;0,04;0;0;0;187,4;5,4911370;52,4459381;-270,48;249,39;-12,05;3;9;0,4;1,8;6,71;0,38;6,71;-0,12;-0,13;0,00;0,00
100;12,2;0,99;0,03;9,73;-0,13;0,04;0;0;0;187,4;5,4911370;52,4459381;-270,48;249,39;-12,05;3;9;0,4;1,8;6,71;0,39;6,72;-0,09;-0,13;0,00;0,00
