FILE NAME;024_22306_230905_094220.CSV
HASHCODE;FDCEC3A531293D90815397A2CF06E9490BE870211A6A3AFF7B83E386B3073F37
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:42:20;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:42:39;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   18790;[mS]
TIME GPS SPEED WENT OVER 2KPH;      50;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 57,56;[kph]
TIME OF PEAK GPS SPEED;   16440;[mS]
PEAK SPEED; 57,58;[kph]
TIME OF PEAK SPEED;   16500;[mS]
TIME ACC WENT OVER 1m/s/s;        ;[mS]
PEAK ACC;  3,68;[m/s/s]
TIME OF PEAK ACC;    2650;[mS]
PEAK PITCH;   6,42;[deg]
TIME OF PEAK PITCH;      60;[mS]
PEAK SLIP; 176,01;[deg]
TIME OF PEAK SLIP;   15450;[mS]
AVERAGE LONG ACCEL AT START;  2,74;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,30;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,44;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,04;[deg/s]
AVERAGE LONG ACCEL AT END; -0,20;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,42;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,96;[m/s/s]
AVERAGE PITCH RATE AT END;   0,07;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;2,86;-0,33;9,59;0,14;7,49;0;0;0;134,3;5,4911585;52,4459229;-269,04;247,49;-12,16;3;10;0,4;1,8;6,71;0,39;6,42;1,77;1,92;0,00;10,43
10;12,1;3,02;-0,31;9,39;0,08;7,49;0;0;0;134,3;5,4911585;52,4459229;-269,04;247,49;-12,16;3;10;0,4;1,8;6,42;1,96;6,42;1,76;1,90;0,00;10,50
20;12,1;2,86;-0,33;9,71;-0,16;7,49;0;0;0;134,3;5,4911585;52,4459229;-269,04;247,49;-12,16;3;10;0,4;1,8;6,42;1,87;6,42;1,92;1,90;0,00;10,57
30;12,1;3,09;-0,31;9,35;0,29;7,49;0;0;0;134,3;5,4911585;52,4459229;-269,04;247,49;-12,16;3;10;0,4;1,8;6,42;1,90;6,42;1,77;1,89;0,00;10,64
40;12,1;2,93;-0,45;9,64;0,38;8,93;0;0;0;134,2;5,4911633;52,4459190;-268,72;247,11;-12,16;3;10;0,4;1,8;6,42;1,87;6,42;1,99;1,90;0,00;10,72
50;12,2;2,93;-0,36;9,46;-0,30;8,93;0;0;0;134,2;5,4911633;52,4459190;-268,72;247,11;-12,16;3;10;0,4;1,8;6,42;2,02;6,42;1,84;1,89;0,00;10,79
60;12,1;2,91;-0,65;9,65;0,00;8,93;0;0;0;134,2;5,4911633;52,4459190;-268,72;247,11;-12,16;3;10;0,4;1,8;6,42;2,04;6,42;1,84;1,89;0,00;10,85
70;12,2;3,00;-0,32;9,36;-0,35;8,93;0;0;0;134,2;5,4911633;52,4459190;-268,72;247,11;-12,16;3;10;0,4;1,8;6,42;2,30;6,42;1,82;1,88;0,00;10,92
80;12,1;2,88;-0,54;9,39;-0,01;8,93;0;0;0;134,2;5,4911633;52,4459190;-268,72;247,11;-12,16;3;10;0,4;1,8;6,42;2,24;6,41;1,91;1,88;0,00;11,00
90;12,2;2,77;-0,24;9,41;0,18;8,93;0;0;0;134,2;5,4911633;52,4459190;-268,72;247,11;-12,16;3;10;0,4;1,8;6,42;2,34;6,41;1,79;1,87;0,00;11,07
100;12,2;2,88;-0,52;9,30;0,11;8,93;0;0;0;134,2;5,4911633;52,4459190;-268,72;247,11;-12,16;3;10;0,4;1,8;6,42;2,24;6,41;1,68;1,85;0,00;11,14
