FILE NAME;025_22306_230905_094431.CSV
HASHCODE;45A0D5D4BDD4B876BDD22981A6E12227BA6D8E8B1F57BE388BC22A709DFC2F42
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:44:32;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:44:55;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   22870;[mS]
TIME GPS SPEED WENT OVER 2KPH;    4390;[mS]
TIME GPS SPEED WENT UNDER 2KPH;     200;[mS]
PEAK GPS SPEED; 66,49;[kph]
TIME OF PEAK GPS SPEED;   19190;[mS]
PEAK SPEED; 66,58;[kph]
TIME OF PEAK SPEED;   19080;[mS]
TIME ACC WENT OVER 1m/s/s;        ;[mS]
PEAK ACC;  4,29;[m/s/s]
TIME OF PEAK ACC;    6740;[mS]
PEAK PITCH;   6,78;[deg]
TIME OF PEAK PITCH;    7220;[mS]
PEAK SLIP; 176,07;[deg]
TIME OF PEAK SLIP;   16420;[mS]
AVERAGE LONG ACCEL AT START;  1,03;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,10;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,73;[m/s/s]
AVERAGE PITCH RATE AT START;   0,03;[deg/s]
AVERAGE LONG ACCEL AT END;  0,06;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,35;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,88;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,11;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;1,06;0,08;9,69;-0,28;0,07;0;0;0;301,0;5,4912157;52,4458961;-265,15;244,45;-11,27;3;10;0,4;1,8;6,36;1,75;6,07;0,04;-0,01;0,00;0,07
10;12,1;1,08;0,11;9,75;0,19;0,07;0;0;0;301,0;5,4912157;52,4458961;-265,15;244,45;-11,27;3;10;0,4;1,8;6,07;0,48;6,07;0,03;-0,01;0,00;0,07
20;12,1;1,00;0,07;9,82;-0,05;0,07;0;0;0;301,0;5,4912157;52,4458961;-265,15;244,45;-11,27;3;10;0,4;1,8;6,07;0,56;6,07;0,04;-0,00;0,00;0,07
30;12,1;0,98;0,09;9,72;-0,07;0,07;0;0;0;301,0;5,4912157;52,4458961;-265,15;244,45;-11,27;3;10;0,4;1,8;6,07;0,52;6,07;-0,03;-0,00;0,00;0,07
40;12,1;1,09;0,17;9,68;0,15;0,07;0;0;0;301,0;5,4912157;52,4458961;-265,15;244,45;-11,27;3;10;0,4;1,8;6,07;0,52;6,07;-0,06;-0,01;0,00;0,07
50;12,1;1,09;0,08;9,80;-0,06;0,07;0;0;0;301,0;5,4912157;52,4458961;-265,15;244,45;-11,27;3;10;0,4;1,8;6,07;0,62;6,07;0,05;-0,00;0,00;0,07
60;12,1;0,98;0,07;9,68;-0,16;0,07;0;0;0;301,0;5,4912157;52,4458961;-265,15;244,45;-11,27;3;10;0,4;1,8;6,07;0,59;6,07;0,05;0,00;0,00;0,07
70;12,1;1,09;0,15;9,66;0,18;0,07;0;0;0;301,0;5,4912157;52,4458961;-265,15;244,45;-11,27;3;10;0,4;1,8;6,07;0,57;6,07;-0,06;-0,00;0,00;0,07
80;12,1;1,06;0,10;9,81;0,41;0,07;0;0;0;301,0;5,4912157;52,4458961;-265,15;244,45;-11,27;3;10;0,4;1,8;6,07;0,61;6,07;0,05;0,00;0,00;0,07
90;12,2;0,97;0,07;9,77;-0,38;0,07;0;0;0;301,0;5,4912157;52,4458961;-265,15;244,45;-11,27;3;10;0,4;1,8;6,07;0,61;6,08;0,02;0,00;0,00;0,08
100;12,1;1,00;0,16;9,67;-0,34;0,07;0;0;0;301,0;5,4912157;52,4458961;-265,15;244,45;-11,27;3;10;0,4;1,8;6,07;0,59;6,07;-0,07;-0,00;0,00;0,07
