FILE NAME;026_22306_230905_094722.CSV
HASHCODE;B4782C863F2205B3408BDA9683E28303C51786EC863B6A911879E60B6F2041B0
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:47:22;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:48:04;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   42020;[mS]
TIME GPS SPEED WENT OVER 2KPH;   26730;[mS]
TIME GPS SPEED WENT UNDER 2KPH;     130;[mS]
PEAK GPS SPEED; 75,67;[kph]
TIME OF PEAK GPS SPEED;   40550;[mS]
PEAK SPEED; 75,77;[kph]
TIME OF PEAK SPEED;   40500;[mS]
TIME ACC WENT OVER 1m/s/s;        ;[mS]
PEAK ACC;  5,17;[m/s/s]
TIME OF PEAK ACC;   29330;[mS]
PEAK PITCH;   6,93;[deg]
TIME OF PEAK PITCH;   29470;[mS]
PEAK SLIP; 175,89;[deg]
TIME OF PEAK SLIP;   36330;[mS]
AVERAGE LONG ACCEL AT START;  1,03;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,10;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,73;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,02;[deg/s]
AVERAGE LONG ACCEL AT END;  0,25;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,35;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,91;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,02;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;1,06;0,08;9,68;0,09;0,11;0;0;0;205,9;5,4911971;52,4459000;-266,40;244,83;-10,69;3;10;0,4;1,9;6,08;0,60;6,20;-0,04;-0,03;0,00;0,09
10;12,1;1,08;0,12;9,75;-0,18;0,11;0;0;0;205,9;5,4911971;52,4459000;-266,40;244,83;-10,69;3;10;0,4;1,9;6,20;0,48;6,20;0,00;-0,03;0,00;0,09
20;12,1;0,97;0,08;9,81;-0,23;0,11;0;0;0;205,9;5,4911971;52,4459000;-266,40;244,83;-10,69;3;10;0,4;1,9;6,20;0,59;6,20;0,02;-0,02;0,00;0,09
30;12,1;0,98;0,08;9,69;0,01;0,11;0;0;0;205,9;5,4911971;52,4459000;-266,40;244,83;-10,69;3;10;0,4;1,9;6,20;0,56;6,20;-0,09;-0,03;0,00;0,09
40;12,1;1,06;0,11;9,73;0,04;0,11;0;0;0;205,9;5,4911971;52,4459000;-266,40;244,83;-10,69;3;10;0,4;1,9;6,20;0,54;6,20;-0,08;-0,03;0,00;0,09
50;12,1;0,99;0,04;9,80;-0,12;0,11;0;0;0;205,9;5,4911971;52,4459000;-266,40;244,83;-10,69;3;10;0,4;1,9;6,20;0,56;6,20;0,00;-0,03;0,00;0,09
60;12,1;0,99;0,08;9,70;-0,09;0,11;0;0;0;205,9;5,4911971;52,4459000;-266,40;244,83;-10,69;3;10;0,4;1,9;6,20;0,51;6,19;-0,06;-0,03;0,00;0,09
70;12,1;1,06;0,16;9,68;-0,12;0,11;0;0;0;205,9;5,4911971;52,4459000;-266,40;244,83;-10,69;3;10;0,4;1,9;6,20;0,50;6,19;-0,06;-0,04;0,00;0,09
80;12,1;1,03;0,08;9,80;-0,22;0,11;0;0;0;205,9;5,4911971;52,4459000;-266,40;244,83;-10,69;3;10;0,4;1,9;6,20;0,56;6,19;0,01;-0,03;0,00;0,09
90;12,1;0,99;0,01;9,76;-0,15;0,11;0;0;0;205,9;5,4911971;52,4459000;-266,40;244,83;-10,69;3;10;0,4;1,9;6,19;0,55;6,19;-0,02;-0,03;0,00;0,09
100;12,1;1,04;0,15;9,66;0,09;0,11;0;0;0;205,9;5,4911971;52,4459000;-266,40;244,83;-10,69;3;10;0,4;1,9;6,19;0,50;6,19;-0,06;-0,03;0,00;0,09
