FILE NAME;027_22306_230905_095117.CSV
HASHCODE;0395D435EAE8034531FEAE056E8AC559A5BCFB8F13B4CCDE1B19E90558DA39D3
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:51:17;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:51:37;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   20240;[mS]
TIME GPS SPEED WENT OVER 2KPH;     430;[mS]
TIME GPS SPEED WENT UNDER 2KPH;     210;[mS]
PEAK GPS SPEED; 38,27;[kph]
TIME OF PEAK GPS SPEED;   16610;[mS]
PEAK SPEED; 38,52;[kph]
TIME OF PEAK SPEED;   16910;[mS]
TIME ACC WENT OVER 1m/s/s;   20140;[mS]
PEAK ACC;  3,80;[m/s/s]
TIME OF PEAK ACC;    2580;[mS]
PEAK PITCH;   7,12;[deg]
TIME OF PEAK PITCH;     780;[mS]
PEAK SLIP; 176,48;[deg]
TIME OF PEAK SLIP;   15440;[mS]
AVERAGE LONG ACCEL AT START;  2,36;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,17;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,52;[m/s/s]
AVERAGE PITCH RATE AT START;   0,14;[deg/s]
AVERAGE LONG ACCEL AT END; -0,56;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,69;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,96;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,26;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;1,94;-0,02;9,55;-0,08;0,40;0;0;0;136,4;5,4918089;52,4455528;-224,92;206,05;-10,81;1;10;0,4;1,7;6,19;0,55;6,36;0,86;0,92;0,00;1,62
10;12,1;1,99;-0,13;9,62;-0,28;0,40;0;0;0;136,4;5,4918089;52,4455528;-224,92;206,05;-10,81;1;10;0,4;1,7;6,36;0,14;6,36;0,86;0,92;0,00;1,65
20;12,1;2,13;-0,19;9,48;0,31;0,40;0;0;0;136,4;5,4918089;52,4455528;-224,92;206,05;-10,81;1;10;0,4;1,7;6,35;0,45;6,35;0,91;0,92;0,00;1,68
30;12,1;2,12;-0,05;9,63;-0,00;0,40;0;0;0;136,4;5,4918089;52,4455528;-224,92;206,05;-10,81;1;10;0,4;1,7;6,35;0,67;6,35;1,04;0,93;0,00;1,72
40;12,1;1,98;-0,12;9,67;0,04;0,40;0;0;0;136,4;5,4918089;52,4455528;-224,92;206,05;-10,81;1;10;0,4;1,7;6,35;0,58;6,35;1,03;0,94;0,00;1,76
50;12,1;2,06;-0,13;9,46;0,38;0,40;0;0;0;136,4;5,4918089;52,4455528;-224,92;206,05;-10,81;1;10;0,4;1,7;6,35;0,61;6,35;0,90;0,94;0,00;1,79
60;12,1;2,13;-0,07;9,67;0,07;0,40;0;0;0;136,4;5,4918089;52,4455528;-224,92;206,05;-10,81;1;10;0,4;1,7;6,35;0,63;6,36;0,98;0,94;0,00;1,83
70;12,1;2,04;-0,13;9,63;-0,14;0,40;0;0;0;136,4;5,4918089;52,4455528;-224,92;206,05;-10,81;1;10;0,4;1,7;6,35;0,60;6,36;1,04;0,95;0,00;1,87
80;12,1;2,14;-0,13;9,42;0,14;0,40;0;0;0;136,4;5,4918089;52,4455528;-224,92;206,05;-10,81;1;10;0,4;1,7;6,35;0,62;6,35;0,96;0,95;0,00;1,90
90;12,1;2,09;-0,05;9,55;0,34;0,40;0;0;0;136,4;5,4918089;52,4455528;-224,92;206,05;-10,81;1;10;0,4;1,7;6,39;0,64;6,65;1,05;0,96;0,00;1,94
100;12,1;2,02;-0,17;9,62;-0,29;0,40;0;0;0;136,4;5,4918089;52,4455528;-224,92;206,05;-10,81;1;10;0,4;1,7;6,41;0,61;6,65;0,95;0,96;0,00;1,98
