FILE NAME;028_22306_230905_095227.CSV
HASHCODE;EFA3A009F6A9557A5A1C29B183EEC46BE0F8A671CB06B2904B47BFB69BD0AB90
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:52:27;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:52:45;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   17760;[mS]
TIME GPS SPEED WENT OVER 2KPH;     150;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 49,10;[kph]
TIME OF PEAK GPS SPEED;    8350;[mS]
PEAK SPEED; 49,62;[kph]
TIME OF PEAK SPEED;    8140;[mS]
TIME ACC WENT OVER 1m/s/s;        ;[mS]
PEAK ACC;  3,84;[m/s/s]
TIME OF PEAK ACC;    7500;[mS]
PEAK PITCH;   6,56;[deg]
TIME OF PEAK PITCH;    5030;[mS]
PEAK SLIP; 176,50;[deg]
TIME OF PEAK SLIP;    3550;[mS]
AVERAGE LONG ACCEL AT START;  1,41;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,04;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,68;[m/s/s]
AVERAGE PITCH RATE AT START;   0,18;[deg/s]
AVERAGE LONG ACCEL AT END;  0,45;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,26;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,34;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;1,09;0,11;9,75;-0,40;2,92;0;0;0;132,7;5,4917512;52,4455910;-228,83;210,61;-10,44;1;10;0,4;1,8;6,98;0,98;6,45;0,21;0,02;0,00;2,48
10;12,1;1,17;0,00;9,68;0,10;2,92;0;0;0;132,7;5,4917512;52,4455910;-228,83;210,61;-10,44;1;10;0,4;1,8;6,44;0,65;6,44;-0,01;0,02;0,00;2,48
20;12,1;1,38;0,06;9,62;0,50;2,92;0;0;0;132,7;5,4917512;52,4455910;-228,83;210,61;-10,44;1;10;0,4;1,8;6,44;0,34;6,43;0,07;0,02;0,00;2,48
30;12,1;1,25;0,09;9,78;-0,36;2,92;0;0;0;132,7;5,4917512;52,4455910;-228,83;210,61;-10,44;1;10;0,4;1,8;6,44;0,35;6,44;0,28;0,05;0,00;2,48
40;12,1;1,23;0,00;9,73;0,02;2,92;0;0;0;132,7;5,4917512;52,4455910;-228,83;210,61;-10,44;1;10;0,4;1,8;6,43;0,39;6,43;0,16;0,06;0,00;2,49
50;12,1;1,37;0,06;9,61;0,71;2,92;0;0;0;132,7;5,4917512;52,4455910;-228,83;210,61;-10,44;1;10;0,4;1,8;6,43;0,32;6,42;0,14;0,07;0,00;2,49
60;12,1;1,26;0,07;9,75;0,14;2,92;0;0;0;132,7;5,4917512;52,4455910;-228,83;210,61;-10,44;1;10;0,4;1,8;6,43;0,33;6,43;0,27;0,09;0,00;2,49
70;12,1;1,25;0,01;9,70;-0,59;2,92;0;0;0;132,7;5,4917512;52,4455910;-228,83;210,61;-10,44;1;10;0,4;1,8;6,43;0,34;6,42;0,17;0,10;0,00;2,50
80;12,1;1,39;0,11;9,66;0,65;2,92;0;0;0;132,7;5,4917512;52,4455910;-228,83;210,61;-10,44;1;10;0,4;1,8;6,43;0,31;6,41;0,16;0,10;0,00;2,50
90;12,1;1,15;0,10;9,76;0,13;2,92;0;0;0;132,7;5,4917512;52,4455910;-228,83;210,61;-10,44;1;10;0,4;1,8;6,43;0,35;6,42;0,29;0,12;0,00;2,51
100;12,1;1,15;0,03;9,64;-0,49;2,92;0;0;0;132,7;5,4917512;52,4455910;-228,83;210,61;-10,44;1;10;0,4;1,8;6,43;0,37;6,41;0,05;0,12;0,00;2,51
