FILE NAME;029_22306_230905_095335.CSV
HASHCODE;780F19E0682C6CAC61661C09256ED3B4B855B7F3F3B759D5C1DDF68EAD507AC7
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:53:36;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:53:53;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   16620;[mS]
TIME GPS SPEED WENT OVER 2KPH;    3090;[mS]
TIME GPS SPEED WENT UNDER 2KPH;      90;[mS]
PEAK GPS SPEED; 56,88;[kph]
TIME OF PEAK GPS SPEED;   15090;[mS]
PEAK SPEED; 57,66;[kph]
TIME OF PEAK SPEED;    9230;[mS]
TIME ACC WENT OVER 1m/s/s;   16110;[mS]
PEAK ACC;  5,35;[m/s/s]
TIME OF PEAK ACC;    8080;[mS]
PEAK PITCH;   6,46;[deg]
TIME OF PEAK PITCH;    7530;[mS]
PEAK SLIP; 176,00;[deg]
TIME OF PEAK SLIP;    7700;[mS]
AVERAGE LONG ACCEL AT START;  0,89;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,16;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,75;[m/s/s]
AVERAGE PITCH RATE AT START;   0,03;[deg/s]
AVERAGE LONG ACCEL AT END; -0,67;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,62;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,96;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,37;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;0,60;0,27;9,73;0,40;1,94;0;0;0;134,5;5,4918408;52,4455414;-222,75;204,91;-10,05;1;10;0,5;1,7;6,20;0,27;6,03;-0,52;-0,54;0,00;2,62
10;12,1;0,57;0,31;9,77;-0,08;1,94;0;0;0;134,5;5,4918408;52,4455414;-222,75;204,91;-10,05;1;10;0,5;1,7;6,04;1,56;6,04;-0,43;-0,53;0,00;2,60
20;12,1;0,63;0,19;9,83;-0,20;1,94;0;0;0;134,5;5,4918408;52,4455414;-222,75;204,91;-10,05;1;10;0,5;1,7;6,05;1,70;6,05;-0,46;-0,52;0,00;2,58
30;12,1;0,71;0,19;9,75;0,28;1,94;0;0;0;134,5;5,4918408;52,4455414;-222,75;204,91;-10,05;1;10;0,5;1,7;6,05;1,50;6,05;-0,40;-0,51;0,00;2,56
40;12,1;0,65;0,29;9,78;-0,01;1,94;0;0;0;134,5;5,4918408;52,4455414;-222,75;204,91;-10,05;1;10;0,5;1,7;6,05;1,40;6,06;-0,33;-0,49;0,00;2,54
50;12,1;0,69;0,22;9,85;-0,05;1,94;0;0;0;134,5;5,4918408;52,4455414;-222,75;204,91;-10,05;1;10;0,5;1,7;6,06;1,45;6,07;-0,39;-0,48;0,00;2,52
60;12,1;0,72;0,17;9,72;0,33;1,94;0;0;0;134,5;5,4918408;52,4455414;-222,75;204,91;-10,05;1;10;0,5;1,7;6,06;1,42;6,07;-0,35;-0,47;0,00;2,50
70;12,1;0,67;0,27;9,70;0,10;1,94;0;0;0;134,5;5,4918408;52,4455414;-222,75;204,91;-10,05;1;10;0,5;1,7;6,06;1,36;6,08;-0,32;-0,45;0,00;2,48
80;12,1;0,66;0,18;9,85;-0,31;1,94;0;0;0;134,5;5,4918408;52,4455414;-222,75;204,91;-10,05;1;10;0,5;1,7;6,06;1,39;6,09;-0,37;-0,44;0,00;2,46
90;12,1;0,75;0,16;9,75;0,31;1,51;0;0;0;134,2;5,4918418;52,4455414;-222,69;204,91;-10,06;1;10;0,5;1,7;6,07;1,35;6,09;-0,38;-0,44;0,00;2,44
100;12,1;0,73;0,25;9,75;0,09;1,51;0;0;0;134,2;5,4918418;52,4455414;-222,69;204,91;-10,06;1;10;0,5;1,7;6,07;1,31;6,10;-0,30;-0,42;0,00;2,43
