FILE NAME;030_22306_230905_095455.CSV
HASHCODE;A810A874995A4E43B9658F1D494B01526C889848D91AA73FD21C441C8505B42E
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:54:55;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:55:55;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   59270;[mS]
TIME GPS SPEED WENT OVER 2KPH;      60;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   46880;[mS]
PEAK GPS SPEED; 78,80;[kph]
TIME OF PEAK GPS SPEED;   23650;[mS]
PEAK SPEED; 81,44;[kph]
TIME OF PEAK SPEED;   23250;[mS]
TIME ACC WENT OVER 1m/s/s;    7420;[mS]
PEAK ACC;  4,61;[m/s/s]
TIME OF PEAK ACC;   16270;[mS]
PEAK PITCH;  11,26;[deg]
TIME OF PEAK PITCH;   48920;[mS]
PEAK SLIP; 179,97;[deg]
TIME OF PEAK SLIP;   10060;[mS]
AVERAGE LONG ACCEL AT START; -0,08;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,45;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,92;[m/s/s]
AVERAGE PITCH RATE AT START;   0,09;[deg/s]
AVERAGE LONG ACCEL AT END;  0,89;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,17;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,73;[m/s/s]
AVERAGE PITCH RATE AT END;   0,09;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;-0,15;0,57;9,96;0,43;63,76;0;0;0;134,1;5,4936194;52,4445000;-102,05;88,96;-10,62;1;10;0,4;1,7;6,26;0,93;5,53;-0,56;-0,89;-175,19;62,57
10;12,1;-0,45;0,52;9,91;-1,04;63,76;0;0;0;134,1;5,4936194;52,4445000;-102,05;88,96;-10,62;1;10;0,4;1,7;5,54;3,31;5,54;-1,09;-0,91;-175,19;62,53
20;12,1;-0,02;0,30;9,87;0,73;63,76;0;0;0;134,1;5,4936194;52,4445000;-102,05;88,96;-10,62;1;10;0,4;1,7;5,54;3,17;5,53;-1,40;-0,96;-175,19;62,47
30;12,1;0,12;0,37;10,17;0,26;63,76;0;0;0;134,1;5,4936194;52,4445000;-102,05;88,96;-10,62;1;10;0,4;1,7;5,54;2,69;5,54;-0,97;-0,96;-175,19;62,43
40;12,1;-0,10;0,47;9,74;-0,74;63,76;0;0;0;134,1;5,4936194;52,4445000;-102,05;88,96;-10,62;1;10;0,4;1,7;5,54;2,56;5,54;-0,83;-0,94;-175,19;62,39
50;12,1;-0,05;0,62;9,68;0,43;63,76;0;0;0;134,1;5,4936566;52,4444771;-99,53;86,68;-10,62;1;10;0,4;1,7;5,54;2,60;5,54;-1,05;-0,95;-175,19;62,35
60;12,1;0,17;0,61;9,66;-0,31;63,00;0;0;0;134,1;5,4936566;52,4444771;-99,53;86,68;-10,63;1;10;0,4;1,7;5,54;2,77;5,54;-1,00;-0,96;-175,15;62,30
70;12,1;-0,11;0,33;9,92;-0,12;63,00;0;0;0;134,1;5,4936566;52,4444771;-99,53;86,68;-10,63;1;10;0,4;1,7;5,54;2,88;5,54;-0,78;-0,94;-175,15;62,27
80;12,1;-0,02;0,58;9,89;0,71;63,00;0;0;0;134,1;5,4936566;52,4444771;-99,53;86,68;-10,63;1;10;0,4;1,7;5,54;2,77;5,54;-1,06;-0,95;-175,15;62,22
90;12,1;-0,35;0,43;9,99;0,18;63,00;0;0;0;134,1;5,4936566;52,4444771;-99,53;86,68;-10,63;1;10;0,4;1,7;5,54;2,83;5,55;-0,97;-0,95;-175,15;62,17
100;12,1;0,04;0,55;9,92;-1,27;63,00;0;0;0;134,1;5,4936566;52,4444771;-99,53;86,68;-10,63;1;10;0,4;1,7;5,54;2,80;5,56;-1,30;-0,99;-175,15;62,12
