FILE NAME;031_22306_230905_095610.CSV
HASHCODE;2A270D6FCC9A6F69DEFACF3057A7302CF2BA7E7AF45757D077DDC603CE05D7CA
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:56:11;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:57:43;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   91900;[mS]
TIME GPS SPEED WENT OVER 2KPH;      30;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 78,84;[kph]
TIME OF PEAK GPS SPEED;   23390;[mS]
PEAK SPEED; 82,89;[kph]
TIME OF PEAK SPEED;   22940;[mS]
TIME ACC WENT OVER 1m/s/s;    3550;[mS]
PEAK ACC;  4,19;[m/s/s]
TIME OF PEAK ACC;   69970;[mS]
PEAK PITCH;   7,50;[deg]
TIME OF PEAK PITCH;   20210;[mS]
PEAK SLIP; 179,05;[deg]
TIME OF PEAK SLIP;    9210;[mS]
AVERAGE LONG ACCEL AT START; -0,04;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,32;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,84;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,01;[deg/s]
AVERAGE LONG ACCEL AT END;  0,59;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,23;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,80;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,17;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;-0,29;0,48;9,78;0,41;67,82;0;0;0;134,0;5,4937158;52,4444351;-95,53;81,74;-11,18;1;10;0,4;1,7;5,68;2,64;6,27;-1,38;-1,28;-175,34;65,74
10;12,1;-0,31;0,37;9,73;0,42;67,82;0;0;0;134,0;5,4937158;52,4444351;-95,53;81,74;-11,18;1;10;0,4;1,7;6,28;2,80;6,28;-1,36;-1,29;-175,34;65,69
20;12,1;-0,16;0,60;9,74;0,53;67,82;0;0;0;134,0;5,4937553;52,4444122;-92,84;79,45;-11,18;1;10;0,4;1,7;6,28;2,49;6,28;-1,38;-1,30;-175,34;65,64
30;12,1;-0,18;0,57;9,92;0,24;66,89;0;0;0;134,0;5,4937553;52,4444122;-92,84;79,45;-11,18;1;10;0,4;1,7;6,28;2,82;6,29;-1,23;-1,29;-175,34;65,59
40;12,1;-0,03;0,61;9,89;1,13;66,89;0;0;0;134,0;5,4937553;52,4444122;-92,84;79,45;-11,18;1;10;0,4;1,7;6,28;2,94;6,29;-1,25;-1,29;-175,27;65,55
50;12,1;0,07;0,59;10,02;0,83;66,89;0;0;0;134,0;5,4937553;52,4444122;-92,84;79,45;-11,18;1;10;0,4;1,7;6,29;3,07;6,30;-1,11;-1,27;-175,27;65,51
60;12,1;-0,16;0,30;9,85;0,47;66,89;0;0;0;134,0;5,4937553;52,4444122;-92,84;79,45;-11,18;1;10;0,4;1,7;6,29;3,13;6,31;-1,00;-1,24;-175,27;65,47
70;12,1;-0,18;0,30;10,13;0,65;66,89;0;0;0;134,0;5,4937553;52,4444122;-92,84;79,45;-11,18;1;10;0,4;1,7;6,30;2,94;6,32;-1,24;-1,24;-175,27;65,43
80;12,1;-0,05;0,32;10,04;0,82;66,89;0;0;0;134,0;5,4937553;52,4444122;-92,84;79,45;-11,18;1;10;0,4;1,7;6,30;2,80;6,32;-1,27;-1,24;-175,27;65,38
90;12,1;-0,19;0,13;9,92;0,06;66,89;0;0;0;134,0;5,4937553;52,4444122;-92,84;79,45;-11,18;1;10;0,4;1,7;6,30;2,70;6,33;-1,13;-1,23;-175,27;65,33
100;12,1;0,01;0,40;9,87;0,27;66,89;0;0;0;134,0;5,4937553;52,4444122;-92,84;79,45;-11,18;1;10;0,4;1,7;6,31;2,50;6,33;-1,28;-1,24;-175,27;65,28
