FILE NAME;032_22306_230905_095756.CSV
HASHCODE;6C7B8D9511DED217AF4BD250C3647ABDB7D8E30B0F774B43B006C1BA40473566
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:57:56;GMT+00:00
END OF MEASUREMENT;23/09/2005;09:59:17;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;   81150;[mS]
TIME GPS SPEED WENT OVER 2KPH;      20;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   61620;[mS]
PEAK GPS SPEED; 86,80;[kph]
TIME OF PEAK GPS SPEED;      20;[mS]
PEAK SPEED; 84,00;[kph]
TIME OF PEAK SPEED;       0;[mS]
TIME ACC WENT OVER 1m/s/s;      20;[mS]
PEAK ACC;  4,18;[m/s/s]
TIME OF PEAK ACC;   13950;[mS]
PEAK PITCH;  10,87;[deg]
TIME OF PEAK PITCH;   53560;[mS]
PEAK SLIP; 178,81;[deg]
TIME OF PEAK SLIP;    7850;[mS]
AVERAGE LONG ACCEL AT START; -2,56;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,98;[m/s/s]
AVERAGE VERT ACCEL AT START; 10,22;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,15;[deg/s]
AVERAGE LONG ACCEL AT END;  1,02;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,09;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,73;[m/s/s]
AVERAGE PITCH RATE AT END;   0,01;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;-2,19;1,06;10,09;-0,72;88,99;0;0;0;134,0;5,4939003;52,4443283;-82,99;69,95;-11,32;1;10;0,5;1,7;6,28;1,87;5,90;-3,58;-3,07;-175,29;84,13
10;12,1;-1,99;0,81;10,39;0,15;88,99;0;0;0;134,0;5,4939003;52,4443283;-82,99;69,95;-11,32;1;10;0,5;1,7;5,89;6,21;5,89;-3,20;-3,08;-175,29;84,00
20;12,1;-2,00;0,52;9,59;-0,65;86,80;0;0;0;134,1;5,4939523;52,4442978;-79,48;66,53;-11,34;1;10;0,5;1,7;5,89;5,47;5,89;-3,00;-3,07;-175,29;83,89
30;12,1;-2,15;0,82;9,91;0,08;86,80;0;0;0;134,1;5,4939523;52,4442978;-79,48;66,53;-11,34;1;10;0,5;1,7;5,89;4,66;5,89;-3,01;-3,07;-175,23;83,77
40;12,1;-1,99;0,90;9,94;0,63;86,80;0;0;0;134,1;5,4939523;52,4442978;-79,48;66,53;-11,34;1;10;0,5;1,7;5,89;4,69;5,89;-3,16;-3,08;-175,23;83,65
50;12,1;-2,28;0,86;10,50;-0,61;86,80;0;0;0;134,1;5,4939523;52,4442978;-79,48;66,53;-11,34;1;10;0,5;1,7;5,89;4,80;5,89;-3,00;-3,07;-175,23;83,52
60;12,1;-2,71;0,91;10,33;-0,86;86,80;0;0;0;134,1;5,4939523;52,4442978;-79,48;66,53;-11,34;1;10;0,5;1,7;5,89;4,84;5,89;-3,28;-3,09;-175,23;83,38
70;12,1;-2,40;1,03;10,61;0,23;86,80;0;0;0;134,1;5,4939523;52,4442978;-79,48;66,53;-11,34;1;10;0,5;1,7;5,89;4,90;5,88;-3,71;-3,15;-175,23;83,23
80;12,1;-2,14;0,87;10,21;-0,12;86,80;0;0;0;134,1;5,4939523;52,4442978;-79,48;66,53;-11,34;1;10;0,5;1,7;5,89;5,05;5,88;-3,41;-3,18;-175,23;83,09
90;12,1;-2,38;0,75;10,26;-0,41;86,80;0;0;0;134,1;5,4939523;52,4442978;-79,48;66,53;-11,34;1;10;0,5;1,7;5,89;5,05;5,88;-3,15;-3,18;-175,23;82,96
100;12,1;-2,17;0,73;9,97;0,08;86,80;0;0;0;134,1;5,4939523;52,4442978;-79,48;66,53;-11,34;1;10;0,5;1,7;5,89;4,98;5,88;-3,39;-3,20;-175,23;82,82
