FILE NAME;033_22306_230905_095946.CSV
HASHCODE;4DD596FB46B315FB2F8B5014FE59DB2D0213DA38A50D28625CB7DD5E32E726D0
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;09:59:47;GMT+00:00
END OF MEASUREMENT;23/09/2005;10:01:47;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;  119960;[mS]
TIME GPS SPEED WENT OVER 2KPH;     170;[mS]
TIME GPS SPEED WENT UNDER 2KPH;  116980;[mS]
PEAK GPS SPEED; 57,42;[kph]
TIME OF PEAK GPS SPEED;   91570;[mS]
PEAK SPEED; 58,17;[kph]
TIME OF PEAK SPEED;   91390;[mS]
TIME ACC WENT OVER 1m/s/s;    4290;[mS]
PEAK ACC;  3,88;[m/s/s]
TIME OF PEAK ACC;   88190;[mS]
PEAK PITCH;   7,39;[deg]
TIME OF PEAK PITCH;   11160;[mS]
PEAK SLIP; 178,81;[deg]
TIME OF PEAK SLIP;    1180;[mS]
AVERAGE LONG ACCEL AT START; -0,01;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,02;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,87;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,07;[deg/s]
AVERAGE LONG ACCEL AT END;  0,85;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,17;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,77;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,28;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;0,19;0,33;10,01;-0,73;19,62;0;0;0;133,4;5,4949718;52,4436874;-10,31;-1,52;-10,95;3;9;0,5;1,7;5,84;1,67;5,84;-1,07;-0,98;-175,94;18,31
10;12,1;-0,08;0,42;9,92;0,59;19,62;0;0;0;133,4;5,4949718;52,4436874;-10,31;-1,52;-10,95;3;9;0,5;1,7;5,84;1,81;5,83;-0,81;-0,96;-175,94;18,28
20;12,1;0,15;0,42;10,08;-0,05;19,62;0;0;0;133,4;5,4949718;52,4436874;-10,31;-1,52;-10,95;3;9;0,5;1,7;5,84;2,03;5,84;-1,08;-0,97;-175,94;18,24
30;12,1;0,09;0,40;9,94;-0,47;19,62;0;0;0;133,4;5,4949718;52,4436874;-10,31;-1,52;-10,95;3;9;0,5;1,7;5,84;2,14;5,84;-0,85;-0,96;-175,94;18,22
40;12,1;0,11;0,36;9,95;0,67;19,62;0;0;0;133,4;5,4949718;52,4436874;-10,31;-1,52;-10,95;3;9;0,5;1,7;5,84;2,18;5,83;-0,90;-0,96;-175,94;18,18
50;12,1;-0,00;0,43;9,90;0,03;19,62;0;0;0;133,4;5,4949718;52,4436874;-10,31;-1,52;-10,95;3;9;0,5;1,7;5,84;2,17;5,84;-0,89;-0,95;-175,94;18,15
60;12,1;-0,00;0,27;9,97;-0,14;19,62;0;0;0;133,4;5,4949718;52,4436874;-10,31;-1,52;-10,95;3;9;0,5;1,7;5,84;2,22;5,84;-1,00;-0,95;-175,94;18,12
70;12,1;0,14;0,30;9,99;0,34;19,62;0;0;0;133,4;5,4949718;52,4436874;-10,31;-1,52;-10,95;3;9;0,5;1,7;5,84;2,14;5,84;-1,00;-0,96;-175,94;18,08
80;12,1;0,09;0,36;10,02;0,19;19,62;0;0;0;133,4;5,4949718;52,4436874;-10,31;-1,52;-10,95;3;9;0,5;1,7;5,84;2,09;5,84;-0,86;-0,95;-175,94;18,05
90;12,1;-0,03;0,25;10,14;-0,53;19,62;0;0;0;133,4;5,4949718;52,4436874;-10,31;-1,52;-10,95;3;9;0,5;1,7;5,84;2,09;5,84;-0,91;-0,94;-175,94;18,01
100;12,1;0,19;0,32;9,85;0,33;19,62;0;0;0;133,4;5,4949718;52,4436874;-10,31;-1,52;-10,95;3;9;0,5;1,7;5,84;2,03;5,84;-1,03;-0,95;-175,94;17,97
