FILE NAME;034_22306_230905_100211.CSV
HASHCODE;086AA92ADDECE85BFF1AC29D4993F4EF09F2F1806E4EEB15793B2C9D2FB2848F
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;10:02:11;GMT+00:00
END OF MEASUREMENT;23/09/2005;10:02:18;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL Y
UNIT SERIAL;22306
TOTAL TIME;    7170;[mS]
TIME GPS SPEED WENT OVER 2KPH;     210;[mS]
TIME GPS SPEED WENT UNDER 2KPH;        ;[mS]
PEAK GPS SPEED; 37,33;[kph]
TIME OF PEAK GPS SPEED;     210;[mS]
PEAK SPEED; 36,86;[kph]
TIME OF PEAK SPEED;       0;[mS]
TIME ACC WENT OVER 1m/s/s;    2250;[mS]
PEAK ACC;  1,63;[m/s/s]
TIME OF PEAK ACC;    6660;[mS]
PEAK PITCH;   4,12;[deg]
TIME OF PEAK PITCH;    3400;[mS]
PEAK SLIP; 178,54;[deg]
TIME OF PEAK SLIP;    3810;[mS]
AVERAGE LONG ACCEL AT START; -0,27;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,40;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,90;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,14;[deg/s]
AVERAGE LONG ACCEL AT END; -0,86;[m/s/s]
AVERAGE LAT ACCEL AT END; -2,67;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,79;[m/s/s]
AVERAGE PITCH RATE AT END;  -1,26;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;-0,23;0,16;10,07;0,13;39,78;0;0;0;134,2;5,4947004;52,4438667;-28,71;18,63;-9,96;1;9;0,5;1,7;5,85;0,24;4,02;-0,99;-1,25;-175,12;36,91
10;12,1;-0,32;0,32;10,07;0,51;39,78;0;0;0;134,2;5,4947004;52,4438667;-28,71;18,63;-9,96;1;9;0,5;1,7;4,02;0,93;4,02;-0,92;-1,21;-175,12;36,86
20;12,1;-0,45;0,31;10,13;-0,87;39,78;0;0;0;134,2;5,4947004;52,4438667;-28,71;18,63;-9,96;1;9;0,5;1,7;4,02;1,41;4,02;-1,01;-1,19;-175,12;36,81
30;12,1;-0,53;0,33;9,84;0,43;39,78;0;0;0;134,2;5,4947004;52,4438667;-28,71;18,63;-9,96;1;9;0,5;1,7;4,02;1,56;4,02;-1,14;-1,19;-175,12;36,76
40;12,1;-0,19;0,52;10,17;0,76;39,78;0;0;0;134,2;5,4947004;52,4438667;-28,71;18,63;-9,96;1;9;0,5;1,7;4,02;1,66;4,02;-1,22;-1,19;-175,12;36,71
50;12,1;-0,41;0,47;9,92;-0,97;39,78;0;0;0;134,2;5,4947004;52,4438667;-28,71;18,63;-9,96;1;9;0,5;1,7;4,02;1,93;4,03;-0,88;-1,16;-175,12;36,67
60;12,1;-0,07;0,39;10,06;0,93;39,78;0;0;0;134,2;5,4947004;52,4438667;-28,71;18,63;-9,96;1;9;0,5;1,7;4,02;2,07;4,02;-1,10;-1,15;-175,12;36,62
70;12,1;-0,48;0,58;10,01;-0,54;39,78;0;0;0;134,2;5,4947004;52,4438667;-28,71;18,63;-9,96;1;9;0,5;1,7;4,02;2,10;4,03;-0,76;-1,11;-175,12;36,58
80;12,1;-0,42;0,67;9,96;0,02;39,78;0;0;0;134,2;5,4947004;52,4438667;-28,71;18,63;-9,96;1;9;0,5;1,7;4,02;2,26;4,02;-1,17;-1,12;-175,12;36,53
90;12,1;-0,13;0,49;9,85;0,44;39,78;0;0;0;134,2;5,4947004;52,4438667;-28,71;18,63;-9,96;1;9;0,5;1,7;4,02;2,44;4,03;-1,11;-1,12;-175,12;36,48
100;12,1;-0,49;0,45;9,94;-0,65;39,78;0;0;0;134,2;5,4947004;52,4438667;-28,71;18,63;-9,96;1;9;0,5;1,7;4,02;2,49;4,03;-0,82;-1,09;-175,12;36,44
