FILE NAME;035_22306_230905_100337.CSV
HASHCODE;A0583DF5F16B4A54A6F25D1A65B929BC8117A7FCF7BF32406D7317CD310D2E92
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;23/09/2005;10:03:37;GMT+00:00
END OF MEASUREMENT;23/09/2005;10:04:02;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NOT LEVEL X
UNIT SERIAL;22306
TOTAL TIME;   24220;[mS]
TIME GPS SPEED WENT OVER 2KPH;    4230;[mS]
TIME GPS SPEED WENT UNDER 2KPH;      40;[mS]
PEAK GPS SPEED;113,26;[kph]
TIME OF PEAK GPS SPEED;   17830;[mS]
PEAK SPEED;113,90;[kph]
TIME OF PEAK SPEED;   17770;[mS]
TIME ACC WENT OVER 1m/s/s;   18580;[mS]
PEAK ACC;  4,96;[m/s/s]
TIME OF PEAK ACC;    6750;[mS]
PEAK PITCH;   7,11;[deg]
TIME OF PEAK PITCH;    6440;[mS]
PEAK SLIP; 177,48;[deg]
TIME OF PEAK SLIP;    5240;[mS]
AVERAGE LONG ACCEL AT START;  1,05;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,12;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,73;[m/s/s]
AVERAGE PITCH RATE AT START;  -0,01;[deg/s]
AVERAGE LONG ACCEL AT END; -0,30;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,32;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,90;[m/s/s]
AVERAGE PITCH RATE AT END;  -0,16;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;1,14;0,18;9,70;0,45;0,07;0;0;0;219,3;5,4907718;52,4461594;-295,28;273,72;-9,20;3;9;0,4;1,8;3,98;2,33;6,56;-0,07;-0,07;0,00;0,00
10;12,1;0,97;0,17;9,68;0,11;0,07;0;0;0;219,3;5,4907718;52,4461594;-295,28;273,72;-9,20;3;9;0,4;1,8;6,57;1,05;6,57;0,02;-0,06;0,00;0,00
20;12,1;1,10;0,13;9,75;0,10;0,07;0;0;0;219,3;5,4907718;52,4461594;-295,28;273,72;-9,20;3;9;0,4;1,8;6,57;1,02;6,57;-0,15;-0,07;0,00;0,00
30;12,1;0,99;0,05;9,80;-0,18;0,04;0;0;0;219,3;5,4907718;52,4461594;-295,28;273,72;-9,20;3;9;0,4;1,8;6,57;0,93;6,57;-0,02;-0,07;0,00;0,00
40;12,1;0,98;0,17;9,63;-0,12;0,04;0;0;0;219,3;5,4907718;52,4461594;-295,28;273,72;-9,20;3;9;0,4;1,8;6,57;0,78;6,57;-0,13;-0,07;0,00;0,00
50;12,1;1,13;0,18;9,65;0,37;0,04;0;0;0;219,3;5,4907718;52,4461594;-295,28;273,72;-9,20;3;9;0,4;1,8;6,57;0,82;6,57;-0,14;-0,08;0,00;0,00
60;12,1;1,05;0,06;9,81;0,32;0,04;0;0;0;219,3;5,4907718;52,4461594;-295,28;273,72;-9,20;3;9;0,4;1,8;6,57;0,86;6,57;0,01;-0,07;0,00;0,00
70;12,1;0,98;0,17;9,70;0,05;0,04;0;0;0;219,3;5,4907718;52,4461594;-295,28;273,72;-9,20;3;9;0,4;1,8;6,57;0,79;6,57;-0,07;-0,07;0,00;0,00
80;12,1;1,13;0,19;9,68;0,04;0,04;0;0;0;219,3;5,4907718;52,4461594;-295,28;273,72;-9,20;3;9;0,4;1,8;6,57;0,81;6,57;-0,15;-0,08;0,00;0,00
90;12,1;1,05;0,06;9,77;-0,29;0,04;0;0;0;219,3;5,4907718;52,4461594;-295,28;273,72;-9,20;3;9;0,4;1,8;6,57;0,84;6,57;0,01;-0,07;0,00;0,00
100;12,1;0,99;0,06;9,72;0,13;0,04;0;0;0;219,3;5,4907718;52,4461594;-295,28;273,72;-9,20;3;9;0,4;1,8;6,57;0,80;6,57;-0,07;-0,07;0,00;0,00
