FILE NAME;006_22306_300304_075008.CSV
HASHCODE;C06E331AB2A1F81C004361255269202D7DC165AABE64AC30F917FB925FD18FA5
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;30/03/2004;07:50:08;GMT+00:00
END OF MEASUREMENT;30/03/2004;07:50:27;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   18790;[mS]
TIME GPS SPEED WENT OVER 2KPH;    8580;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   15980;[mS]
PEAK GPS SPEED; 27,76;[kph]
TIME OF PEAK GPS SPEED;   12370;[mS]
PEAK SPEED; 28,80;[kph]
TIME OF PEAK SPEED;   12270;[mS]
TIME ACC WENT OVER 1m/s/s;   12350;[mS]
PEAK ACC;  3,28;[m/s/s]
TIME OF PEAK ACC;   10710;[mS]
PEAK PITCH;   1,59;[deg]
TIME OF PEAK PITCH;   13590;[mS]
PEAK SLIP;   9,55;[deg]
TIME OF PEAK SLIP;   13380;[mS]
AVERAGE LONG ACCEL AT START; -0,20;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,07;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,85;[m/s/s]
AVERAGE PITCH RATE AT START;   0,34;[deg/s]
AVERAGE LONG ACCEL AT END; -0,17;[m/s/s]
AVERAGE LAT ACCEL AT END;  0,03;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,84;[m/s/s]
AVERAGE PITCH RATE AT END;   0,32;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,3;-0,18;-0,01;9,76;0,33;0,11;0;0;0;22,7;4,4932327;51,9432068;-10,84;-2,66;4,94;1;7;0,8;4,1;0,00;0,34;-1,13;-0,00;-0,01;0,00;0,00
10;12,3;-0,19;0,16;9,88;0,46;0,11;0;0;0;22,7;4,4932327;51,9432068;-10,84;-2,66;4,94;1;7;0,8;4,1;1,13;0,09;-1,13;0,02;-0,01;0,00;0,00
20;12,3;-0,27;0,06;9,92;0,06;0,11;0;0;0;22,7;4,4932327;51,9432068;-10,84;-2,66;4,94;1;7;0,8;4,1;1,13;0,42;-1,13;-0,00;-0,01;0,00;0,00
30;12,3;-0,19;0,01;9,82;0,30;0,11;0;0;0;22,7;4,4932327;51,9432068;-10,84;-2,66;4,94;1;7;0,8;4,1;1,14;0,40;-1,15;-0,08;-0,02;0,00;0,00
40;12,3;-0,15;0,13;9,85;0,54;0,11;0;0;0;22,7;4,4932327;51,9432068;-10,84;-2,66;4,94;1;7;0,8;4,1;1,14;0,32;-1,15;0,00;-0,01;0,00;0,00
50;12,3;-0,19;0,05;9,82;0,40;0,11;0;0;0;22,7;4,4932327;51,9432068;-10,84;-2,66;4,94;1;7;0,8;4,1;1,14;0,41;-1,15;0,05;-0,01;0,00;0,00
60;12,2;-0,20;0,09;9,80;0,20;0,11;0;0;0;22,7;4,4932327;51,9432068;-10,84;-2,66;4,94;1;7;0,8;4,1;1,14;0,39;-1,15;0,00;-0,01;0,00;0,00
70;12,2;-0,16;0,18;9,88;0,34;0,11;0;0;0;22,7;4,4932327;51,9432068;-10,84;-2,66;4,94;1;7;0,8;4,1;1,14;0,42;-1,15;-0,01;-0,01;0,00;0,00
80;12,2;-0,18;0,04;9,83;0,52;0,11;0;0;0;22,7;4,4932327;51,9432068;-10,84;-2,66;4,94;1;7;0,8;4,1;1,15;0,49;-1,15;0,04;-0,00;0,00;0,00
90;12,2;-0,16;0,03;9,76;0,43;0,11;0;0;0;22,7;4,4932327;51,9432068;-10,84;-2,66;4,94;1;7;0,8;4,1;1,15;0,47;-1,15;0,01;-0,00;0,00;0,00
100;12,2;-0,22;0,15;9,90;0,55;0,11;0;0;0;22,7;4,4932327;51,9432068;-10,84;-2,66;4,94;1;7;0,8;4,1;1,15;0,44;-1,15;0,04;0,00;0,00;0,00
