FILE NAME;007_22306_300304_075109.CSV
HASHCODE;C3E8861AD302E5EA2A1CF3981BC3183514EC76F0B216E35C57F6A35234512FAE
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;30/03/2004;07:51:09;GMT+00:00
END OF MEASUREMENT;30/03/2004;07:51:25;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   15640;[mS]
TIME GPS SPEED WENT OVER 2KPH;    5620;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   13800;[mS]
PEAK GPS SPEED; 34,27;[kph]
TIME OF PEAK GPS SPEED;    9210;[mS]
PEAK SPEED; 35,47;[kph]
TIME OF PEAK SPEED;    9100;[mS]
TIME ACC WENT OVER 1m/s/s;    9040;[mS]
PEAK ACC;  5,84;[m/s/s]
TIME OF PEAK ACC;   11300;[mS]
PEAK PITCH;   1,97;[deg]
TIME OF PEAK PITCH;   15310;[mS]
PEAK SLIP;   8,52;[deg]
TIME OF PEAK SLIP;   11410;[mS]
AVERAGE LONG ACCEL AT START; -0,21;[m/s/s]
AVERAGE LAT ACCEL AT START;  0,05;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,85;[m/s/s]
AVERAGE PITCH RATE AT START;   0,32;[deg/s]
AVERAGE LONG ACCEL AT END; -0,12;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,14;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,82;[m/s/s]
AVERAGE PITCH RATE AT END;   0,36;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;-0,26;0,00;9,90;0,22;0,07;0;0;0;126,2;4,4932942;51,9432411;-6,65;1,14;4,93;1;7;0,7;3,7;1,18;0,44;-1,21;-0,05;0,00;0,00;0,00
10;12,2;-0,16;-0,05;9,78;-0,03;0,11;0;0;0;4,0;4,4932942;51,9432411;-6,65;1,14;4,93;1;7;0,7;3,7;1,21;0,03;-1,21;-0,06;-0,00;0,00;0,00
20;12,2;-0,19;0,13;9,88;0,22;0,11;0;0;0;4,0;4,4932942;51,9432411;-6,65;1,14;4,93;1;7;0,7;3,7;1,21;0,14;-1,21;0,05;0,00;0,00;0,00
30;12,2;-0,27;-0,01;9,89;0,46;0,11;0;0;0;4,0;4,4932942;51,9432411;-6,65;1,14;4,93;1;7;0,7;3,7;1,21;0,16;-1,21;0,01;0,00;0,00;0,00
40;12,2;-0,17;-0,04;9,81;0,27;0,11;0;0;0;4,0;4,4932942;51,9432411;-6,65;1,14;4,93;1;7;0,7;3,7;1,21;0,11;-1,21;-0,06;-0,00;0,00;0,00
50;12,2;-0,16;0,12;9,88;0,44;0,11;0;0;0;4,0;4,4932942;51,9432411;-6,65;1,14;4,93;1;7;0,7;3,7;1,21;0,04;-1,21;0,04;0,00;0,00;0,00
60;12,3;-0,26;0,05;9,86;0,27;0,11;0;0;0;4,0;4,4932942;51,9432411;-6,65;1,14;4,93;1;7;0,7;3,7;1,21;0,15;-1,21;0,05;0,01;0,00;0,00
70;12,3;-0,24;0,00;9,77;0,33;0,11;0;0;0;4,0;4,4932942;51,9432411;-6,65;1,14;4,93;1;7;0,7;3,7;1,21;0,17;-1,21;-0,05;0,00;0,00;0,00
80;12,3;-0,19;0,12;9,87;0,43;0,11;0;0;0;4,0;4,4932942;51,9432411;-6,65;1,14;4,93;1;7;0,7;3,7;1,21;0,15;-1,21;-0,04;-0,00;0,00;0,00
90;12,3;-0,18;0,02;9,86;0,27;0,11;0;0;0;4,0;4,4932942;51,9432411;-6,65;1,14;4,93;1;7;0,7;3,7;1,21;0,22;-1,21;0,01;-0,00;0,00;0,00
100;12,3;-0,18;0,05;9,77;0,27;0,11;0;0;0;4,0;4,4932942;51,9432411;-6,65;1,14;4,93;1;7;0,7;3,7;1,21;0,21;-1,21;0,02;0,00;0,00;0,00
