FILE NAME;001_22306_070404_122312.CSV
HASHCODE;7797728E023E51E32A92D43459EBBDFDD452061509EA9706AB3F2B79952A069E
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;07/04/2004;12:23:12;GMT+00:00
END OF MEASUREMENT;07/04/2004;12:23:40;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   27850;[mS]
TIME GPS SPEED WENT OVER 2KPH;    5240;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   24410;[mS]
PEAK GPS SPEED; 50,47;[kph]
TIME OF PEAK GPS SPEED;   17210;[mS]
PEAK SPEED; 50,93;[kph]
TIME OF PEAK SPEED;   16940;[mS]
TIME ACC WENT OVER 1m/s/s;   13150;[mS]
PEAK ACC;  3,23;[m/s/s]
TIME OF PEAK ACC;   20390;[mS]
PEAK PITCH;   1,96;[deg]
TIME OF PEAK PITCH;   15350;[mS]
PEAK SLIP; 178,72;[deg]
TIME OF PEAK SLIP;   21200;[mS]
AVERAGE LONG ACCEL AT START; -0,10;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,21;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,83;[m/s/s]
AVERAGE PITCH RATE AT START;   0,33;[deg/s]
AVERAGE LONG ACCEL AT END; -0,00;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,19;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,83;[m/s/s]
AVERAGE PITCH RATE AT END;   0,24;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;-0,14;-0,29;9,86;0,33;0,18;0;0;0;31,0;4,4914303;51,9428940;-144,13;27,37;-4,62;1;9;0,7;1,6;0,00;0,38;-0,60;-0,06;-0,01;0,00;0,00
10;12,1;-0,04;-0,26;9,77;0,23;0,18;0;0;0;31,0;4,4914303;51,9428940;-144,13;27,37;-4,62;1;9;0,7;1,6;0,60;1,67;-0,60;-0,03;-0,01;0,00;0,00
20;12,1;-0,05;-0,30;9,82;0,33;0,18;0;0;0;31,0;4,4914303;51,9428940;-144,13;27,37;-4,62;1;9;0,7;1,6;0,60;1,59;-0,60;0,06;-0,01;0,00;0,01
30;12,1;-0,06;-0,20;9,92;0,10;0,18;0;0;0;31,0;4,4914303;51,9428940;-144,13;27,37;-4,62;1;9;0,7;1,6;0,61;1,63;-0,62;0,05;0,00;0,00;0,01
40;12,1;-0,10;-0,21;9,76;0,25;0,18;0;0;0;18,6;4,4914303;51,9428940;-144,10;27,37;-4,56;1;9;0,7;1,6;0,61;1,52;-0,62;0,05;0,01;0,00;0,01
50;12,1;-0,15;-0,25;9,82;0,21;0,18;0;0;0;18,6;4,4914303;51,9428940;-144,10;27,37;-4,56;1;9;0,7;1,6;0,62;1,46;-0,62;0,01;0,01;0,00;0,01
60;12,1;-0,12;-0,16;9,87;0,77;0,18;0;0;0;18,6;4,4914303;51,9428940;-144,10;27,37;-4,56;1;9;0,7;1,6;0,62;1,45;-0,63;-0,04;0,00;0,00;0,01
70;12,2;-0,14;-0,23;9,75;0,49;0,18;0;0;0;18,6;4,4914303;51,9428940;-144,10;27,37;-4,56;1;9;0,7;1,6;0,62;1,38;-0,62;-0,01;-0,00;0,00;0,01
80;12,2;-0,13;-0,13;9,88;0,32;0,18;0;0;0;18,6;4,4914303;51,9428940;-144,10;27,37;-4,56;1;9;0,7;1,6;0,62;1,37;-0,62;-0,03;-0,00;0,00;0,01
90;12,2;-0,02;-0,14;9,90;0,59;0,18;0;0;0;18,6;4,4914303;51,9428940;-144,10;27,37;-4,56;1;9;0,7;1,6;0,62;1,31;-0,62;-0,02;-0,00;0,00;0,01
100;12,2;-0,09;-0,24;9,83;0,46;0,18;0;0;0;18,6;4,4914303;51,9428940;-144,10;27,37;-4,56;1;9;0,7;1,6;0,62;1,26;-0,62;0,08;0,00;0,00;0,01
