FILE NAME;002_22306_070404_122507.CSV
HASHCODE;7F9045F9C25BA2DC8E4B0C20702B85C217FC6FF12C42374A068B26AFE6000380
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;07/04/2004;12:25:07;GMT+00:00
END OF MEASUREMENT;07/04/2004;12:25:46;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   38520;[mS]
TIME GPS SPEED WENT OVER 2KPH;    5670;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   35700;[mS]
PEAK GPS SPEED; 67,86;[kph]
TIME OF PEAK GPS SPEED;   17280;[mS]
PEAK SPEED; 67,78;[kph]
TIME OF PEAK SPEED;   16860;[mS]
TIME ACC WENT OVER 1m/s/s;   17220;[mS]
PEAK ACC;  4,55;[m/s/s]
TIME OF PEAK ACC;   25380;[mS]
PEAK PITCH;   2,12;[deg]
TIME OF PEAK PITCH;   31310;[mS]
PEAK SLIP; 178,88;[deg]
TIME OF PEAK SLIP;   33270;[mS]
AVERAGE LONG ACCEL AT START; -0,08;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,16;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,83;[m/s/s]
AVERAGE PITCH RATE AT START;   0,32;[deg/s]
AVERAGE LONG ACCEL AT END; -0,05;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,29;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,83;[m/s/s]
AVERAGE PITCH RATE AT END;   0,30;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,2;-0,08;-0,28;9,87;0,20;0,22;0;0;0;89,5;4,4891839;51,9421577;-298,27;-54,74;-3,86;1;9;1,0;1,7;0,64;1,23;-0,53;-0,03;0,02;0,00;0,18
10;12,1;-0,01;-0,15;9,79;0,20;0,22;0;0;0;89,5;4,4891839;51,9421577;-298,27;-54,74;-3,86;1;9;1,0;1,7;0,53;1,62;-0,53;0,01;0,02;0,00;0,17
20;12,1;-0,11;-0,21;9,79;0,04;0,22;0;0;0;89,5;4,4891839;51,9421577;-298,27;-54,74;-3,86;1;9;1,0;1,7;0,54;1,25;-0,54;0,08;0,02;0,00;0,18
30;12,1;-0,11;-0,24;9,81;0,21;0,22;0;0;0;89,5;4,4891839;51,9421577;-298,27;-54,74;-3,86;1;9;1,0;1,7;0,54;1,24;-0,54;-0,02;0,02;0,00;0,17
40;12,1;-0,05;-0,09;9,86;0,49;0,22;0;0;0;89,5;4,4891839;51,9421577;-298,27;-54,74;-3,86;1;9;1,0;1,7;0,54;1,28;-0,54;-0,02;0,01;0,00;0,17
50;12,1;-0,15;-0,17;9,79;0,15;0,22;0;0;0;89,5;4,4891839;51,9421577;-298,27;-54,74;-3,86;1;9;1,0;1,7;0,54;1,13;-0,54;0,04;0,02;0,00;0,17
60;12,1;-0,12;-0,27;9,91;0,58;0,22;0;0;0;89,5;4,4891839;51,9421577;-298,27;-54,74;-3,86;1;9;1,0;1,7;0,54;1,11;-0,54;-0,05;0,01;0,00;0,17
70;12,1;0,01;-0,12;9,90;0,36;0,22;0;0;0;89,5;4,4891839;51,9421577;-298,27;-54,74;-3,86;1;9;1,0;1,7;0,54;1,17;-0,52;-0,03;0,01;0,00;0,17
80;12,2;-0,11;-0,18;9,79;0,08;0,22;0;0;0;89,5;4,4891839;51,9421577;-298,27;-54,74;-3,86;1;9;1,0;1,7;0,53;1,11;-0,52;0,10;0,02;0,00;0,17
90;12,2;-0,12;-0,25;9,85;0,25;0,22;0;0;0;89,5;4,4891839;51,9421577;-298,27;-54,74;-3,86;1;9;1,0;1,7;0,53;1,11;-0,52;-0,02;0,01;0,00;0,16
100;12,2;-0,02;-0,05;9,78;0,57;0,18;0;0;0;122,1;4,4891839;51,9421577;-298,27;-54,74;-3,92;1;9;1,0;1,7;0,53;1,14;-0,52;-0,03;0,01;0,00;0,16
