FILE NAME;003_22306_070404_122802.CSV
HASHCODE;9ED9C8D460C39499626BD909FE7966356C450BCD456D99DF12B80C3763C0019E
GYRO CAL;-0,000;0,884;0,013;-0,862
ACCEL LONG CAL;1,002;-0,057
ACCEL LAT CAL;1,012;0,040
ACCEL VERT CAL;1,003;-0,003
START OF MEASUREMENT;07/04/2004;12:28:02;GMT+00:00
END OF MEASUREMENT;07/04/2004;12:28:39;GMT+00:00
STANDARD CONFIG;LOGGER AND DISPLAY NON-STANDARD
ERROR DURING TEST;NO ERRORS
UNIT SERIAL;22306
TOTAL TIME;   36900;[mS]
TIME GPS SPEED WENT OVER 2KPH;    4240;[mS]
TIME GPS SPEED WENT UNDER 2KPH;   33840;[mS]
PEAK GPS SPEED; 72,00;[kph]
TIME OF PEAK GPS SPEED;   26430;[mS]
PEAK SPEED; 72,97;[kph]
TIME OF PEAK SPEED;   26230;[mS]
TIME ACC WENT OVER 1m/s/s;   15200;[mS]
PEAK ACC;  4,73;[m/s/s]
TIME OF PEAK ACC;   27800;[mS]
PEAK PITCH;   2,03;[deg]
TIME OF PEAK PITCH;   29370;[mS]
PEAK SLIP; 178,32;[deg]
TIME OF PEAK SLIP;   25040;[mS]
AVERAGE LONG ACCEL AT START; -0,10;[m/s/s]
AVERAGE LAT ACCEL AT START; -0,19;[m/s/s]
AVERAGE VERT ACCEL AT START;  9,84;[m/s/s]
AVERAGE PITCH RATE AT START;   0,33;[deg/s]
AVERAGE LONG ACCEL AT END; -0,03;[m/s/s]
AVERAGE LAT ACCEL AT END; -0,17;[m/s/s]
AVERAGE VERT ACCEL AT END;  9,84;[m/s/s]
AVERAGE PITCH RATE AT END;   0,30;[deg/s]


                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   

TIME;POWER;LONG ACCEL;LAT ACCEL;VERT ACCEL;PITCH RATE;GPS SPEED;BRAKE LIGHT;PEDAL FORCE ;PULL FORCE ;GPS HEADING;GPS LONGITUDE;GPS LATITUDE;GPS X POSITION;GPS Y POSITION;GPS ALTITUDE ;STATUS;GPS SAT COUNT;GPS SPEED ACC;GPS POS ACC;INITIAL PITCH;INITIAL ROLL;PROCESSED PITCH;PROCESSED ACCEL;FILTERED PROCESSED ACCEL;SLIP ANGLE;PROCESSED SPEED
[mS];[V];[m/s/s];[m/s/s];[m/s/s];[deg/s];[km/h];[-];[N];[N];[deg];[deg];[deg];[m];[m];[m];[-];[-];[km/h];[m];[deg];[deg];[deg];[m/s/s];[m/s/s];[deg];[km/h]


0;12,1;-0,07;-0,12;9,88;0,58;0,07;0;0;0;160,6;4,4891868;51,9421654;-298,07;-53,98;-3,45;1;8;1,0;1,9;0,49;0,96;-0,15;-0,08;-0,07;0,00;0,20
10;12,1;-0,13;-0,22;9,80;0,19;0,07;0;0;0;160,6;4,4891868;51,9421654;-298,07;-53,98;-3,45;1;8;1,0;1,9;0,14;0,71;-0,14;-0,05;-0,07;0,00;0,19
20;12,1;-0,05;-0,29;9,87;0,34;0,07;0;0;0;160,6;4,4891868;51,9421654;-298,07;-53,98;-3,45;1;8;1,0;1,9;0,14;0,99;-0,14;-0,10;-0,07;0,00;0,18
30;12,1;-0,01;-0,16;9,88;0,37;0,07;0;0;0;160,6;4,4891868;51,9421654;-298,07;-53,98;-3,45;1;8;1,0;1,9;0,14;1,22;-0,14;-0,03;-0,06;0,00;0,17
40;12,1;-0,10;-0,17;9,76;-0,14;0,07;0;0;0;160,6;4,4891868;51,9421654;-298,07;-53,98;-3,45;1;8;1,0;1,9;0,14;1,15;-0,13;0,01;-0,06;0,00;0,16
50;12,1;-0,14;-0,24;9,83;0,14;0,07;0;0;0;160,6;4,4891868;51,9421654;-298,07;-53,98;-3,45;1;8;1,0;1,9;0,14;1,12;-0,13;-0,08;-0,06;0,00;0,15
60;12,1;-0,05;-0,12;9,83;0,26;0,07;0;0;0;160,6;4,4891868;51,9421654;-298,07;-53,98;-3,45;1;8;1,0;1,9;0,14;1,16;-0,13;-0,11;-0,06;0,00;0,14
70;12,2;-0,12;-0,20;9,79;0,08;0,07;0;0;0;160,6;4,4891868;51,9421654;-298,07;-53,98;-3,45;1;8;1,0;1,9;0,13;1,10;-0,13;-0,03;-0,06;0,00;0,13
80;12,2;-0,11;-0,17;9,85;0,58;0,07;0;0;0;160,6;4,4891868;51,9421654;-298,07;-53,98;-3,45;1;8;1,0;1,9;0,13;1,11;-0,13;-0,10;-0,06;0,00;0,12
90;12,2;-0,14;-0,12;9,92;0,46;0,07;0;0;0;160,6;4,4891868;51,9421654;-298,07;-53,98;-3,45;1;8;1,0;1,9;0,13;1,09;-0,12;-0,09;-0,07;0,00;0,11
